calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_small_vehicle_resnet18,0.4640964474990524,0.439105822337762,0.20722043886218394,0.3949618021477602,0.3307467986261782,0.2406075726392861,0.135396789970095,0.053239510453280826,0.012709671271698286,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
temperature,513981.338615808,57438.11055488186,0.4727204077779875,real,25232.186443776005,1802.2176906088134,0.9870633893919794,gate_small_vehicle_resnet18,0.4635847037215001,0.43891940576255606,0.20721602404253572,0.3950192054870213,0.3310114529966778,0.24080498044823595,0.13549020416100477,0.05327254244064335,0.012717771730991494,0.0013201320132013201,1.984166352506994e-05,2793,1,5297,0.05,539213.525059584,59240.32824549067
temperature,437242.986233856,48862.495767418295,0.5514442137058713,real,25232.186443776005,1802.2176906088134,0.9715394566623544,gate_small_vehicle_resnet18,0.4634174118413078,0.43890336352868287,0.20720968179252575,0.39499235964438284,0.33104088718810126,0.24085336890363349,0.135542521662203,0.05328383164167213,0.01272309983854761,0.0013201320132013201,1.984166352506994e-05,2376,1,5297,0.1,462475.172677632,50664.71345802711
temperature,399149.847281664,44605.53590889322,0.5905229375117991,real,25232.186443776005,1802.2176906088134,0.9592496765847348,gate_small_vehicle_resnet18,0.4634438952715893,0.43893655194151526,0.207218730770919,0.3950217652825091,0.3310155482768031,0.24087308850708167,0.135547412518647,0.05328328620561334,0.012725786028705078,0.0013201320132013201,1.984166352506994e-05,2169,1,5297,0.15000000000000002,424382.03372544004,46407.75359950203
temperature,372650.2723584,41644.17252904968,0.6177081366811403,real,25232.186443776005,1802.2176906088134,0.9456662354463131,gate_small_vehicle_resnet18,0.463390115183721,0.43883602223579304,0.20713862062336888,0.39488282386306106,0.33079035758940084,0.24064907426375395,0.1355073815129752,0.05326603932004446,0.012724258251537784,0.0013201320132013201,2.0002000200020003e-05,2025,1,5297,0.2,397882.458802176,43446.3902196585
temperature,347254.846390272,38806.199290032964,0.6437606192184255,real,25232.186443776005,1802.2176906088134,0.9223803363518758,gate_small_vehicle_resnet18,0.4631447193397056,0.4333513887060759,0.2065186905544238,0.3946595578722131,0.33064643647086606,0.2406200912446289,0.13544154088950705,0.05324570533189746,0.012737291186063194,0.0013201320132013201,2.004249007896741e-05,1887,1,5297,0.25,372487.03283404803,40608.41698064178
temperature,328116.264501248,36667.43684903486,0.6633943741740608,real,25232.186443776005,1802.2176906088134,0.8965071151358344,gate_small_vehicle_resnet18,0.45701865164764377,0.4330155374307334,0.20539997960382533,0.39447951045614804,0.3305597852320113,0.23696125648417826,0.13530033744172634,0.053173237937886704,0.012151304904644894,0.0013201320132013201,2.004249007896741e-05,1783,1,5297,0.30000000000000004,353348.45094502403,38469.65453964367
temperature,310265.856393216,34672.6295723347,0.6817066263922975,real,25232.186443776005,1802.2176906088134,0.8764553686934023,gate_small_vehicle_resnet18,0.45654371111840797,0.43280229546536264,0.2053271814902001,0.39438362624437573,0.33056852006820403,0.23698609511205462,0.1353152022338985,0.05317775463657787,0.01215439486570095,0.0013201320132013201,2.008314421705862e-05,1686,1,5297,0.35000000000000003,335498.042836992,36474.84726294351
temperature,290759.22485248,32492.73708439432,0.7017179535586181,real,25232.186443776005,1802.2176906088134,0.8428201811125485,gate_small_vehicle_resnet18,0.45674466565320115,0.4329123174998737,0.20436138600832293,0.389333502710081,0.3259821831932296,0.2368791489313888,0.13515555189667577,0.05311143204465551,0.01215484299670504,0.0013201320132013201,2.008314421705862e-05,1580,1,5297,0.4,315991.411296256,34294.954775003134
temperature,276773.338087424,30929.79530058801,0.7160656975646593,real,25232.186443776005,1802.2176906088134,0.8124191461836999,gate_small_vehicle_resnet18,0.4500757931414495,0.4266082837309105,0.2028712569474958,0.38864804414875265,0.32543880603387126,0.2364225249426872,0.1350340139814909,0.05297961560452863,0.012165272733848887,0.0013201320132013201,2.008314421705862e-05,1504,1,5297,0.45,302005.5245312,32732.012991196825
temperature,262235.3768448,29305.158446368296,0.7309797998867283,real,25232.186443776005,1802.2176906088134,0.7884864165588615,gate_small_vehicle_resnet18,0.4490182833900226,0.4255944548873813,0.20238249109816508,0.3876623946088989,0.32461793402326045,0.23589739827586562,0.13469005881285243,0.052847635941567675,0.012156535884383327,0.0013201320132013201,2.008314421705862e-05,1425,1,5297,0.5,287467.563288576,31107.37613697711
temperature,246961.316298752,27598.261498264037,0.7466490466301681,real,25232.186443776005,1802.2176906088134,0.7535575679172057,gate_small_vehicle_resnet18,0.44173834581839866,0.41858051831993737,0.19872437590730785,0.38111718247921067,0.3186500507770601,0.2310915199424678,0.13153561813650252,0.05104662988080866,0.01214367856127466,0.0013201320132013201,2.008314421705862e-05,1342,1,5297,0.55,272193.502742528,29400.47918887285
temperature,237392.02535424,26528.880277764983,0.7564659241079856,real,25232.186443776005,1802.2176906088134,0.7315653298835705,gate_small_vehicle_resnet18,0.4413907730344109,0.41817847432913896,0.19845428394286774,0.380680840939696,0.3182733029271985,0.23059881291243392,0.1311314310222694,0.0507532909537195,0.012101113745197864,0.0014144271570014143,2.0372407611131484e-05,1290,1,5297,0.6000000000000001,262624.211798016,28331.097968373797
temperature,224510.28754432002,25089.32863478549,0.7696809514819709,real,25232.186443776005,1802.2176906088134,0.7011642949547219,gate_small_vehicle_resnet18,0.4408624756466747,0.4176606834034281,0.19803695082137493,0.3800519873711403,0.3176072256098541,0.23008599661701437,0.1306151405074853,0.050528844625709515,0.011413341007441445,0.0015232292460015233,2.0584179000020584e-05,1220,1,5297,0.65,249742.47398809603,26891.5463253943
temperature,210524.40077926402,23526.38685097918,0.784028695488012,real,25232.186443776005,1802.2176906088134,0.6688227684346701,gate_small_vehicle_resnet18,0.4348334824180034,0.41157559016417833,0.19550269999653375,0.37423452590937584,0.31192833379128765,0.22930199013573924,0.12990672075946452,0.050228507696315816,0.01134679590970494,0.00165016501650165,2.088816476584367e-05,1144,1,5297,0.7000000000000001,235756.58722304003,25328.604541587993
temperature,194698.265755648,21757.794832461514,0.8002643005474797,real,25232.186443776005,1802.2176906088134,0.6235446313065977,gate_small_vehicle_resnet18,0.4270358042006178,0.40403194922871233,0.19217178966784362,0.3670934644800857,0.31089873905547766,0.2244197761875711,0.1261949709053666,0.04996066052887575,0.0103127450366471,0.0017472335468841002,2.255350819820023e-05,1058,1,5297,0.75,219930.452199424,23560.012523070327
temperature,177767.98177689602,19865.812673117034,0.8176326222390032,real,25232.186443776005,1802.2176906088134,0.5711513583441138,gate_small_vehicle_resnet18,0.4108684609413229,0.3947059866735974,0.18694895738461295,0.358236937390449,0.3029708352926503,0.21804652346005396,0.12504872024588096,0.04756380270681929,0.010278364895584011,0.0017472335468841002,2.270869288763739e-05,966,1,5297,0.8,203000.16822067203,21668.030363725848
temperature,158445.375062016,17706.48520864779,0.8374551632999812,real,25232.186443776005,1802.2176906088134,0.5168175937904269,gate_small_vehicle_resnet18,0.3929716310273413,0.3710045599742049,0.17846992785381255,0.3419227205030771,0.288613589143583,0.21088632799518556,0.12012864059739782,0.04706792158533037,0.01022447993364059,0.0018564356435643563,2.297213480048701e-05,861,1,5297,0.8500000000000001,183677.56150579202,19508.702899256605
temperature,133233.973919744,14889.076993102208,0.8633188597319237,real,25232.186443776005,1802.2176906088134,0.4385510996119017,gate_small_vehicle_resnet18,0.36795820901728205,0.35289920568772987,0.16767856293680725,0.3184507519055428,0.2725837307111322,0.19770531635440944,0.11100960677949609,0.04424033012809588,0.009935093434139643,0.0019801980198019802,2.318733044264614e-05,724,1,5297,0.9,158466.16036352,16691.29468371102
temperature,98453.28183296,11002.28755705757,0.898999433641684,real,25232.186443776005,1802.2176906088134,0.3279430789133247,gate_small_vehicle_resnet18,0.3228087991539115,0.302041361563702,0.14494876235618462,0.27586312101974014,0.23429889747210225,0.16926599059851283,0.0978530594167321,0.03628526993365411,0.00876140367494388,0.002284843869002285,2.487685954525101e-05,535,1,5297,0.9500000000000001,123685.468276736,12804.505247666384
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_small_vehicle_resnet18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,25232.186443776005,1802.2176906088134
