bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,stratum,threshold
boundary,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.8349164999966739,0.7966580818099717,0.35594545818094125,0.7051533291086184,0.5475434642681482,0.37089521954375737,0.1928446698620942,0.08308662739813633,0.026423102079843424,0.0016978498826683646,0.00023573785950023574,1,124,124,boundary,0.0
interior,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.4551094366612207,0.43044258141991304,0.20334282538373025,0.38699415421610367,0.3242016660618571,0.2357536239837001,0.13476695750739223,0.05272313738383498,0.012050628383944878,0.0013656538067599864,2.0414412575278145e-05,1,5173,5173,boundary,0.0
boundary,temperature,0.10483870967741936,real,1.0,gate_small_vehicle_resnet18_temperature,0.8350604700446966,0.7967958283339789,0.35599636148118685,0.705247586233216,0.5475923023852233,0.37095632550940993,0.19285960906591623,0.0830948034174161,0.026423102079843424,0.0016978498826683646,0.00023573785950023574,1,124,124,boundary,0.05
interior,temperature,0.4815387589406534,real,0.986449864498645,gate_small_vehicle_resnet18_temperature,0.4545952285439277,0.4301837688878755,0.20333130134247993,0.38706948235832767,0.3244643342212238,0.23594654744018612,0.13485687516081918,0.05275749246355261,0.012053216129550938,0.0013656538067599864,2.0414412575278145e-05,1,5173,5173,boundary,0.05
boundary,temperature,0.16129032258064516,real,0.9857142857142858,gate_small_vehicle_resnet18_temperature,0.8349634035016364,0.7966577851114871,0.3557989379528842,0.7050581475854415,0.5473115809484617,0.3706501706180508,0.19241466566765636,0.08256783261317742,0.026432051618399583,0.0016980040050308244,0.00023573785950023574,1,124,124,boundary,0.1
interior,temperature,0.5607964430697854,real,0.9708672086720868,gate_small_vehicle_resnet18_temperature,0.4544412835197649,0.430161787251933,0.20333062877870675,0.38707822632779604,0.32448836643785844,0.23600027457860523,0.1349137428871356,0.05278112219716514,0.012055416367473485,0.0013656538067599864,2.0414412575278145e-05,1,5173,5173,boundary,0.1
boundary,temperature,0.20967741935483872,real,0.9857142857142858,gate_small_vehicle_resnet18_temperature,0.8349634035016364,0.7966577851114871,0.3557989379528842,0.7050581475854415,0.5473115809484617,0.3706501706180508,0.19241466566765636,0.08256783261317742,0.026432051618399583,0.0016980040050308244,0.00023573785950023574,1,124,124,boundary,0.15000000000000002
interior,temperature,0.5996520394355307,real,0.9579945799457995,gate_small_vehicle_resnet18_temperature,0.45445716883883586,0.43019830406147824,0.20334224402719223,0.38710415927229186,0.32449372576707974,0.23602135512988892,0.13492234295825214,0.052783663187943176,0.012055652836816368,0.0013656538067599864,2.0414412575278145e-05,1,5173,5173,boundary,0.15000000000000002
boundary,temperature,0.24193548387096775,real,0.9714285714285714,gate_small_vehicle_resnet18_temperature,0.8345084948522955,0.7887151268595117,0.35417711180602185,0.704309109009932,0.5463556653656989,0.3649956099895672,0.19194614541982358,0.08256209662186338,0.026444508857299306,0.0016986232247262337,0.00023573785950023574,1,124,124,boundary,0.2
interior,temperature,0.6267156388942586,real,0.9444444444444444,gate_small_vehicle_resnet18_temperature,0.45442849588747164,0.4301435449808298,0.20328149566217749,0.38696658135794176,0.32429205313881254,0.23586316774762212,0.13488950824170862,0.05278823984215434,0.012057127439473842,0.0013656538067599864,2.0584179000020584e-05,1,5173,5173,boundary,0.2
boundary,temperature,0.25806451612903225,real,0.9571428571428572,gate_small_vehicle_resnet18_temperature,0.8343425407046777,0.7886172320891354,0.3540681548993826,0.7041473248053008,0.546130980049603,0.36477278577361877,0.19170309143882766,0.08258643462816316,0.026446642929157427,0.0016987787158421245,0.00023573785950023574,1,124,124,boundary,0.25
interior,temperature,0.6530059926541658,real,0.9207317073170732,gate_small_vehicle_resnet18_temperature,0.4541482940525176,0.42464230841598,0.202641818768813,0.3866593160061055,0.3241148952818546,0.2358088049414343,0.13481192166655634,0.0527797473069294,0.0120666191472861,0.0013656538067599864,2.0627062706270627e-05,1,5173,5173,boundary,0.25
boundary,temperature,0.2903225806451613,real,0.9428571428571428,gate_small_vehicle_resnet18_temperature,0.8276111384863906,0.7894827763664364,0.35359973157559377,0.7046522439442717,0.5464551355917676,0.364526157338248,0.1920535693554282,0.08279155861663623,0.02648975134949705,0.0016992468477616993,0.00023573785950023574,1,124,124,boundary,0.30000000000000004
interior,temperature,0.6723371351246858,real,0.8943089430894309,gate_small_vehicle_resnet18_temperature,0.4480473597460267,0.42429977728948315,0.20194185693958264,0.38645826438548486,0.3240365796092629,0.23573599878275414,0.13469015899219644,0.05270865471220532,0.012055495008946569,0.0013656538067599864,2.0627062706270627e-05,1,5173,5173,boundary,0.30000000000000004
boundary,temperature,0.3387096774193548,real,0.9285714285714286,gate_small_vehicle_resnet18_temperature,0.8271914981939201,0.7889713459937199,0.3521105388927968,0.6974116096642968,0.5401718315887927,0.3641933329115393,0.19194028611729463,0.08279991850413342,0.02649042464771928,0.0016994034470515216,0.00023573785950023574,1,124,124,boundary,0.35000000000000003
interior,temperature,0.6899284747728591,real,0.8739837398373984,gate_small_vehicle_resnet18_temperature,0.4475711364034385,0.42406262167776954,0.20186509235426836,0.38638226155189437,0.3240229781358647,0.23577028071719952,0.1347051773334165,0.05269277770781093,0.012057366083061594,0.0013656538067599864,2.0670125467661587e-05,1,5173,5173,boundary,0.35000000000000003
boundary,temperature,0.4112903225806452,real,0.8857142857142857,gate_small_vehicle_resnet18_temperature,0.8270130212282293,0.7886436950599602,0.3515562903841069,0.6970769988344176,0.53969676616194,0.36371861279522455,0.18835199794052382,0.0826246079139654,0.026501748564247564,0.0016997174830605233,0.00023573785950023574,1,124,124,boundary,0.4
interior,temperature,0.7086796829692635,real,0.8407859078590786,gate_small_vehicle_resnet18_temperature,0.4477621076642019,0.4242316527203734,0.2018751697557569,0.38644796752689664,0.3240365221760058,0.23566149446815113,0.1345383822511235,0.05262692045153391,0.012060326367054817,0.0013656538067599864,2.0670125467661587e-05,1,5173,5173,boundary,0.4
boundary,temperature,0.43548387096774194,real,0.8714285714285714,gate_small_vehicle_resnet18_temperature,0.8187407475787356,0.780724876247432,0.3493186653379784,0.6962704507977092,0.539196631590939,0.3588535280772847,0.1883729548965321,0.08258793694068406,0.026503914469692785,0.0016998749212737785,0.00023573785950023574,1,124,124,boundary,0.45
interior,temperature,0.7227914169727431,real,0.809620596205962,gate_small_vehicle_resnet18_temperature,0.4411252229906578,0.41789720294307736,0.19911822109290542,0.3806932442776316,0.3187567138610961,0.23508911959209292,0.1317020713247108,0.05246053345117905,0.012071778556380992,0.0013656538067599864,2.0670125467661587e-05,1,5173,5173,boundary,0.45
boundary,temperature,0.47580645161290325,real,0.8285714285714286,gate_small_vehicle_resnet18_temperature,0.8097942844124223,0.7718206144383961,0.3447919385507875,0.6810953621964511,0.531641754861268,0.3570096744323586,0.18733449330058305,0.08080113189325473,0.02648502750614664,0.0017013046074945072,0.00023573785950023574,1,124,124,boundary,0.5
interior,temperature,0.7370964624009279,real,0.7865853658536586,gate_small_vehicle_resnet18_temperature,0.4400877476443825,0.41694312467233074,0.19813862587232178,0.3797092523535454,0.3180528704472055,0.23088651892326495,0.13147281959192691,0.05078530166273564,0.012062299495598562,0.0013656538067599864,2.0670125467661587e-05,1,5173,5173,boundary,0.5
boundary,temperature,0.5161290322580645,real,0.8,gate_small_vehicle_resnet18_temperature,0.8096324176933921,0.7716139461361012,0.34457657674505787,0.6807828349933399,0.5313607267922373,0.35664615229384117,0.18688971661115583,0.08040856300695871,0.026494207172703815,0.0017014648913482363,0.00023573785950023574,1,124,124,boundary,0.55
interior,temperature,0.7521747535279335,real,0.7513550135501355,gate_small_vehicle_resnet18_temperature,0.43280201160399123,0.4099272835984098,0.1957773883282595,0.37309539505706923,0.31682919935554915,0.23002093050657438,0.1310028545221174,0.050664198486298315,0.012045686220357822,0.0013656538067599864,2.0670125467661587e-05,1,5173,5173,boundary,0.55
boundary,temperature,0.532258064516129,real,0.7714285714285715,gate_small_vehicle_resnet18_temperature,0.8091386690286907,0.7708383650155912,0.3426456927825302,0.6797483860334079,0.5239695788691372,0.3501994705817967,0.18354749909536042,0.08054518285182193,0.026531280865045567,0.0017027576249500254,0.00023573785950023574,1,124,124,boundary,0.6000000000000001
interior,temperature,0.7618403247631935,real,0.7296747967479674,gate_small_vehicle_resnet18_temperature,0.43248631061167997,0.4094989416012013,0.19551087738315695,0.37273848459132586,0.31638987041171013,0.229542267315641,0.13060834647862885,0.05035925077734162,0.011997512022100892,0.0014668133480014668,2.09766739385803e-05,1,5173,5173,boundary,0.6000000000000001
boundary,temperature,0.5564516129032258,real,0.7571428571428571,gate_small_vehicle_resnet18_temperature,0.8001047475894665,0.7622414503379619,0.33985529393876157,0.6713843581204009,0.5225818951038749,0.35028083954178524,0.18318863850407682,0.08036573209125719,0.026465470991482186,0.0017040692478099233,0.00023573785950023574,1,124,124,boundary,0.65
interior,temperature,0.7747921902184419,real,0.698509485094851,gate_small_vehicle_resnet18_temperature,0.43198442116928093,0.4090023146116808,0.19451682943985502,0.37210604557183635,0.3110188505623844,0.22892600681853464,0.13006778773201425,0.05013782497986378,0.010319683273518161,0.0015841584158415843,2.120126359531028e-05,1,5173,5173,boundary,0.65
boundary,temperature,0.5645161290322581,real,0.7428571428571429,gate_small_vehicle_resnet18_temperature,0.8001047475894665,0.7622414503379619,0.33985529393876157,0.6713843581204009,0.5225818951038749,0.35028083954178524,0.18318863850407682,0.08036573209125719,0.026465470991482186,0.0017040692478099233,0.00023573785950023574,1,124,124,boundary,0.7000000000000001
interior,temperature,0.789290547071332,real,0.6653116531165312,gate_small_vehicle_resnet18_temperature,0.4259021534070983,0.4028845089891849,0.19177763505962275,0.36625111269406185,0.3102379768228345,0.224283065749906,0.12643299412458145,0.04980757089717239,0.01023353269830179,0.0017219113215669393,2.152389151958674e-05,1,5173,5173,boundary,0.7000000000000001
boundary,temperature,0.6290322580645161,real,0.6285714285714286,gate_small_vehicle_resnet18_temperature,0.7834533605668894,0.7454358627499599,0.3305955449968859,0.6545092478534013,0.5064143383971991,0.3360257834112653,0.17558484016567813,0.07681185504594187,0.025786200429411654,0.0016982234896119309,0.00023573785950023574,1,124,124,boundary,0.75
interior,temperature,0.8043688381983375,real,0.6233062330623306,gate_small_vehicle_resnet18_temperature,0.4181559372092712,0.3954396264527705,0.1887423205371681,0.359098039626422,0.30425627379992115,0.22345567714420225,0.12588093900306446,0.04954408052036011,0.009712899524813284,0.0018564356435643563,2.3296447291788e-05,1,5173,5173,boundary,0.75
boundary,temperature,0.6532258064516129,real,0.6,gate_small_vehicle_resnet18_temperature,0.7832086935595493,0.7451731429301556,0.3303455408328906,0.6541718627262834,0.5059331831615052,0.33544437150330547,0.17523094763933908,0.07656433812898086,0.025794581153147755,0.0016985496671396297,0.00023573785950023574,1,124,124,boundary,0.8
interior,temperature,0.8215735549971003,real,0.5697831978319783,gate_small_vehicle_resnet18_temperature,0.40838241726384955,0.3859846722705153,0.18382143717903296,0.35019239101488536,0.2962851545017878,0.21717465553865764,0.1214293668446571,0.04719416374879347,0.00969165290177302,0.0018564356435643563,2.3462061845995027e-05,1,5173,5173,boundary,0.8
boundary,temperature,0.6854838709677419,real,0.5571428571428572,gate_small_vehicle_resnet18_temperature,0.7657745740119076,0.7281861190203833,0.3246352208155198,0.6466570220796855,0.4996376682107766,0.3309196319624522,0.1716447378363786,0.07577410582663492,0.02582090125529068,0.001701710092188609,0.00023573785950023574,1,124,124,boundary,0.8500000000000001
interior,temperature,0.8410980088923256,real,0.5149051490514905,gate_small_vehicle_resnet18_temperature,0.38401438088609613,0.3622464873085072,0.17426298039718247,0.3338135861737251,0.2818385402288536,0.20568070129963467,0.11649213306428434,0.04668486371719931,0.009855169892189751,0.0019801980198019802,2.374338153239784e-05,1,5173,5173,boundary,0.8500000000000001
boundary,temperature,0.75,real,0.44285714285714284,gate_small_vehicle_resnet18_temperature,0.683191730746236,0.6485902004882629,0.29379880925077256,0.5779638593564291,0.4555797525492395,0.30773709192956067,0.16440189974083638,0.07398077809930674,0.024593814814546432,0.0017132269238076835,0.00023573785950023574,1,124,124,boundary,0.9
interior,temperature,0.8660351826792964,real,0.4383468834688347,gate_small_vehicle_resnet18_temperature,0.35931677331710044,0.34456208703171376,0.16440170353136002,0.31663099718756227,0.2660189027356703,0.19230118844976005,0.11064890750842893,0.043878010421273296,0.008514554584944925,0.0021216407355021216,2.397334164409177e-05,1,5173,5173,boundary,0.9
boundary,temperature,0.8467741935483871,real,0.2714285714285714,gate_small_vehicle_resnet18_temperature,0.45555336324382706,0.4420554903496625,0.2004140827509488,0.3961864584163954,0.3196324645698017,0.21764023326508575,0.10810763252336597,0.045202725721459204,0.016462129386886886,0.0033003300330033,0.0,1,124,124,boundary,0.9500000000000001
interior,temperature,0.9002513048521168,real,0.33062330623306235,gate_small_vehicle_resnet18_temperature,0.31504755822004377,0.3013436797849663,0.14398257598575326,0.2752883678172506,0.2338742678592201,0.16914702975968376,0.09783713698917627,0.03623723432328549,0.008740701713244054,0.002284843869002285,2.4939521659974562e-05,1,5173,5173,boundary,0.9500000000000001
boundary,temperature,1.0,real,0.0,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,124,124,boundary,1.0
interior,temperature,1.0,real,0.0,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5173,5173,boundary,1.0
