calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,482027.0,116534.0,0.0,real,9534.6,10594.0,1.0,gate_small_vehicle_resnet18_temperature,0.46409647120306147,0.43910604931975056,0.20722054866915757,0.3949619886839381,0.33074662856862086,0.2406083142133001,0.13539684372616997,0.053239546028309596,0.012709671271698286,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,491561.6,127128.0
temperature,254163.0,61446.0,0.4727204077779875,real,9534.6,10594.0,0.9870633893919794,gate_small_vehicle_resnet18_temperature,0.4635847008876291,0.4389195579474761,0.20721605771215165,0.39501920542952434,0.3310117896860042,0.24080498044823595,0.13549011767954974,0.053272479635379115,0.012717771730991494,0.0013201320132013201,1.984166352506994e-05,2793,1,5297,0.05,263697.6,72040.0
temperature,216216.0,52272.0,0.5514442137058713,real,9534.6,10594.0,0.9715394566623544,gate_small_vehicle_resnet18_temperature,0.46341746260677663,0.4389034904184101,0.2072095406912426,0.39499162408625693,0.33104088063787007,0.24085260360454963,0.13554244040161637,0.05328383164167213,0.01272309983854761,0.0013201320132013201,1.984166352506994e-05,2376,1,5297,0.1,225750.6,62866.0
temperature,197379.0,47718.0,0.5905229375117991,real,9534.6,10594.0,0.9592496765847348,gate_small_vehicle_resnet18_temperature,0.46344394603705813,0.4389366721763471,0.207218549728583,0.39502102954029966,0.3310152991398561,0.24087217322316373,0.13554733125806037,0.05328328620561334,0.012725786028705078,0.0013201320132013201,1.984166352506994e-05,2169,1,5297,0.15000000000000002,206913.6,58312.0
temperature,184275.0,44550.0,0.6177081366811403,real,9534.6,10594.0,0.9456662354463131,gate_small_vehicle_resnet18_temperature,0.46339018519241654,0.4388364682403344,0.20713880386094186,0.3948829353395426,0.33079078904971637,0.24064904832113262,0.13550820628617316,0.053266013915163495,0.012724258251537784,0.0013201320132013201,2.0002000200020003e-05,2025,1,5297,0.2,193809.6,55144.0
temperature,171717.0,41514.0,0.6437606192184255,real,9534.6,10594.0,0.9223803363518758,gate_small_vehicle_resnet18_temperature,0.46314468500864436,0.4333517704362309,0.20651872545197505,0.3946595541273643,0.3306463783218636,0.24061995770146707,0.13544158601778222,0.05324585721705406,0.012737291186063194,0.0013201320132013201,2.004249007896741e-05,1887,1,5297,0.25,181251.6,52108.0
temperature,162253.0,39226.0,0.6633943741740608,real,9534.6,10594.0,0.8965071151358344,gate_small_vehicle_resnet18_temperature,0.45701877983650807,0.4330161864174303,0.2054000518425267,0.39447912739012625,0.33055996490118283,0.2369615567017786,0.1353007160104792,0.05317261286774582,0.012151399796735414,0.0013201320132013201,2.004249007896741e-05,1783,1,5297,0.30000000000000004,171787.6,49820.0
temperature,153426.0,37092.0,0.6817066263922975,real,9534.6,10594.0,0.8764553686934023,gate_small_vehicle_resnet18_temperature,0.45654369563592245,0.4328023662183785,0.20532728913435436,0.39438395520779446,0.3305686169780442,0.23698669040980816,0.1353152022338985,0.05317775463657787,0.01215439486570095,0.0013201320132013201,2.008314421705862e-05,1686,1,5297,0.35000000000000003,162960.6,47686.0
temperature,143780.0,34760.0,0.7017179535586181,real,9534.6,10594.0,0.8428201811125485,gate_small_vehicle_resnet18_temperature,0.4567446609891019,0.43291235030890923,0.20436150523214378,0.38933356106746353,0.3259831793906402,0.23687930340429625,0.1351556175912628,0.05311128834310234,0.012154876069243297,0.0013201320132013201,2.008314421705862e-05,1580,1,5297,0.4,153314.6,45354.0
temperature,136864.0,33088.0,0.7160656975646593,real,9534.6,10594.0,0.8124191461836999,gate_small_vehicle_resnet18_temperature,0.45007618983216485,0.4266084052100714,0.2028713680583277,0.3886481027468372,0.32543927558504937,0.23642193756108287,0.1350347113028122,0.05297957045399206,0.012165272733848887,0.0013201320132013201,2.008314421705862e-05,1504,1,5297,0.45,146398.6,43682.0
temperature,129675.0,31350.0,0.7309797998867283,real,9534.6,10594.0,0.7884864165588615,gate_small_vehicle_resnet18_temperature,0.4490179391451947,0.42559380742717057,0.2023825210593276,0.3876626185992195,0.32461801931971496,0.23589778679957596,0.1346900322579376,0.052848256002661055,0.012156535884383327,0.0013201320132013201,2.008314421705862e-05,1425,1,5297,0.5,139209.6,41944.0
temperature,122122.0,29524.0,0.7466490466301681,real,9534.6,10594.0,0.7535575679172057,gate_small_vehicle_resnet18_temperature,0.44173840657578634,0.41858061840840816,0.19872446367417318,0.3811172727504138,0.3186501336372758,0.2310915199424678,0.1315360519101901,0.05104670700408037,0.012143711355691231,0.0013201320132013201,2.008314421705862e-05,1342,1,5297,0.55,131656.6,40118.0
temperature,117390.0,28380.0,0.7564659241079856,real,9534.6,10594.0,0.7315653298835705,gate_small_vehicle_resnet18_temperature,0.4413907760725737,0.4181783952708306,0.19845441847538772,0.38068089832014906,0.31827334417194253,0.2305995000430446,0.13113215234292336,0.0507532909537195,0.012101028014081163,0.0014144271570014143,2.0372407611131484e-05,1290,1,5297,0.6000000000000001,126924.6,38974.0
temperature,111020.0,26840.0,0.7696809514819709,real,9534.6,10594.0,0.7011642949547219,gate_small_vehicle_resnet18_temperature,0.44086249104894193,0.41766063800356296,0.19803663016363576,0.3800514665936185,0.3176066745633087,0.2300856970457859,0.130615276051633,0.05052690389706385,0.011413341007441445,0.0015232292460015233,2.0584179000020584e-05,1220,1,5297,0.65,120554.6,37434.0
temperature,104104.0,25168.0,0.784028695488012,real,9534.6,10594.0,0.6688227684346701,gate_small_vehicle_resnet18_temperature,0.4348337798584072,0.4115754677239677,0.19550282532396596,0.3742348507042951,0.3119282497798405,0.22930261203937505,0.1299066885535318,0.05022875548926998,0.01134679590970494,0.00165016501650165,2.088816476584367e-05,1144,1,5297,0.7000000000000001,113638.6,35762.0
temperature,96278.0,23276.0,0.8002643005474797,real,9534.6,10594.0,0.6235446313065977,gate_small_vehicle_resnet18_temperature,0.4270361772785484,0.4040318180742816,0.1921716966110058,0.3670924273682471,0.3108983855781546,0.22441946270336066,0.12619536540606352,0.04996066052887575,0.010312882117444544,0.0017472335468841002,2.255350819820023e-05,1058,1,5297,0.75,105812.6,33870.0
temperature,87906.0,21252.0,0.8176326222390032,real,9534.6,10594.0,0.5711513583441138,gate_small_vehicle_resnet18_temperature,0.4108684217067757,0.3947059011997112,0.18694877329003196,0.35823643205235817,0.3029712454729666,0.21804583829879362,0.12504778432753913,0.04756380270681929,0.010278364895584011,0.0017472335468841002,2.270869288763739e-05,966,1,5297,0.8,97440.6,31846.0
temperature,78351.0,18942.0,0.8374551632999812,real,9534.6,10594.0,0.5168175937904269,gate_small_vehicle_resnet18_temperature,0.3929714930344172,0.37100439479764585,0.1784698081979945,0.34192309045117963,0.2886126336691467,0.21088605017392228,0.12012861055629771,0.04706792158533037,0.01022447993364059,0.0018564356435643563,2.297213480048701e-05,861,1,5297,0.8500000000000001,87885.6,29536.0
temperature,65884.0,15928.0,0.8633188597319237,real,9534.6,10594.0,0.4385510996119017,gate_small_vehicle_resnet18_temperature,0.36795822820199187,0.3528995013159396,0.16767853524061488,0.3184506894229618,0.2725823393606517,0.19770505827309645,0.11101090911644021,0.044240271449640635,0.009934969915181929,0.0019801980198019802,2.318733044264614e-05,724,1,5297,0.9,75418.6,26522.0
temperature,48685.0,11770.0,0.898999433641684,real,9534.6,10594.0,0.3279430789133247,gate_small_vehicle_resnet18_temperature,0.3228087675483623,0.3020413070761189,0.1449488473999721,0.2758630490771407,0.23429940043907854,0.1692662095132767,0.09785334600859859,0.03628526993365411,0.00876140367494388,0.002284843869002285,2.487685954525101e-05,535,1,5297,0.9500000000000001,58219.6,22364.0
temperature,0.0,0.0,1.0,real,9534.6,10594.0,0.0,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,9534.6,10594.0
