bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,stratum,threshold
high,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.6712713269101485,0.6216343106170188,0.27300762412758345,0.5432589947241835,0.42661664637793467,0.2806547180740409,0.13828050897481048,0.04157596899692751,0.006510151808200823,0.0002675943270002676,6.02046556929188e-06,1,1335,1335,gsd_bucket,0.0
low,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2209,2209,gsd_bucket,0.0
medium,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.0005824111822947001,0.0005824111822947001,0.00023296447291788004,0.0005824111822947001,0.0005824111822947001,0.0,0.0,0.0,0.0,0.0,0.0,1,389,389,gsd_bucket,0.0
unknown,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.49181944166336855,0.34335951758809574,0.13708386719770177,0.22795615451038043,0.14074723818897977,0.0789063062321676,0.04287214041676483,0.023325163912765987,0.011951719365484937,0.009900990099009901,0.0,1,134,134,gsd_bucket,0.0
very_high,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.8171822132808843,0.804125533701812,0.42472792060369596,0.777811323196958,0.7097667125128331,0.5774299258558848,0.3690401096057995,0.1580854856033141,0.031334382532014135,0.002483105334883585,2.0414412575278145e-05,1,1143,1143,gsd_bucket,0.0
very_low,temperature,0.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.0
high,temperature,0.06142322097378277,real,0.9890643985419199,gate_small_vehicle_resnet18_temperature,0.6710420917764803,0.6218514971245969,0.2726135543960857,0.5379019935898048,0.42731753847494863,0.28112216965802084,0.13847945212248997,0.041630467658100336,0.006516711840962079,0.0002675943270002676,6.027388453131027e-06,1,1335,1335,gsd_bucket,0.05
low,temperature,0.9121774558623812,real,0.7272727272727273,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2209,2209,gsd_bucket,0.05
medium,temperature,0.2390745501285347,real,0.9774436090225563,gate_small_vehicle_resnet18_temperature,0.0005824111822947001,0.0005824111822947001,0.00023296447291788004,0.0005824111822947001,0.0005824111822947001,0.0,0.0,0.0,0.0,0.0,0.0,1,389,389,gsd_bucket,0.05
unknown,temperature,0.5223880597014925,real,0.8461538461538461,gate_small_vehicle_resnet18_temperature,0.493298381173627,0.33926981522336874,0.13696814360413195,0.228477044740085,0.14118289045469218,0.07925813233950366,0.043017298732782046,0.023325163912765987,0.011951719365484937,0.009900990099009901,0.0,1,134,134,gsd_bucket,0.05
very_high,temperature,0.13823272090988625,real,0.9946996466431095,gate_small_vehicle_resnet18_temperature,0.8172017199735003,0.8041127212348707,0.4247274482123441,0.7778097108043519,0.70975823775501,0.5774372255000925,0.3690290568879685,0.15808720510488733,0.03133474831831422,0.0024834421318692284,2.0414412575278145e-05,1,1143,1143,gsd_bucket,0.05
very_low,temperature,0.9885057471264368,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.05
high,temperature,0.12808988764044943,real,0.9805589307411907,gate_small_vehicle_resnet18_temperature,0.6710614928876926,0.6155102936582986,0.27205245155401114,0.5380972130678626,0.4275052818224387,0.28133490979387776,0.1385648944750264,0.04165680207345104,0.006520002782670607,0.0002675943270002676,6.030651792845771e-06,1,1335,1335,gsd_bucket,0.1
low,temperature,0.9628791308284291,real,0.36363636363636365,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2209,2209,gsd_bucket,0.1
medium,temperature,0.38817480719794345,real,0.9398496240601504,gate_small_vehicle_resnet18_temperature,0.0005824111822947001,0.0005824111822947001,0.00023296447291788004,0.0005824111822947001,0.0005824111822947001,0.0,0.0,0.0,0.0,0.0,0.0,1,389,389,gsd_bucket,0.1
unknown,temperature,0.7761194029850746,real,0.6923076923076923,gate_small_vehicle_resnet18_temperature,0.4943197747417558,0.3398461092590547,0.1372093660078271,0.22883860574181628,0.14141128321712454,0.07941937539620564,0.04308063834505315,0.023325163912765987,0.011951719365484937,0.009900990099009901,0.0,1,134,134,gsd_bucket,0.1
very_high,temperature,0.2458442694663167,real,0.9840989399293286,gate_small_vehicle_resnet18_temperature,0.8171649029396618,0.804069252691189,0.42392793773805976,0.7699915960328898,0.7097022971908196,0.5773359605923464,0.369073120599273,0.15809541027524357,0.03134240397350564,0.0024840186730930892,2.0414412575278145e-05,1,1143,1143,gsd_bucket,0.1
very_low,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.1
high,temperature,0.1745318352059925,real,0.9756986634264885,gate_small_vehicle_resnet18_temperature,0.6710832972474093,0.6155437910996825,0.27207010208251736,0.5381385346624148,0.427531083838147,0.28136639472318015,0.1385817356625502,0.04166214958784821,0.006520408616982551,0.0002675943270002676,6.031059958787757e-06,1,1335,1335,gsd_bucket,0.15000000000000002
low,temperature,0.9778180172023541,real,0.2727272727272727,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2209,2209,gsd_bucket,0.15000000000000002
medium,temperature,0.4498714652956298,real,0.8947368421052632,gate_small_vehicle_resnet18_temperature,0.0005824111822947001,0.0005824111822947001,0.00023296447291788004,0.0005824111822947001,0.0005824111822947001,0.0,0.0,0.0,0.0,0.0,0.0,1,389,389,gsd_bucket,0.15000000000000002
unknown,temperature,0.8432835820895522,real,0.6153846153846154,gate_small_vehicle_resnet18_temperature,0.4951896414183244,0.34036544907078764,0.13744469203487522,0.22925734698168077,0.14164633590846537,0.07962913410665506,0.04318113948557809,0.023325163912765987,0.011951719365484937,0.009900990099009901,0.0,1,134,134,gsd_bucket,0.15000000000000002
very_high,temperature,0.31496062992125984,real,0.9717314487632509,gate_small_vehicle_resnet18_temperature,0.8172931033733382,0.8042179530889562,0.4239828019621689,0.7700911059291222,0.7097926329796859,0.5773932899999528,0.3690995438746394,0.15808950465422433,0.0313453225049332,0.002485148804261754,2.0414412575278145e-05,1,1143,1143,gsd_bucket,0.15000000000000002
very_low,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.15000000000000002
high,temperature,0.2209737827715356,real,0.9623329283110571,gate_small_vehicle_resnet18_temperature,0.6712428341170574,0.6156569892600215,0.2720896155819605,0.5381898291068036,0.4275204821390864,0.2813059751838955,0.1385467486679386,0.041642634702504136,0.0065170323530341695,0.0002675943270002676,6.03596226316393e-06,1,1335,1335,gsd_bucket,0.2
low,temperature,0.9818922589406971,real,0.2727272727272727,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2209,2209,gsd_bucket,0.2
medium,temperature,0.4961439588688946,real,0.8571428571428571,gate_small_vehicle_resnet18_temperature,0.0005824111822947001,0.0005824111822947001,0.00023296447291788004,0.0005824111822947001,0.0005824111822947001,0.0,0.0,0.0,0.0,0.0,0.0,1,389,389,gsd_bucket,0.2
unknown,temperature,0.8805970149253731,real,0.5384615384615384,gate_small_vehicle_resnet18_temperature,0.49525261625744227,0.34041627937025204,0.13746837521852942,0.229308414260008,0.1416769559494874,0.07965770527655164,0.04319390769429186,0.023325163912765987,0.011951719365484937,0.009900990099009901,0.0,1,134,134,gsd_bucket,0.2
very_high,temperature,0.35870516185476814,real,0.9646643109540636,gate_small_vehicle_resnet18_temperature,0.8087681330255941,0.7958352521822893,0.4205145985065548,0.7696723339136262,0.7018942155438133,0.5705977045473142,0.369326690652226,0.15515504202420907,0.03138641279727138,0.0024896162002043185,2.0584179000020584e-05,1,1143,1143,gsd_bucket,0.2
very_low,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.2
