bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
GF,temperature,0.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.0
GoogleEarth,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.4640965963071649,0.4391061300008854,0.20722061967915542,0.3949620501716081,0.33074699819654035,0.2406084410226932,0.13539669536830917,0.053239632411228456,0.012709679636398042,0.0013201320132013201,1.984166352506994e-05,1,3317,3317,,imagesource,0.0
JL,temperature,0.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.0
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.0
GF,temperature,0.9846153846153847,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.05
GoogleEarth,temperature,0.18691588785046728,real,0.9870633893919794,gate_small_vehicle_resnet18_temperature,0.4635846118257821,0.43891955442475333,0.20721603438775404,0.39501926520007236,0.331011600568518,0.24080498044823595,0.13549010993417648,0.05327254244064335,0.01271770535863242,0.0013201320132013201,1.984166352506994e-05,1,3317,3317,,imagesource,0.05
JL,temperature,0.932806324110672,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.05
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.05
GF,temperature,0.9986013986013986,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.1
GoogleEarth,temperature,0.2882122399758818,real,0.9715394566623544,gate_small_vehicle_resnet18_temperature,0.4634173963524798,0.4389034754233835,0.20720969275485013,0.39499281129254477,0.3310409613200539,0.24085272638084806,0.13554271810544818,0.05328383164167213,0.01272303335534442,0.0013201320132013201,1.984166352506994e-05,1,3317,3317,,imagesource,0.1
JL,temperature,0.9889328063241106,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.1
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.1
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.15000000000000002
GoogleEarth,temperature,0.34760325595417546,real,0.9592496765847348,gate_small_vehicle_resnet18_temperature,0.46344391735102963,0.4389366638362159,0.20721871480842707,0.3950222167465875,0.3310153797901209,0.24087238199722683,0.13554760896189216,0.05328328620561334,0.012725719518857983,0.0013201320132013201,1.984166352506994e-05,1,3317,3317,,imagesource,0.15000000000000002
JL,temperature,0.9960474308300395,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.15000000000000002
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.15000000000000002
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.2
GoogleEarth,temperature,0.39041302381670184,real,0.9456662354463131,gate_small_vehicle_resnet18_temperature,0.4633901299512492,0.43883613814250405,0.2071386447350982,0.3948828257497031,0.33079059969462565,0.24064899518345043,0.13550735244934695,0.053266013915163495,0.012724258251537784,0.0013201320132013201,2.0002000200020003e-05,1,3317,3317,,imagesource,0.2
JL,temperature,0.9976284584980237,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.2
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.2
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.25
GoogleEarth,temperature,0.43111245100994877,real,0.9223803363518758,gate_small_vehicle_resnet18_temperature,0.46314468742033854,0.4333515081740161,0.20651876296192245,0.3946595622772401,0.3306468154774722,0.2406192269704551,0.1354424372261625,0.05324592638419598,0.012737291186063194,0.0013201320132013201,2.004249007896741e-05,1,3317,3317,,imagesource,0.25
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.25
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.25
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.30000000000000004
