calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,482027.0,116534.0,0.0,real,9534.6,10594.0,1.0,gate_small_vehicle_resnet18_temperature,0.4640964488719977,0.4391059103207261,0.20722051218576412,0.3949620501716081,0.33074682182796583,0.24060794529354262,0.135396789970095,0.053239510453280826,0.012709671271698286,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,491561.6,127128.0
temperature,254163.0,61446.0,0.4727204077779875,real,9534.6,10594.0,0.9870633893919794,gate_small_vehicle_resnet18_temperature,0.4635845994154575,0.43891955741903826,0.20721626493903123,0.3950190880567192,0.3310119891415258,0.24080498044823595,0.13549035251886554,0.05327437017003854,0.012717738543704902,0.0013201320132013201,1.984166352506994e-05,2793,1,5297,0.05,263697.6,72040.0
temperature,216216.0,52272.0,0.5514442137058713,real,9534.6,10594.0,0.9715394566623544,gate_small_vehicle_resnet18_temperature,0.46341746260677663,0.43890349193031425,0.20720978402954798,0.3949916660300511,0.33104116861504485,0.2408521825949328,0.13554310655906981,0.05328572168672767,0.012723066595836186,0.0013201320132013201,1.984166352506994e-05,2376,1,5297,0.1,225750.6,62866.0
temperature,197379.0,47718.0,0.5905229375117991,real,9534.6,10594.0,0.9592496765847348,gate_small_vehicle_resnet18_temperature,0.4634439836053264,0.43893667366732053,0.20721881198329783,0.3950212259404176,0.33101558429078637,0.24087175221354695,0.13554799741551382,0.053285176250668885,0.012725752772671035,0.0013201320132013201,1.984166352506994e-05,2169,1,5297,0.15000000000000002,206913.6,58312.0
temperature,184275.0,44550.0,0.6177081366811403,real,9534.6,10594.0,0.9456662354463131,gate_small_vehicle_resnet18_temperature,0.46339005911671216,0.4388362828962226,0.20713888132393538,0.3948827113973027,0.330790989224553,0.24064871515255717,0.13550735244934695,0.05326831073771992,0.012724258251537784,0.0013201320132013201,2.0002000200020003e-05,2025,1,5297,0.2,193809.6,55144.0
temperature,171717.0,41514.0,0.6437606192184255,real,9534.6,10594.0,0.9223803363518758,gate_small_vehicle_resnet18_temperature,0.46314470553085385,0.43335172913506864,0.20651881055485002,0.3946594049327237,0.33064656807436155,0.24061887406057283,0.1354412682704347,0.053248089855141234,0.012737291186063194,0.0013201320132013201,2.004249007896741e-05,1887,1,5297,0.25,181251.6,52108.0
temperature,162253.0,39226.0,0.6633943741740608,real,9534.6,10594.0,0.8965071151358344,gate_small_vehicle_resnet18_temperature,0.4570185770078299,0.43301610115907796,0.20540020981618778,0.394479514727178,0.3305598761425859,0.23696102798791518,0.13530046915793262,0.05317501942825876,0.012151338047819111,0.0013201320132013201,2.004249007896741e-05,1783,1,5297,0.30000000000000004,171787.6,49820.0
temperature,153426.0,37092.0,0.6817066263922975,real,9534.6,10594.0,0.8764553686934023,gate_small_vehicle_resnet18_temperature,0.45654352913387447,0.43280277548480117,0.20532750257320015,0.39438363474079324,0.33056880413854156,0.23698609511205462,0.13531545480289783,0.053180122295919126,0.01215439486570095,0.0013201320132013201,2.008314421705862e-05,1686,1,5297,0.35000000000000003,162960.6,47686.0
temperature,143780.0,34760.0,0.7017179535586181,real,9534.6,10594.0,0.8428201811125485,gate_small_vehicle_resnet18_temperature,0.45674513610773615,0.43291239585138236,0.20436156246709344,0.38933344193280095,0.32598222716291947,0.23687874752902158,0.1351550273372064,0.053113590595744144,0.01215484299670504,0.0013201320132013201,2.008314421705862e-05,1580,1,5297,0.4,153314.6,45354.0
temperature,136864.0,33088.0,0.7160656975646593,real,9534.6,10594.0,0.8124191461836999,gate_small_vehicle_resnet18_temperature,0.4500761655925932,0.42660826866351004,0.20287162410156534,0.38864809945661843,0.3254390046897734,0.2364225249426872,0.13503462935161495,0.05298206042758864,0.012165272733848887,0.0013201320132013201,2.008314421705862e-05,1504,1,5297,0.45,146398.6,43682.0
temperature,129675.0,31350.0,0.7309797998867283,real,9534.6,10594.0,0.7884864165588615,gate_small_vehicle_resnet18_temperature,0.4490179268158963,0.4255934496604841,0.20238266947760858,0.3876625441374949,0.32461811955679865,0.23589756738480352,0.13468977972286267,0.05285055645594381,0.012156535884383327,0.0013201320132013201,2.008314421705862e-05,1425,1,5297,0.5,139209.6,41944.0
temperature,122122.0,29524.0,0.7466490466301681,real,9534.6,10594.0,0.7535575679172057,gate_small_vehicle_resnet18_temperature,0.44173837123105036,0.4185805699613365,0.19872478072457309,0.38111721534715587,0.31865015091565124,0.231092563007988,0.1315357007605071,0.05104915999835243,0.012143860866271288,0.0013201320132013201,2.008314421705862e-05,1342,1,5297,0.55,131656.6,40118.0
temperature,117390.0,28380.0,0.7564659241079856,real,9534.6,10594.0,0.7315653298835705,gate_small_vehicle_resnet18_temperature,0.44139073845744947,0.4181791794495114,0.19845451844137676,0.3806808970020375,0.3182742244516335,0.23059900506966605,0.13113208223437992,0.0507532909537195,0.012100967230757521,0.0014144271570014143,2.0372407611131484e-05,1290,1,5297,0.6000000000000001,126924.6,38974.0
temperature,111020.0,26840.0,0.7696809514819709,real,9534.6,10594.0,0.7011642949547219,gate_small_vehicle_resnet18_temperature,0.4408624481393081,0.41766034558196763,0.19803675259965942,0.3800515253534429,0.3176066910372445,0.23008537631899334,0.1306151405074853,0.050528844625709515,0.011413341007441445,0.0015232292460015233,2.0584179000020584e-05,1220,1,5297,0.65,120554.6,37434.0
temperature,104104.0,25168.0,0.784028695488012,real,9534.6,10594.0,0.6688227684346701,gate_small_vehicle_resnet18_temperature,0.43483385279273357,0.4115755457381946,0.19550275645944346,0.3742346643652479,0.3119282728470815,0.22930190351146998,0.12990672075946452,0.05022875548926998,0.01134679590970494,0.00165016501650165,2.088816476584367e-05,1144,1,5297,0.7000000000000001,113638.6,35762.0
temperature,96278.0,23276.0,0.8002643005474797,real,9534.6,10594.0,0.6235446313065977,gate_small_vehicle_resnet18_temperature,0.42703591202784963,0.40403227471039393,0.19217178182071082,0.3670924311350929,0.31089858239574836,0.22441951575721025,0.1261949709053666,0.04996146210291975,0.010312882117444544,0.0017472335468841002,2.255350819820023e-05,1058,1,5297,0.75,105812.6,33870.0
temperature,87906.0,21252.0,0.8176326222390032,real,9534.6,10594.0,0.5711513583441138,gate_small_vehicle_resnet18_temperature,0.4108684261365461,0.39470650913571437,0.18694890086294663,0.35823597967612525,0.3029713509826609,0.21804646824205856,0.12504816461418605,0.04756380270681929,0.010278364895584011,0.0017472335468841002,2.270869288763739e-05,966,1,5297,0.8,97440.6,31846.0
temperature,78351.0,18942.0,0.8374551632999812,real,9534.6,10594.0,0.5168175937904269,gate_small_vehicle_resnet18_temperature,0.3929715540483617,0.3710045598660064,0.17846970995829298,0.34192259404616293,0.2886122707358756,0.21088605017392228,0.12012826141526482,0.04706792158533037,0.01022447993364059,0.0018564356435643563,2.297213480048701e-05,861,1,5297,0.8500000000000001,87885.6,29536.0
temperature,65884.0,15928.0,0.8633188597319237,real,9534.6,10594.0,0.4385510996119017,gate_small_vehicle_resnet18_temperature,0.36795825575064084,0.3528992822643073,0.1676783643504272,0.3184505607925145,0.27258219325740507,0.1977048819546748,0.1110097840912071,0.04424033012809588,0.009934969915181929,0.0019801980198019802,2.318733044264614e-05,724,1,5297,0.9,75418.6,26522.0
temperature,48685.0,11770.0,0.898999433641684,real,9534.6,10594.0,0.3279430789133247,gate_small_vehicle_resnet18_temperature,0.32280884321208575,0.302041361563702,0.14494874566915353,0.2758632018833925,0.23429867813425237,0.1692657625194906,0.0978532150414667,0.03628526993365411,0.00876140367494388,0.002284843869002285,2.487685954525101e-05,535,1,5297,0.9500000000000001,58219.6,22364.0
temperature,0.0,0.0,1.0,real,9534.6,10594.0,0.0,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,9534.6,10594.0
