bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,stratum,threshold
32-96px,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.41562277869079023,0.3993795816921347,0.1873326188583228,0.3634606720419013,0.30669006446420405,0.21851806363471135,0.11890106394921487,0.040589661233360386,0.009406519725323892,0.0007425742574257426,1.5208894161305532e-05,1,1124,1124,size_bucket,0.0
96-256px,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.4697172572206465,0.45042736427043134,0.22655320350445765,0.4193914525996342,0.3687532170120459,0.28935956821495606,0.1750965968008158,0.07448524127362763,0.016391359598183344,0.0018864602630267913,2.3517791209049648e-05,1,1214,1214,size_bucket,0.0
<32px,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.2337877081005923,0.2012953217882755,0.08526088813830138,0.1627398763043782,0.12203848408373624,0.07661705044762693,0.038882175322400535,0.013019106383513775,0.003245897345152472,0.0009738678785911378,9.393728746688711e-06,1,2035,2035,size_bucket,0.0
>256px,temperature,0.0,real,1.0,gate_small_vehicle_resnet18_temperature,0.7360678426760031,0.6803948987936222,0.2981372908960246,0.5878809266277215,0.4568328225615909,0.2955368852437354,0.15319050102830456,0.05484161930448012,0.015656244020544947,0.000913937547600914,5.7231156641675726e-05,1,924,924,size_bucket,0.0
32-96px,temperature,0.5427046263345195,real,0.9815789473684211,gate_small_vehicle_resnet18_temperature,0.41422156440204194,0.39365708546784806,0.1865829862817976,0.36383247471297636,0.307552238492451,0.2191597587019994,0.11652976425073976,0.0406980547515353,0.009421138886797008,0.0007425742574257426,1.5208894161305532e-05,1,1124,1124,size_bucket,0.05
96-256px,temperature,0.22899505766062603,real,0.9914821124361158,gate_small_vehicle_resnet18_temperature,0.4697199321537642,0.450424391338508,0.22655839067886602,0.4194047165705797,0.368771490106816,0.2893738891762352,0.17510100404455914,0.07448694511986349,0.016391560224098913,0.0018864602630267913,2.3517791209049648e-05,1,1214,1214,size_bucket,0.05
<32px,temperature,0.7356265356265356,real,0.96,gate_small_vehicle_resnet18_temperature,0.23378762310601378,0.2013792022153627,0.08528081177633191,0.16278824633051556,0.12207556147349234,0.07664219497509797,0.03888612935941397,0.013020001350932483,0.003245897345152472,0.0009738678785911378,9.393728746688711e-06,1,2035,2035,size_bucket,0.05
>256px,temperature,0.12878787878787878,real,0.9933920704845814,gate_small_vehicle_resnet18_temperature,0.7360989286999698,0.6736637214927982,0.29746973115244896,0.5878950837761849,0.45683948408566877,0.2955409388791514,0.15318772290245483,0.05484401896347426,0.015656244020544947,0.000913937547600914,5.7231156641675726e-05,1,924,924,size_bucket,0.05
32-96px,temperature,0.5951957295373665,real,0.9605263157894737,gate_small_vehicle_resnet18_temperature,0.4082556804032679,0.39370470829464554,0.1860590339545673,0.3639288331650279,0.3077187700021719,0.21932663899333135,0.11671330893295462,0.04075545190456658,0.009429141299821508,0.0007425742574257426,1.5232292460015233e-05,1,1124,1124,size_bucket,0.1
96-256px,temperature,0.28747940691927515,real,0.9829642248722317,gate_small_vehicle_resnet18_temperature,0.46972195775318554,0.45042840709841686,0.2265572865800229,0.4193983285871809,0.3687511205402264,0.28938046238289855,0.17510480558981045,0.07448604486318834,0.016391760931086373,0.0018864602630267913,2.3517791209049648e-05,1,1214,1214,size_bucket,0.1
<32px,temperature,0.828009828009828,real,0.904,gate_small_vehicle_resnet18_temperature,0.23383479207950916,0.201412351646483,0.08529148979670678,0.16279992890556344,0.12208302396748784,0.07664895907569383,0.03888668198890788,0.013020001350932483,0.003245897345152472,0.0009738678785911378,9.393728746688711e-06,1,2035,2035,size_bucket,0.1
>256px,temperature,0.23593073593073594,real,0.9845814977973568,gate_small_vehicle_resnet18_temperature,0.7361692459500137,0.6737239065564744,0.2974992657484848,0.5879168850685663,0.4569432673336458,0.29560278946052715,0.15317423318657303,0.05483343044100194,0.01565773078380227,0.000913937547600914,5.7231156641675726e-05,1,924,924,size_bucket,0.1
32-96px,temperature,0.6129893238434164,real,0.9526315789473684,gate_small_vehicle_resnet18_temperature,0.40825221999083533,0.3937044793021389,0.18605577589384453,0.3639122877582954,0.3077110938366105,0.21932022535719461,0.11671434950900302,0.040756155334660045,0.009429141299821508,0.0007425742574257426,1.5232292460015233e-05,1,1124,1124,size_bucket,0.15000000000000002
96-256px,temperature,0.3369028006589786,real,0.9744463373083475,gate_small_vehicle_resnet18_temperature,0.46987198791323226,0.45055058886809746,0.22660671855385722,0.419473698906189,0.3688146172733119,0.28944109628088677,0.17511357768030564,0.07449921002178488,0.016392430540528528,0.0018864602630267913,2.3517791209049648e-05,1,1214,1214,size_bucket,0.15000000000000002
<32px,temperature,0.8653562653562653,real,0.864,gate_small_vehicle_resnet18_temperature,0.230845221280308,0.20112946588308242,0.0849267406874306,0.1626160172244209,0.12188775960373666,0.07662772778079464,0.038907606637266265,0.013024111453149939,0.0032462354042095657,0.0009738678785911378,9.393728746688711e-06,1,2035,2035,size_bucket,0.15000000000000002
>256px,temperature,0.2911255411255411,real,0.9713656387665198,gate_small_vehicle_resnet18_temperature,0.7361664683360052,0.6737184498618765,0.2968686011094817,0.5817075939930298,0.4568931661062612,0.2955923000552548,0.15315389667373008,0.054824851949593655,0.015658115414822794,0.000913937547600914,5.7231156641675726e-05,1,924,924,size_bucket,0.15000000000000002
32-96px,temperature,0.6227758007117438,real,0.9421052631578948,gate_small_vehicle_resnet18_temperature,0.40818740728145647,0.39361786505848073,0.18548901284668579,0.35868193133694043,0.30760102785265614,0.21925120871732354,0.11665949023249889,0.04071176692477144,0.009421624512844893,0.0007425742574257426,1.5232292460015233e-05,1,1124,1124,size_bucket,0.2
96-256px,temperature,0.37067545304777594,real,0.9659284497444633,gate_small_vehicle_resnet18_temperature,0.4643138840259222,0.4505671710163494,0.22604617243423802,0.4194726029206103,0.3687969479082158,0.2894099387755112,0.17511290760566825,0.0744913521040966,0.01638679417915691,0.0018866080156402737,2.3517791209049648e-05,1,1214,1214,size_bucket,0.2
<32px,temperature,0.885995085995086,real,0.832,gate_small_vehicle_resnet18_temperature,0.23141968597186546,0.2015798711764008,0.08507783470621834,0.16284015539877494,0.12204972651864468,0.07669169886240594,0.03894033829749388,0.013027035346825262,0.0032465738824347403,0.0009738678785911378,9.393728746688711e-06,1,2035,2035,size_bucket,0.2
>256px,temperature,0.34523809523809523,real,0.9537444933920705,gate_small_vehicle_resnet18_temperature,0.7358077406361426,0.6731762509703197,0.2964710231796165,0.5809792570147273,0.4556655864960349,0.2946068201186308,0.1529600563751655,0.05482147230374703,0.01565917400220571,0.0009738678785911378,6.000600060006001e-05,1,924,924,size_bucket,0.2
32-96px,temperature,0.6379003558718861,real,0.9210526315789473,gate_small_vehicle_resnet18_temperature,0.4079930451281483,0.39337385421268556,0.18499247362409632,0.35859349979005184,0.3029169470206578,0.219421132227348,0.11668169816955358,0.04075569411230846,0.009431000218384186,0.0007425742574257426,1.529110440001529e-05,1,1124,1124,size_bucket,0.25
96-256px,temperature,0.4028006589785832,real,0.948892674616695,gate_small_vehicle_resnet18_temperature,0.46437444260971555,0.45059875082635054,0.22602904711366117,0.41946076114672987,0.36866371366936446,0.28933048895904984,0.17502221030636625,0.0745334214794725,0.016396167365935868,0.0018869409876767493,2.3573785950023575e-05,1,1214,1214,size_bucket,0.25
<32px,temperature,0.9056511056511056,real,0.784,gate_small_vehicle_resnet18_temperature,0.23029958888225632,0.19857042880118247,0.08444540505227134,0.16219203808756855,0.12188314451274705,0.0754387137741123,0.03883488345258419,0.013005417522489971,0.0032465738824347403,0.0009738678785911378,9.393728746688711e-06,1,2035,2035,size_bucket,0.25
>256px,temperature,0.3906926406926407,real,0.9273127753303965,gate_small_vehicle_resnet18_temperature,0.7353458238028435,0.6726356012633078,0.2952623122649475,0.5802593050355181,0.4499213226469844,0.29032122334552213,0.15269054478474967,0.05474499459692799,0.015670433294430054,0.0009738678785911378,6.000600060006001e-05,1,924,924,size_bucket,0.25
32-96px,temperature,0.646797153024911,real,0.9078947368421053,gate_small_vehicle_resnet18_temperature,0.4078440411660066,0.39319249809991086,0.18491281992774733,0.35846718860755733,0.30279403309272174,0.21931484112462477,0.11661324617235873,0.04071912940071647,0.009425356251751118,0.0007425742574257426,1.529110440001529e-05,1,1124,1124,size_bucket,0.30000000000000004
96-256px,temperature,0.4382207578253707,real,0.9165247018739353,gate_small_vehicle_resnet18_temperature,0.46378193046963884,0.44992559019735284,0.2252346030547955,0.4187429859152255,0.3680639990122885,0.2846860602886291,0.17458528978079735,0.07433434191688139,0.016315158207639114,0.0018871009735527495,2.3573785950023575e-05,1,1214,1214,size_bucket,0.30000000000000004
<32px,temperature,0.9169533169533169,real,0.728,gate_small_vehicle_resnet18_temperature,0.22503894177726272,0.19420990391925402,0.08339471799496308,0.16147140873645235,0.12157557263904753,0.07551386517248217,0.038874690914696045,0.013029201229674808,0.00325032503250325,0.0009738678785911378,9.40264966667607e-06,1,2035,2035,size_bucket,0.30000000000000004
>256px,temperature,0.420995670995671,real,0.9074889867841409,gate_small_vehicle_resnet18_temperature,0.7285146583567133,0.6666611761875028,0.29428815289487653,0.5812651171733453,0.45082934372418304,0.29096385788918677,0.15305708845300822,0.05487231178546874,0.015684101500166078,0.0009738678785911378,6.000600060006001e-05,1,924,924,size_bucket,0.30000000000000004
32-96px,temperature,0.6539145907473309,real,0.9,gate_small_vehicle_resnet18_temperature,0.4080325741596299,0.3933638838695283,0.1849697681530039,0.358562328450672,0.3028097949281028,0.21927471953204494,0.11668248673069517,0.04078265269151649,0.009431328428473475,0.0007425742574257426,1.5338481950441366e-05,1,1124,1124,size_bucket,0.35000000000000003
96-256px,temperature,0.4728171334431631,real,0.8909710391822828,gate_small_vehicle_resnet18_temperature,0.46260013278350043,0.4437716373508302,0.22392965631256626,0.4183736671019608,0.363049147985385,0.28469530780819374,0.17440122224264146,0.07420554628830268,0.016288087137952906,0.001888184378926239,2.3630047968997378e-05,1,1214,1214,size_bucket,0.35000000000000003
<32px,temperature,0.9257985257985258,real,0.688,gate_small_vehicle_resnet18_temperature,0.22034436963911255,0.19334888331304373,0.08243855296109262,0.15881769409648164,0.11991823889016526,0.07566925433720764,0.038997535404951225,0.013053872600474367,0.0032523929084637784,0.0009738678785911378,9.420542434833399e-06,1,2035,2035,size_bucket,0.35000000000000003
>256px,temperature,0.4523809523809524,real,0.8898678414096917,gate_small_vehicle_resnet18_temperature,0.7281768123997562,0.6664346245695548,0.2935361541650202,0.5746848105950892,0.45057455117849765,0.2908760748601857,0.15303432606604594,0.054855382439668754,0.015691085662212192,0.0009738678785911378,6.000600060006001e-05,1,924,924,size_bucket,0.35000000000000003
32-96px,temperature,0.6672597864768683,real,0.8710526315789474,gate_small_vehicle_resnet18_temperature,0.4083312269418413,0.39362620477362525,0.18504525934150448,0.35868041491870334,0.30293876723836183,0.21928145149545647,0.11662220107503321,0.040780371504241256,0.0094340308381103,0.0007425742574257426,1.535037224652698e-05,1,1124,1124,size_bucket,0.4
96-256px,temperature,0.5049423393739704,real,0.858603066439523,gate_small_vehicle_resnet18_temperature,0.457184020158905,0.44407290882287676,0.22287752154559026,0.41320028877433773,0.36313221592676065,0.28467768542022565,0.17426154394991308,0.07402174932236127,0.016312123875350134,0.0018890491572036254,2.3630047968997378e-05,1,1214,1214,size_bucket,0.4
<32px,temperature,0.9321867321867322,real,0.656,gate_small_vehicle_resnet18_temperature,0.2206830266122226,0.19361705170831064,0.08252459824440812,0.15896124721522564,0.11996814592133768,0.07570333973024489,0.03902147448303557,0.013056015444214442,0.0032523929084637784,0.0009738678785911378,9.420542434833399e-06,1,2035,2035,size_bucket,0.4
>256px,temperature,0.4945887445887446,real,0.8502202643171806,gate_small_vehicle_resnet18_temperature,0.7203709580065291,0.6660351165617522,0.29225941506644487,0.5742315723050269,0.4501629608997203,0.29044271900254104,0.14983438333991478,0.05478360836442371,0.015698958305349273,0.0009738678785911378,6.000600060006001e-05,1,924,924,size_bucket,0.4
32-96px,temperature,0.6788256227758007,real,0.85,gate_small_vehicle_resnet18_temperature,0.40652011344168754,0.3862584105856489,0.18371743190028014,0.35694103937316346,0.30161864641775477,0.21834641786780765,0.11660721226811527,0.04062984401943708,0.009475440563386575,0.0007616146230007616,1.5579842799386156e-05,1,1124,1124,size_bucket,0.45
96-256px,temperature,0.5313014827018122,real,0.8211243611584327,gate_small_vehicle_resnet18_temperature,0.4573162086243424,0.4440340789489804,0.22262380037922389,0.4131760656548896,0.36299946790320015,0.28444566134706917,0.17415470745834935,0.07192369586773707,0.016280771551603998,0.001883716388097723,2.3630047968997378e-05,1,1214,1214,size_bucket,0.45
