calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,974779.5025592321,108932.92932660552,0.0,real,57170.52608512,6392.124106161646,1.0,gate_small_vehicle_resnet50,0.4640965135348667,0.43910559934978677,0.2072207035032699,0.3949618631398094,0.33074709716487083,0.24060786373513912,0.13539693021391344,0.05324152294588788,0.012709671271698286,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,1031950.0286443521,115325.05343276716
identity,504596.072497152,56389.29435785394,0.4823484991504625,real,57170.52608512,6392.124106161646,0.9857697283311773,gate_small_vehicle_resnet50,0.4641513316002623,0.43915036337923335,0.20723597393176219,0.394973622240253,0.33075922366123883,0.24059533822319998,0.13542472671537287,0.053251336037596034,0.012713823783738924,0.0013201320132013201,1.984166352506994e-05,2742,1,5297,0.05,561766.5985822721,62781.41846401559
identity,437611.035885568,48903.62581436057,0.5510666414951859,real,57170.52608512,6392.124106161646,0.9708926261319534,gate_small_vehicle_resnet50,0.4637618712728152,0.43906575538277404,0.20729103300217872,0.3951184559692907,0.33109026279564996,0.2408951268722874,0.13560071871557922,0.053312053791996376,0.01272611154466737,0.0013201320132013201,1.984166352506994e-05,2378,1,5297,0.1,494781.561970688,55295.74992052221
identity,400622.045888512,44770.0560966623,0.5890126486690579,real,57170.52608512,6392.124106161646,0.9586028460543338,gate_small_vehicle_resnet50,0.46364109802073744,0.4390137410944725,0.20727552185078232,0.3951067777070156,0.33109159593604476,0.24091037584878564,0.13561558830733245,0.053311242470993295,0.012724825445715147,0.0013201320132013201,1.984166352506994e-05,2177,1,5297,0.15000000000000002,457792.571973632,51162.18020282395
identity,376698.81852723204,42096.60304541467,0.613554842363602,real,57170.52608512,6392.124106161646,0.94372574385511,gate_small_vehicle_resnet50,0.46353785631146277,0.43891343830012364,0.2072276014010331,0.39502237413824065,0.3310339543181168,0.24085020300268703,0.13556807496598497,0.05328577610086875,0.012724363196119809,0.0013201320132013201,1.984166352506994e-05,2047,1,5297,0.2,433869.344612352,48488.72715157631
identity,355904.013205504,39772.75539317634,0.6348876722673211,real,57170.52608512,6392.124106161646,0.9282018111254852,gate_small_vehicle_resnet50,0.4632833418917684,0.4336822028257852,0.20670661772273596,0.39510471253225043,0.33112946790752606,0.24092892273629515,0.1355911127349807,0.053280127205656704,0.012726275873672427,0.0013201320132013201,1.9881506222911447e-05,1934,1,5297,0.25,413074.539290624,46164.879499337985
identity,339525.80370432,37942.46830424527,0.6516896356428167,real,57170.52608512,6392.124106161646,0.9159120310478654,gate_small_vehicle_resnet50,0.46320209580169874,0.4335892191885482,0.2066621156418568,0.39503833713147357,0.3310548710294222,0.24087209681816651,0.1355632321499052,0.05325089859531023,0.012710392184618679,0.0013201320132013201,1.9881506222911447e-05,1845,1,5297,0.30000000000000004,396696.32978944,44334.59241040691
identity,323515.643854848,36153.311262256466,0.6681140268076269,real,57170.52608512,6392.124106161646,0.8945666235446313,gate_small_vehicle_resnet50,0.4572530079110812,0.4333540020546113,0.2056441116013256,0.39484139067850477,0.33094863269172126,0.23726064636290595,0.13551880961194468,0.053227277695462955,0.012697295484569094,0.0013201320132013201,1.992150925354105e-05,1758,1,5297,0.35000000000000003,380686.169939968,42545.43536841811
identity,313026.228781056,34981.104924401734,0.6788748348121578,real,57170.52608512,6392.124106161646,0.8816300129366106,gate_small_vehicle_resnet50,0.45713867279316767,0.4333113680572554,0.2056284937404227,0.3948480580833326,0.33095916199402053,0.23728453315851092,0.13551618979812965,0.053198159137344755,0.012688740860010778,0.0013201320132013201,1.992150925354105e-05,1701,1,5297,0.4,370196.754866176,41373.22903056338
identity,300512.540622848,33582.68332836451,0.6917122899754578,real,57170.52608512,6392.124106161646,0.8641655886157826,gate_small_vehicle_resnet50,0.45660893231499133,0.4330497027225492,0.20547326622656453,0.3947851373798891,0.3309259131560903,0.2372876789259504,0.1354343229971211,0.05314843556989389,0.012152485676705313,0.0013201320132013201,1.992150925354105e-05,1633,1,5297,0.45,357683.066707968,39974.807434526156
identity,291863.373807616,32616.127225221135,0.7005852369265622,real,57170.52608512,6392.124106161646,0.8473479948253557,gate_small_vehicle_resnet50,0.45646478213182823,0.43287758287300465,0.2053769694582858,0.3945822239293784,0.3307510746176966,0.2371878675597882,0.1353308171869394,0.053099277355075324,0.012136015406692086,0.0013201320132013201,1.992150925354105e-05,1586,1,5297,0.5,349033.899892736,39008.25133138278
identity,281926.033211392,31505.61595777981,0.7107796866150651,real,57170.52608512,6392.124106161646,0.8324708926261319,gate_small_vehicle_resnet50,0.4561832975599863,0.4325668284410095,0.20428641507084322,0.3893732796113851,0.326030565373878,0.23699060712948333,0.135188331898797,0.053059390759615244,0.01213179641182286,0.0013201320132013201,1.992150925354105e-05,1532,1,5297,0.55,339096.559296512,37897.740063941455
