calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_small_vehicle_tiny,0.46409695057051303,0.43910603849569096,0.20722062508436018,0.39496210895724515,0.3307467165486183,0.2406085376887314,0.1353965551244907,0.053239632411228456,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,1001286.0471956481,111864.10540858924
identity,497603.129114624,55607.82346595079,0.48952237115348307,real,26506.544636416,2931.176081983722,0.9805950840879689,gate_small_vehicle_tiny,0.463829073428286,0.43877955884856745,0.2069670904382607,0.3945824909166596,0.3303811803920167,0.24016333931088282,0.13495283716357942,0.052891368378918405,0.012603953681557964,0.0014668133480014668,2.028891413731537e-05,2704,1,5297,0.05,524109.67375104,58538.99954793451
identity,421416.85121024004,47093.90374890063,0.5676798187653389,real,26506.544636416,2931.176081983722,0.9521345407503234,gate_small_vehicle_tiny,0.4637388051777202,0.43859063509331203,0.20675817030688481,0.3943530561252686,0.3301294468088698,0.23987581892842344,0.13470206898561526,0.0525978257445605,0.012050189896370434,0.0015232292460015233,2.0627062706270627e-05,2290,1,5297,0.1,447923.39584665606,50025.07983088435
identity,367681.602060288,41088.91689532902,0.6228053615253917,real,26506.544636416,2931.176081983722,0.9146183699870634,gate_small_vehicle_tiny,0.4629567374702045,0.4328330273169669,0.20555127669061793,0.393774515743896,0.32960920678639444,0.23598018503774848,0.13443390729569019,0.05236510150255305,0.012016012317042081,0.0015232292460015233,2.0844189682126108e-05,1998,1,5297,0.15000000000000002,394188.14669670403,44020.09297731274
identity,333637.00927692803,37284.38755316893,0.6577307910137814,real,26506.544636416,2931.176081983722,0.8803363518758085,gate_small_vehicle_tiny,0.45472465397526585,0.4302561286108229,0.2029728292614637,0.38670142491290393,0.3235721425291764,0.23496269168094455,0.1337875681732949,0.05216585304968326,0.012013668110752584,0.0015232292460015233,2.0932325790718607e-05,1813,1,5297,0.2,360143.55391334405,40215.56363515265
identity,306769.384701952,34281.89412638312,0.6852935623938079,real,26506.544636416,2931.176081983722,0.8434670116429496,gate_small_vehicle_tiny,0.453910020723493,0.4244256277082251,0.20216475019265853,0.3862514418792692,0.3232549259498706,0.23469054073365658,0.1335333285730032,0.052041545479014,0.01199590930826103,0.0015232292460015233,2.0932325790718607e-05,1667,1,5297,0.25,333275.929338368,37213.070208366844
identity,281926.033211392,31505.61595777981,0.7107796866150651,real,26506.544636416,2931.176081983722,0.7994825355756792,gate_small_vehicle_tiny,0.44695601093328047,0.42333885361900114,0.20025762573895162,0.3804296435909345,0.32267190651205496,0.23431927392835591,0.13085388425049688,0.05046432179963683,0.011998022656664466,0.0015232292460015233,2.111085308957335e-05,1532,1,5297,0.30000000000000004,308432.577847808,34436.79203976353
identity,258922.929979392,28934.988023887854,0.734377949782896,real,26506.544636416,2931.176081983722,0.7567917205692108,gate_small_vehicle_tiny,0.4390849077593259,0.41603883041172957,0.1974309314051552,0.37863078443580556,0.31674262969244343,0.22962408909477047,0.1303000079580779,0.05035822594585872,0.011985362747669776,0.0015232292460015233,2.124675986911996e-05,1407,1,5297,0.35000000000000003,285429.474615808,31866.164105871576
identity,239784.348090368,26796.225582889747,0.7540117047385313,real,26506.544636416,2931.176081983722,0.7199223803363519,gate_small_vehicle_tiny,0.4328269200178375,0.41005471690635337,0.195414637537667,0.3730919354034688,0.3162744471712068,0.22917381208362525,0.12979010256641849,0.050008517312568154,0.0119143010137709,0.0009900990099009901,2.152389151958674e-05,1303,1,5297,0.4,266290.892726784,29727.40166487347
identity,221197.840678912,24719.158212305047,0.7730791013781386,real,26506.544636416,2931.176081983722,0.6739974126778784,gate_small_vehicle_tiny,0.4247542010208913,0.4080927231793193,0.19310486446881747,0.3713998138264573,0.3103650620158239,0.2243964071759013,0.12920933856423894,0.049914330644712575,0.011905004064716701,0.0009900990099009901,2.1665186212275495e-05,1202,1,5297,0.45,247704.38531532802,27650.33429428877
