calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_small_vehicle_tiny,0.46409695057051303,0.43910603849569096,0.20722062508436018,0.39496210895724515,0.3307467165486183,0.2406085376887314,0.1353965551244907,0.053239632411228456,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,1001286.0471956481,111864.10540858924
temperature,530359.548116992,59268.39764381293,0.45591844440249196,real,26506.544636416,2931.176081983722,0.9909443725743855,gate_small_vehicle_tiny,0.4640093034217698,0.43899453842148656,0.2071086337611116,0.3948108506446285,0.33060672375909417,0.24034966012619896,0.13519826616299946,0.05303450013083514,0.012647984642885407,0.0014144271570014143,2.008314421705862e-05,2882,1,5297,0.05,556866.092753408,62199.573725796654
temperature,446996.30200422404,49952.442011388484,0.541438550122711,real,26506.544636416,2931.176081983722,0.963777490297542,gate_small_vehicle_tiny,0.46390443485674576,0.4388272185387879,0.20693287813060857,0.394598924832655,0.33041803785069535,0.24016237615049216,0.13496818171572522,0.05287164959443742,0.012090855504407957,0.0014668133480014668,2.028891413731537e-05,2429,1,5297,0.1,473502.84664064005,52883.618093372206
temperature,394365.201809408,44070.84529864369,0.595431376250708,real,26506.544636416,2931.176081983722,0.9366106080206986,gate_small_vehicle_tiny,0.46357096470242376,0.43848383156425436,0.20671592595805385,0.3942963404236652,0.3300680201132619,0.23982834184350876,0.13469533056461716,0.05261969518269541,0.012052878877404374,0.0015232292460015233,2.0627062706270627e-05,2143,1,5297,0.15000000000000002,420871.74644582404,47002.02138062741
temperature,349647.1691264,39073.54459515773,0.6413063998489712,real,26506.544636416,2931.176081983722,0.8958602846054333,gate_small_vehicle_tiny,0.45633607784668245,0.4319364950859276,0.20464206577156857,0.39309888042884605,0.3292000771053823,0.23574383529955958,0.1342332125867093,0.052314719266412554,0.012013198524373627,0.0015232292460015233,2.0932325790718607e-05,1900,1,5297,0.2,376153.71376281604,42004.72067714145
temperature,318915.023208448,35639.185675478075,0.6728336794411931,real,26506.544636416,2931.176081983722,0.8570504527813713,gate_small_vehicle_tiny,0.4539629220999501,0.4245030029733064,0.20220369111587216,0.38633219988664175,0.3233300781615179,0.2347396978568516,0.1335609337897484,0.05206206642813993,0.012001848390773317,0.0015232292460015233,2.0932325790718607e-05,1733,1,5297,0.25,345421.56784486404,38570.3617574618
temperature,291863.373807616,32616.127225221135,0.7005852369265622,real,26506.544636416,2931.176081983722,0.8169469598965071,gate_small_vehicle_tiny,0.44760425641719026,0.4238933305982458,0.20110131916609708,0.38578113918592394,0.32295706598279555,0.2344557273711998,0.13084179182458588,0.051940876192581364,0.011994663989357045,0.0015232292460015233,2.111085308957335e-05,1586,1,5297,0.30000000000000004,318369.918444032,35547.30330720486
temperature,266835.9974912,29819.284033146687,0.7262601472531622,real,26506.544636416,2931.176081983722,0.7723156532988357,gate_small_vehicle_tiny,0.4405608597864156,0.4173114202068585,0.19810468637144954,0.37995931140196165,0.3178086346664299,0.23048167572069778,0.1308447657147944,0.05052339175934765,0.012012328452119157,0.0015232292460015233,2.124675986911996e-05,1450,1,5297,0.35000000000000003,293342.542127616,32750.46011513041
temperature,243280.81978163202,27186.961028841324,0.7504247687370209,real,26506.544636416,2931.176081983722,0.7270375161707633,gate_small_vehicle_tiny,0.43855916184365684,0.4154964882039244,0.19701374420836498,0.37809106140187676,0.3161373157808666,0.22909649635879248,0.1297964045851153,0.05003074120378331,0.011918149804213492,0.0009900990099009901,2.152389151958674e-05,1322,1,5297,0.4,269787.364418048,30118.137110825046
temperature,223222.113763328,24945.37347048754,0.7710024542193694,real,26506.544636416,2931.176081983722,0.6791720569210866,gate_small_vehicle_tiny,0.43085606601735393,0.408414379347869,0.1942338285435523,0.37167024172741336,0.3106236009419855,0.22851178292060664,0.12937531330443794,0.04996933388059649,0.011905850403047239,0.0009900990099009901,2.161788231224869e-05,1213,1,5297,0.45,249728.65839974402,27876.54955247126
