calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,34960.2,3907.3723532608697,0.0,real,5319.691839488,2873.319636841188,1.0,gate_small_vehicle_effb0_yolo11n,0.43157833480757385,0.4106232819594222,0.1989395565804383,0.3758817173565497,0.32142173287073916,0.2413175354723449,0.14164438471595447,0.05546245431058532,0.010625985156439586,0.0007914856407736909,4.865351400004865e-05,5297,1,5297,0.0,40279.891839487995,6780.691990102057
identity,19885.8,2222.562375,0.43118746460260526,real,5319.691839488,2873.319636841188,0.9974126778783958,gate_small_vehicle_effb0_yolo11n,0.43160497069055653,0.4106465912443218,0.19894903808758208,0.3759014963880768,0.32143412020640044,0.24132531763638318,0.14164875642450409,0.055463661180569085,0.010625289461172166,0.0007915241298365229,4.865351400004865e-05,3013,1,5297,0.05,25205.491839488,5095.882011841188
identity,18288.6,2044.0492336956522,0.4768737020955258,real,5319.691839488,2873.319636841188,0.9915912031047865,gate_small_vehicle_effb0_yolo11n,0.4260938124164798,0.4108589171404715,0.19857985495467484,0.3762867698987201,0.32193332381685547,0.2417035932328019,0.14189592279186364,0.0555477227122784,0.0106370933615164,0.0007927406617609498,4.865351400004865e-05,2771,1,5297,0.1,23608.291839488,4917.36887053684
identity,17285.399999999998,1931.9252771739132,0.505569190107608,real,5319.691839488,2873.319636841188,0.982535575679172,gate_small_vehicle_effb0_yolo11n,0.4254599843519445,0.4050463364183717,0.1973466564187541,0.37087162064905316,0.3215818535431123,0.24157957337323813,0.1418706441278803,0.05558074003535108,0.010635606892038423,0.0007915512825510718,4.865351400004865e-05,2619,1,5297,0.15000000000000002,22605.091839488,4805.244914015101
identity,16288.8,1820.5389782608697,0.5340758920143478,real,5319.691839488,2873.319636841188,0.9689521345407504,gate_small_vehicle_effb0_yolo11n,0.42536678577488374,0.40512656582451545,0.19743151670968337,0.3710830522969628,0.32182743446669254,0.24178468794728486,0.14201082368956058,0.055632176346801954,0.010642593734915003,0.0007923935012166364,4.865351400004865e-05,2468,1,5297,0.2,21608.491839488,4693.858615102058
identity,15338.4,1714.3162826086957,0.5612610911836888,real,5319.691839488,2873.319636841188,0.9592496765847348,gate_small_vehicle_effb0_yolo11n,0.4255593622365434,0.4052935661357218,0.19751009905712386,0.37120716989899366,0.32193716592105,0.24190394233736168,0.1420537413969727,0.05565533022614007,0.010648946697015932,0.0007931122074394905,4.865351400004865e-05,2324,1,5297,0.25,20658.091839488,4587.635919449884
identity,14473.8,1617.6831358695654,0.5859920709835755,real,5319.691839488,2873.319636841188,0.9476067270375161,gate_small_vehicle_effb0_yolo11n,0.42562110812851395,0.40533211063510166,0.1975258672352619,0.37123438602600645,0.3219812689549452,0.24191209130845603,0.1420253719128417,0.0556558756393694,0.010654371759122523,0.0007934344742617505,4.865351400004865e-05,2193,1,5297,0.30000000000000004,19793.491839488,4491.002772710754
identity,13516.8,1510.7227826086958,0.6133660562582595,real,5319.691839488,2873.319636841188,0.925614489003881,gate_small_vehicle_effb0_yolo11n,0.41855393248231826,0.398378357447752,0.1949052368265629,0.3697722118678267,0.31609001939656634,0.24075833518611645,0.13862359567604862,0.0553949358059036,0.010639050126337483,0.0007932767627593932,4.865351400004865e-05,2048,1,5297,0.35000000000000003,18836.491839488,4384.042419449884
identity,12777.599999999999,1428.1051304347827,0.6345101000566358,real,5319.691839488,2873.319636841188,0.9087968952134541,gate_small_vehicle_effb0_yolo11n,0.4176823611540092,0.39766066411726253,0.1940378155306876,0.3639587054666807,0.3155885970778371,0.24030710549216794,0.13838291915857895,0.05531040357618882,0.0106441139116129,0.0007946318385380323,4.865351400004865e-05,1936,1,5297,0.4,18097.291839488,4301.424767275971
identity,11959.199999999999,1336.6355869565218,0.657919577119124,real,5319.691839488,2873.319636841188,0.8809831824062095,gate_small_vehicle_effb0_yolo11n,0.4120397811234202,0.397827567537396,0.19317290577664897,0.36416257566645743,0.3157533765011772,0.23665951764492366,0.1384047888109299,0.05537013049743229,0.010666515091682796,0.0007960315428287726,4.8773350241428086e-05,1812,1,5297,0.45,17278.891839488,4209.95522379771
identity,11140.8,1245.166043478261,0.6813290541816122,real,5319.691839488,2873.319636841188,0.851875808538163,gate_small_vehicle_effb0_yolo11n,0.41184946189624744,0.39217872391833214,0.1926774218945009,0.3643245939901045,0.3159780171177946,0.23691688867603583,0.13856061982290271,0.05544570607430454,0.010671598285297559,0.0007995943615193461,4.901480247034605e-05,1688,1,5297,0.5,16460.491839488,4118.485680319449
