calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,34960.2,3907.3723532608697,0.0,real,764.76475712,868.7368913233513,1.0,gate_small_vehicle_mbv3small_yolo11n,0.43157787033216105,0.41062469906843246,0.198939655622847,0.3758815527642088,0.3214214146439152,0.24131753093518424,0.14164359753058886,0.05546353396024403,0.010626217838961493,0.0007914856407736909,4.865351400004865e-05,5297,1,5297,0.0,35724.96475712,4776.1092445842205
identity,20163.0,2253.5439945652174,0.4232584481782141,real,764.76475712,868.7368913233513,0.9974126778783958,gate_small_vehicle_mbv3small_yolo11n,0.43155396649954936,0.41058786635483396,0.19893082681208912,0.37585138354429803,0.32141033273654757,0.2413247706074987,0.14164898838661164,0.05546515726595909,0.010625635580591628,0.0007915136310012494,4.865351400004865e-05,3055,1,5297,0.05,20927.76475712,3122.2808858885687
identity,18486.6,2066.178961956522,0.47121011893524634,real,764.76475712,868.7368913233513,0.9902975420439845,gate_small_vehicle_mbv3small_yolo11n,0.43152214933256755,0.4105635054178715,0.19892339556234437,0.37582131394935026,0.3214063748951758,0.24133299981732792,0.14165431211351268,0.05546718941247194,0.010625919040760483,0.0007915381304054038,4.865351400004865e-05,2801,1,5297,0.1,19251.364757119998,2934.9158532798733
identity,17397.6,1944.4654565217393,0.5023598263167831,real,764.76475712,868.7368913233513,0.9831824062095731,gate_small_vehicle_mbv3small_yolo11n,0.4315213789300759,0.4105676102887912,0.19892639409411933,0.3758262503166678,0.3214132543049815,0.24134132785383275,0.14165955522060153,0.055468309406443025,0.010626048972399996,0.0007915521333998331,4.865351400004865e-05,2636,1,5297,0.15000000000000002,18162.364757119998,2813.2023478450906
identity,16533.0,1847.8323097826087,0.5270908061166698,real,764.76475712,868.7368913233513,0.9767141009055628,gate_small_vehicle_mbv3small_yolo11n,0.4250464584580976,0.40433359420362813,0.19687015202851707,0.3700162256256784,0.3206836513727594,0.24067461897042983,0.14120187447078908,0.05529442337911194,0.010611701548606484,0.000790318742070008,4.865351400004865e-05,2505,1,5297,0.2,17297.76475712,2716.56920110596
identity,15701.4,1754.8874510869566,0.5508778553898432,real,764.76475712,868.7368913233513,0.964424320827943,gate_small_vehicle_mbv3small_yolo11n,0.4247550655886665,0.4042783370755068,0.19688766955108394,0.37007267574496144,0.32082958777949616,0.24083075145936558,0.1413197154697421,0.0553342041039759,0.010616804697832488,0.0007909000772925441,4.865351400004865e-05,2379,1,5297,0.25,16466.16475712,2623.6243424103077
identity,14955.599999999999,1671.532141304348,0.5722106852935624,real,764.76475712,868.7368913233513,0.9501940491591203,gate_small_vehicle_mbv3small_yolo11n,0.4243842176816791,0.40395475657217517,0.19674694335003215,0.36974083909191297,0.32061741484172906,0.2407113544525676,0.14127566978200767,0.05532803095016583,0.010618134625155838,0.0007903619889280714,4.865351400004865e-05,2266,1,5297,0.30000000000000004,15720.364757119998,2540.2690326276993
identity,14361.599999999999,1605.1429565217393,0.5892014347744006,real,764.76475712,868.7368913233513,0.9411384217335058,gate_small_vehicle_mbv3small_yolo11n,0.42372622069489296,0.40344730415802116,0.19623183451598736,0.36929269734664116,0.3202875126861152,0.2404551975952708,0.13836722583368116,0.05528821759293532,0.010612327131744993,0.0007928687703294135,4.8773350241428086e-05,2176,1,5297,0.35000000000000003,15126.364757119998,2473.879847845091
identity,13800.599999999999,1542.4420597826088,0.6052482537285255,real,764.76475712,868.7368913233513,0.925614489003881,gate_small_vehicle_mbv3small_yolo11n,0.4159567208416383,0.3963139863639045,0.19343627369175737,0.36292995468553757,0.3148536931303969,0.23972511298926594,0.13799319522202616,0.055132396290071474,0.010614745838579432,0.0007941582059118374,4.8773350241428086e-05,2091,1,5297,0.4,14565.364757119998,2411.17895110596
identity,13266.0,1482.691793478261,0.62053992826128,real,764.76475712,868.7368913233513,0.9100905562742562,gate_small_vehicle_mbv3small_yolo11n,0.4154942502885961,0.3959505148751742,0.1932879059566246,0.3626608032593352,0.3146636248943603,0.23955773482450798,0.13794764026253134,0.05514254985654583,0.01061844511575854,0.0007947228391952391,4.8773350241428086e-05,2010,1,5297,0.45,14030.76475712,2351.4286848016122
