calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,34960.2,3907.3723532608697,0.0,real,764.76475712,868.7368913233513,1.0,gate_small_vehicle_mbv3small_yolo11n,0.43157787033216105,0.41062469906843246,0.198939655622847,0.3758815527642088,0.3214214146439152,0.24131753093518424,0.14164359753058886,0.05546353396024403,0.010626217838961493,0.0007914856407736909,4.865351400004865e-05,5297,1,5297,0.0,35724.96475712,4776.1092445842205
temperature,21852.6,2442.3843423913045,0.37492920521049655,real,764.76475712,868.7368913233513,0.999353169469599,gate_small_vehicle_mbv3small_yolo11n,0.43157962274140155,0.41062583328017976,0.19894002874812944,0.37588242404010636,0.321421826585785,0.24131778242788998,0.1416436465358694,0.05546356964514781,0.010625439571892678,0.0007914891390219603,4.865351400004865e-05,3311,1,5297,0.05,22617.364757119998,3311.121233714656
temperature,21298.199999999997,2380.4211032608696,0.39078723805927884,real,764.76475712,868.7368913233513,0.999353169469599,gate_small_vehicle_mbv3small_yolo11n,0.43157970339272456,0.41062583328017976,0.19894003681326175,0.37588242404010636,0.321421826585785,0.24131778242788998,0.1416436465358694,0.05546356964514781,0.010625439571892678,0.0007914891390219603,4.865351400004865e-05,3227,1,5297,0.1,22062.964757119997,3249.157994584221
temperature,20658.0,2308.8683152173917,0.4090994902775156,real,764.76475712,868.7368913233513,0.9987063389391979,gate_small_vehicle_mbv3small_yolo11n,0.4315800604098568,0.4106241887498559,0.19894023435854086,0.3758838778216355,0.3214227345594152,0.24131829298208166,0.14164396232033238,0.05546364101891652,0.010625439571892678,0.0007914926374216888,4.865351400004865e-05,3130,1,5297,0.15000000000000002,21422.76475712,3177.605206540743
temperature,19648.2,2196.0067010869566,0.4379837643949406,real,764.76475712,868.7368913233513,0.9954721862871928,gate_small_vehicle_mbv3small_yolo11n,0.4315201956729545,0.4105620919778166,0.1989228067313021,0.37581945030745467,0.3214063669892325,0.24133217754697142,0.14165471121760007,0.055466987668607116,0.010625897788348325,0.0007915346300358129,4.865351400004865e-05,2977,1,5297,0.2,20412.96475712,3064.743592410308
temperature,18282.0,2043.3115760869566,0.4770624882008684,real,764.76475712,868.7368913233513,0.9896507115135834,gate_small_vehicle_mbv3small_yolo11n,0.4315231710441178,0.4105641787041312,0.1989236736936803,0.37582186373643056,0.3214066018911038,0.24133313726800462,0.14165448419537696,0.05546718941247194,0.010625919040760483,0.0007915381304054038,4.865351400004865e-05,2770,1,5297,0.25,19046.76475712,2912.048467410308
temperature,17113.8,1912.7461793478262,0.5104776288465169,real,764.76475712,868.7368913233513,0.981888745148771,gate_small_vehicle_mbv3small_yolo11n,0.43152748566317156,0.410572657052339,0.19892844227502784,0.37582981902954743,0.32141616252856087,0.24134273036457582,0.14166085415614685,0.05546845233373011,0.010626048972399996,0.0007915591358068254,4.865351400004865e-05,2593,1,5297,0.30000000000000004,17878.56475712,2781.4830706711773
temperature,16031.4,1791.7703315217393,0.541438550122711,real,764.76475712,868.7368913233513,0.9689521345407504,gate_small_vehicle_mbv3small_yolo11n,0.42484275606473726,0.404263260801119,0.19687180972011584,0.3700243753873769,0.32077331017650534,0.24076533641870088,0.14127637145424152,0.0553186732796354,0.010614657737914706,0.0007907023669271129,4.865351400004865e-05,2429,1,5297,0.35000000000000003,16796.16475712,2660.507222845091
temperature,14777.4,1651.6153858695652,0.5773079101378138,real,764.76475712,868.7368913233513,0.9476067270375161,gate_small_vehicle_mbv3small_yolo11n,0.42419576885921495,0.4037648938491998,0.19634705085214174,0.3695308934191523,0.3203967148692328,0.2404709275399184,0.13835418854210466,0.05530382530069969,0.010612808112499782,0.0007917146791535166,4.8773350241428086e-05,2239,1,5297,0.4,15542.16475712,2520.3522771929165
temperature,13774.199999999999,1539.4914293478262,0.6060033981498962,real,764.76475712,868.7368913233513,0.9243208279430789,gate_small_vehicle_mbv3small_yolo11n,0.415960795059242,0.39631741420313676,0.19343770509270913,0.36293236485114105,0.3148556911360976,0.23972662589396163,0.13799378164785514,0.05513267277553693,0.01061476685725948,0.0007941651526190995,4.8773350241428086e-05,2087,1,5297,0.45,14538.964757119998,2408.2283206711772
temperature,12764.4,1426.6298152173913,0.6348876722673211,real,764.76475712,868.7368913233513,0.8945666235446313,gate_small_vehicle_mbv3small_yolo11n,0.4095919879502419,0.39559326935631767,0.1922470935216586,0.36244496293689554,0.3145170294151242,0.23574924524800717,0.1379472894497904,0.05515345298370646,0.01062952381262505,0.0007954007136361827,4.8773350241428086e-05,1934,1,5297,0.5,13529.16475712,2295.3667065407426
temperature,11939.4,1334.4226141304348,0.658485935435152,real,764.76475712,868.7368913233513,0.8628719275549805,gate_small_vehicle_mbv3small_yolo11n,0.40690384050913603,0.3877496190422636,0.1892086351158216,0.35482009569948336,0.30732438616380536,0.23351444683116251,0.13628724551496624,0.05417023265596257,0.010474403575126875,0.0007909132588207994,5.116790748842326e-05,1809,1,5297,0.55,12704.16475712,2203.159505453786
temperature,10989.0,1228.199918478261,0.685671134604493,real,764.76475712,868.7368913233513,0.8305304010349288,gate_small_vehicle_mbv3small_yolo11n,0.40241627747636166,0.38867388112747603,0.18892523212770934,0.3557132456538023,0.3080463644151849,0.23393836441855623,0.13647716963885215,0.052663799552896656,0.010478226510480502,0.0007936920166489659,5.130046683424819e-05,1665,1,5297,0.6000000000000001,11753.76475712,2096.936809801612
temperature,10131.0,1132.3044293478263,0.7102133282990373,real,764.76475712,868.7368913233513,0.794954721862872,gate_small_vehicle_mbv3small_yolo11n,0.3931376218508925,0.3795144612593994,0.18383611041182166,0.3467570628294401,0.2993942058047548,0.2262500524184482,0.13101040963240307,0.05122582370249373,0.010235270163006687,0.0007787994133259972,5.739704405223131e-05,1535,1,5297,0.65,10895.76475712,2001.0413206711776
temperature,9266.4,1035.6712826086957,0.734944308098924,real,764.76475712,868.7368913233513,0.7445019404915912,gate_small_vehicle_mbv3small_yolo11n,0.38004855824258843,0.361274216661649,0.17527711931241124,0.3340803824291314,0.28677768768744466,0.214217915805481,0.12152232722654797,0.045647765672090855,0.008484623074899094,0.0006538389688025406,6.387735547748324e-05,1404,1,5297,0.7000000000000001,10031.16475712,1904.408173932047
temperature,8408.4,939.7757934782609,0.759486501793468,real,764.76475712,868.7368913233513,0.6882276843467011,gate_small_vehicle_mbv3small_yolo11n,0.3729073349477059,0.3596857090330206,0.17241734481868626,0.32744038844698764,0.2805526347155789,0.20899330385163167,0.12027506437668985,0.045235545046553034,0.008383650823437713,0.0006346788525006346,6.513809275664408e-05,1274,1,5297,0.75,9173.16475712,1808.512684801612
temperature,7345.799999999999,821.0129184782609,0.7898810647536341,real,764.76475712,868.7368913233513,0.6190168175937905,gate_small_vehicle_mbv3small_yolo11n,0.3607386876351333,0.34795640606729045,0.16803112190416702,0.3216104456796595,0.27504601345860935,0.2042885295887919,0.11686619182005001,0.04477382381495979,0.008356534923596032,0.0006087987439520651,6.578730962797277e-05,1113,1,5297,0.8,8110.564757119999,1689.7498098016122
temperature,6204.0,693.3981521739131,0.822541060977912,real,764.76475712,868.7368913233513,0.5407503234152652,gate_small_vehicle_mbv3small_yolo11n,0.34480193841285345,0.3265358848987581,0.15919837524302383,0.30114374399727645,0.2610690274197366,0.19645033006951812,0.11140516636605743,0.041825865323529346,0.008123582438048439,0.0005758965158260792,5.231698863413422e-05,940,1,5297,0.8500000000000001,6968.76475712,1562.1350434972644
temperature,4666.2,521.5239293478261,0.8665282235227487,real,764.76475712,868.7368913233513,0.41461836998706336,gate_small_vehicle_mbv3small_yolo11n,0.3026552775956019,0.29162158900888274,0.1421894246523974,0.2684021429564343,0.23164014317532597,0.17717872355822828,0.10195830222591408,0.03937571982749021,0.008409215691879912,0.0005952742513515155,5.7858232864922726e-05,707,1,5297,0.9,5430.96475712,1390.2608206711775
temperature,2831.3999999999996,316.4551141304348,0.9190107608080045,real,764.76475712,868.7368913233513,0.25808538163001293,gate_small_vehicle_mbv3small_yolo11n,0.23186158456357808,0.22105682402460364,0.10491176014592814,0.2045768099126598,0.1702103795657319,0.12321456431296747,0.0676419323373337,0.02467858169482175,0.005319351118071382,0.0005150804097750816,4.249351973823992e-05,429,1,5297,0.9500000000000001,3596.1647571199996,1185.1920054537861
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_small_vehicle_mbv3small_yolo11n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,764.76475712,868.7368913233513
