calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,34960.2,3907.3723532608697,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_small_vehicle_resnet18_yolo11n,0.43157830680563636,0.4106232972512829,0.19893952040778567,0.37588158527194837,0.32142177688256385,0.24131721194380693,0.14164336765116142,0.05546353396024403,0.010625985156439586,0.0007914856407736909,4.865351400004865e-05,5297,1,5297,0.0,60192.386443776006,5709.590043869683
identity,13662.0,1526.95125,0.6092127619407212,real,25232.186443776005,1802.2176906088134,0.9489003880983182,gate_small_vehicle_resnet18_yolo11n,0.4255193869859445,0.40520094954952157,0.1979426980609554,0.37617980246997607,0.32185311283379275,0.24181653582177917,0.14181998814764182,0.055548806345173646,0.010644385328587903,0.0007951193488699946,4.889377826671556e-05,2070,1,5297,0.05,38894.18644377601,3329.1689406088135
identity,12474.0,1394.1728804347827,0.6431942609023975,real,25232.186443776005,1802.2176906088134,0.9223803363518758,gate_small_vehicle_resnet18_yolo11n,0.4254591551635104,0.4051014323523282,0.19741846056025542,0.37105933105013844,0.3218324154391955,0.24183108840565307,0.14183071121895605,0.05557490967734034,0.01065218539839571,0.0007944831187693264,4.889377826671556e-05,1890,1,5297,0.1,37706.18644377601,3196.390571043596
identity,11814.0,1320.4071195652175,0.6620728714366623,real,25232.186443776005,1802.2176906088134,0.8978007761966365,gate_small_vehicle_resnet18_yolo11n,0.4250893144366345,0.40498210946622626,0.19742890433374488,0.37112060413121434,0.32202236232215836,0.24201034650514291,0.14193055545626954,0.05562474648989323,0.010664303156541408,0.0007958075951016334,4.889377826671556e-05,1790,1,5297,0.15000000000000002,37046.18644377601,3122.624810174031
identity,11365.199999999999,1270.246402173913,0.6749103265999623,real,25232.186443776005,1802.2176906088134,0.8848641655886158,gate_small_vehicle_resnet18_yolo11n,0.41920944718988873,0.4049582660661413,0.1965718305790254,0.3711724191064742,0.3221171869312034,0.24210034322792628,0.13907618210989997,0.05558137039472461,0.010656115577085607,0.0007979603844392194,4.901480247034605e-05,1722,1,5297,0.2,36597.386443776006,3072.4640927827268
identity,10883.4,1216.3973967391305,0.6886917122899754,real,25232.186443776005,1802.2176906088134,0.8609314359637775,gate_small_vehicle_resnet18_yolo11n,0.41881101261915327,0.40459409545668445,0.19644942057396572,0.37101401500488396,0.321994773429631,0.24201693927599863,0.13899917416558144,0.055548028149903485,0.010667336596456153,0.0007998162388947326,4.901480247034605e-05,1649,1,5297,0.25,36115.586443776,3018.6150873479437
identity,10527.0,1176.5638858695652,0.6988861619784783,real,25232.186443776005,1802.2176906088134,0.8467011642949547,gate_small_vehicle_resnet18_yolo11n,0.41970527282255304,0.4054011899746686,0.19679432017917206,0.37168225303074304,0.32251906829264304,0.24232973587634238,0.13914354376125987,0.055632917722108134,0.010677893046374782,0.0008021908377374723,4.913642729037172e-05,1595,1,5297,0.30000000000000004,35759.18644377601,2978.7815764783786
identity,10210.199999999999,1141.156320652174,0.7079478950349254,real,25232.186443776005,1802.2176906088134,0.8272962483829237,gate_small_vehicle_resnet18_yolo11n,0.42265591806706665,0.40258108566233797,0.19709644421447087,0.3742700555143759,0.3199142956917826,0.24392218415274927,0.14005099690392311,0.055982093743286825,0.01073214360817285,0.0008065323737231818,4.913642729037172e-05,1547,1,5297,0.35000000000000003,35442.386443776006,2943.3740112609876
identity,9926.4,1109.4370434782609,0.7160656975646593,real,25232.186443776005,1802.2176906088134,0.8124191461836999,gate_small_vehicle_resnet18_yolo11n,0.42204957032934776,0.4020065668214174,0.19631485073408633,0.36835287880783024,0.31958032374496526,0.2436221148868793,0.14000630004119333,0.05595925107119148,0.010714572890392132,0.0008076700904375895,4.9258657209004484e-05,1504,1,5297,0.4,35158.586443776,2911.6547340870743
identity,9622.8,1075.504793478261,0.724749858410421,real,25232.186443776005,1802.2176906088134,0.8001293661060802,gate_small_vehicle_resnet18_yolo11n,0.41598197890757904,0.401908458353851,0.1956759495053315,0.3682934615530979,0.31951012213631325,0.24354893618916865,0.1399747692060625,0.05596572550736244,0.010718476094317161,0.0008083084483542221,4.9258657209004484e-05,1458,1,5297,0.45,34854.986443776004,2877.7224840870745
