calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
isotonic,34960.2,3907.3723532608697,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_small_vehicle_resnet18_yolo11n,0.43157830680563636,0.4106232972512829,0.19893952040778567,0.37588158527194837,0.32142177688256385,0.24131721194380693,0.14164336765116142,0.05546353396024403,0.010625985156439586,0.0007914856407736909,4.865351400004865e-05,5297,1,5297,0.0,60192.386443776006,5709.590043869683
isotonic,16156.8,1805.7858260869566,0.5378516141212006,real,25232.186443776005,1802.2176906088134,0.9773609314359638,gate_small_vehicle_resnet18_yolo11n,0.4256775048078525,0.41066539212571535,0.19855160672832867,0.3762772193841668,0.3220199054230999,0.24184746111215746,0.1419764102074854,0.05556919625118479,0.01064079934681668,0.0007935251108077521,4.865351400004865e-05,2448,1,5297,0.05,41388.986443776004,3608.00351669577
isotonic,15206.4,1699.5631304347828,0.5650368132905419,real,25232.186443776005,1802.2176906088134,0.9695989650711514,gate_small_vehicle_resnet18_yolo11n,0.4256983703230346,0.410684839451405,0.19856051148250609,0.37628533420988514,0.32203072921311493,0.24185214717198641,0.14199452180317318,0.05557523294658745,0.010641728956106124,0.0007935572357680515,4.865351400004865e-05,2304,1,5297,0.1,40438.586443776,3501.780821043596
isotonic,14335.199999999999,1602.1923260869567,0.5899565791957713,real,25232.186443776005,1802.2176906088134,0.9605433376455369,gate_small_vehicle_resnet18_yolo11n,0.42572675074595845,0.41074567696739533,0.19859418632774342,0.3763666690574192,0.32209900492314597,0.24190368826492878,0.1420296172454365,0.05558514503082866,0.01064291443378919,0.0007937430945319034,4.865351400004865e-05,2172,1,5297,0.15000000000000002,39567.386443776006,3404.41001669577
isotonic,13200.0,1475.3152173913045,0.6224277893147064,real,25232.186443776005,1802.2176906088134,0.943078913324709,gate_small_vehicle_resnet18_yolo11n,0.4256454403993618,0.40530166661778805,0.19748217850029948,0.3712210983518171,0.3219222863544088,0.24185844444957336,0.1418354128233813,0.05554824699164428,0.010645021445963293,0.0007952737907898212,4.889377826671556e-05,2000,1,5297,0.2,38432.18644377601,3277.532908000118
isotonic,13200.0,1475.3152173913045,0.6224277893147064,real,25232.186443776005,1802.2176906088134,0.943078913324709,gate_small_vehicle_resnet18_yolo11n,0.4256454403993618,0.40530166661778805,0.19748217850029948,0.3712210983518171,0.3219222863544088,0.24185844444957336,0.1418354128233813,0.05554824699164428,0.010645021445963293,0.0007952737907898212,4.889377826671556e-05,2000,1,5297,0.25,38432.18644377601,3277.532908000118
isotonic,12454.199999999999,1391.9599076086959,0.6437606192184255,real,25232.186443776005,1802.2176906088134,0.9223803363518758,gate_small_vehicle_resnet18_yolo11n,0.4255467892539024,0.4051745426406017,0.19745062539531472,0.3711180273981462,0.3218817418448733,0.24185972466418396,0.14185028724526588,0.05557909922567187,0.010652579288479127,0.0007945686137560365,4.889377826671556e-05,1887,1,5297,0.30000000000000004,37686.386443776006,3194.1775982175095
isotonic,11398.199999999999,1273.9346902173913,0.6739663960732489,real,25232.186443776005,1802.2176906088134,0.8868046571798189,gate_small_vehicle_resnet18_yolo11n,0.419268056370159,0.40501281372245357,0.1969091189724795,0.37123376114711726,0.32218924252837394,0.24218200613242077,0.14201820045852864,0.0556680658262034,0.010673071119664024,0.0007970786416078512,4.889377826671556e-05,1727,1,5297,0.35000000000000003,36630.386443776006,3076.1523808262045
isotonic,11121.0,1242.953070652174,0.6818954124976402,real,25232.186443776005,1802.2176906088134,0.8764553686934023,gate_small_vehicle_resnet18_yolo11n,0.4190686581416066,0.40487034894656704,0.19658178512561897,0.3712377054806418,0.32219975806751744,0.2421999916479849,0.13912879172784592,0.05560141084316845,0.010663435767101055,0.0007987358312861993,4.901480247034605e-05,1685,1,5297,0.4,36353.18644377601,3045.170761260987
isotonic,11121.0,1242.953070652174,0.6818954124976402,real,25232.186443776005,1802.2176906088134,0.8764553686934023,gate_small_vehicle_resnet18_yolo11n,0.4190686581416066,0.40487034894656704,0.19658178512561897,0.3712377054806418,0.32219975806751744,0.2421999916479849,0.13912879172784592,0.05560141084316845,0.010663435767101055,0.0007987358312861993,4.901480247034605e-05,1685,1,5297,0.45,36353.18644377601,3045.170761260987
isotonic,10467.599999999999,1169.9249673913043,0.7005852369265622,real,25232.186443776005,1802.2176906088134,0.8454075032341527,gate_small_vehicle_resnet18_yolo11n,0.42106139239044393,0.40670265707600295,0.1974211019078877,0.3728756523302689,0.3235448461339688,0.2430909633135457,0.13957964921316238,0.055798252369251865,0.01070399667845899,0.0008044731464829321,4.913642729037172e-05,1586,1,5297,0.5,35699.786443776,2972.142658000118
isotonic,9424.8,1053.3750652173915,0.7304134415707004,real,25232.186443776005,1802.2176906088134,0.7904269081500647,gate_small_vehicle_resnet18_yolo11n,0.4159800895651132,0.4019157945593273,0.1957138023755996,0.36835477026917857,0.31960624684879585,0.2436627414091228,0.14004797924935025,0.05598886477269167,0.010723102652951528,0.0008091757722558564,4.9258657209004484e-05,1428,1,5297,0.55,34656.986443776004,2855.5927558262047
isotonic,9424.8,1053.3750652173915,0.7304134415707004,real,25232.186443776005,1802.2176906088134,0.7904269081500647,gate_small_vehicle_resnet18_yolo11n,0.4159800895651132,0.4019157945593273,0.1957138023755996,0.36835477026917857,0.31960624684879585,0.2436627414091228,0.14004797924935025,0.05598886477269167,0.010723102652951528,0.0008091757722558564,4.9258657209004484e-05,1428,1,5297,0.6000000000000001,34656.986443776004,2855.5927558262047
isotonic,7623.0,851.9945380434783,0.781952048329243,real,25232.186443776005,1802.2176906088134,0.6759379042690815,gate_small_vehicle_resnet18_yolo11n,0.4060212825778956,0.39210217105077877,0.19089990309020427,0.35833535402182104,0.31523499839187225,0.23523770365461788,0.1366689036171934,0.05393792442926929,0.010611584718594497,0.000799479416947178,4.9629023052681206e-05,1155,1,5297,0.65,32855.18644377601,2654.2122286522917
isotonic,7623.0,851.9945380434783,0.781952048329243,real,25232.186443776005,1802.2176906088134,0.6759379042690815,gate_small_vehicle_resnet18_yolo11n,0.4060212825778956,0.39210217105077877,0.19089990309020427,0.35833535402182104,0.31523499839187225,0.23523770365461788,0.1366689036171934,0.05393792442926929,0.010611584718594497,0.000799479416947178,4.9629023052681206e-05,1155,1,5297,0.7000000000000001,32855.18644377601,2654.2122286522917
isotonic,7623.0,851.9945380434783,0.781952048329243,real,25232.186443776005,1802.2176906088134,0.6759379042690815,gate_small_vehicle_resnet18_yolo11n,0.4060212825778956,0.39210217105077877,0.19089990309020427,0.35833535402182104,0.31523499839187225,0.23523770365461788,0.1366689036171934,0.05393792442926929,0.010611584718594497,0.000799479416947178,4.9629023052681206e-05,1155,1,5297,0.75,32855.18644377601,2654.2122286522917
isotonic,7623.0,851.9945380434783,0.781952048329243,real,25232.186443776005,1802.2176906088134,0.6759379042690815,gate_small_vehicle_resnet18_yolo11n,0.4060212825778956,0.39210217105077877,0.19089990309020427,0.35833535402182104,0.31523499839187225,0.23523770365461788,0.1366689036171934,0.05393792442926929,0.010611584718594497,0.000799479416947178,4.9629023052681206e-05,1155,1,5297,0.8,32855.18644377601,2654.2122286522917
isotonic,5365.799999999999,599.7156358695653,0.8465168963564281,real,25232.186443776005,1802.2176906088134,0.49288486416558863,gate_small_vehicle_resnet18_yolo11n,0.37314602929734886,0.36007155648188316,0.17660889967913124,0.3337844503519978,0.28714392269721317,0.22059178128860857,0.12907015540247027,0.051897126655769406,0.00968159323436654,0.0006501334127940838,5.2247968860210555e-05,813,1,5297,0.8500000000000001,30597.986443776004,2401.9333264783786
isotonic,5365.799999999999,599.7156358695653,0.8465168963564281,real,25232.186443776005,1802.2176906088134,0.49288486416558863,gate_small_vehicle_resnet18_yolo11n,0.37314602929734886,0.36007155648188316,0.17660889967913124,0.3337844503519978,0.28714392269721317,0.22059178128860857,0.12907015540247027,0.051897126655769406,0.00968159323436654,0.0006501334127940838,5.2247968860210555e-05,813,1,5297,0.9,30597.986443776004,2401.9333264783786
isotonic,2098.7999999999997,234.57511956521742,0.9399660185010383,real,25232.186443776005,1802.2176906088134,0.1998706338939198,gate_small_vehicle_resnet18_yolo11n,0.2323143806970644,0.2292326695802403,0.11504200735714751,0.21503526647256446,0.18897489962839484,0.1481054783172937,0.08851030016985859,0.038960859407501165,0.00862787640431727,0.0006208188386406208,3.752405559992924e-05,318,1,5297,0.9500000000000001,27330.986443776004,2036.7928101740308
isotonic,448.79999999999995,50.16071739130435,0.9871625448367001,real,25232.186443776005,1802.2176906088134,0.04398447606727038,gate_small_vehicle_resnet18_yolo11n,0.06810631938330591,0.06765280198800408,0.036134577413932514,0.06594611520738407,0.0551147680538139,0.04928727368671297,0.029335664682199333,0.015993945512500267,0.0066006600660066,0.0033003300330033,7.895526394744738e-06,68,1,5297,1.0,25680.986443776004,1852.3784080001178
