calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,34960.2,3907.3723532608697,0.0,real,57170.52608512,6392.124106161646,1.0,gate_small_vehicle_resnet50_yolo11n,0.4315781184225966,0.4106245571799476,0.19893967637223184,0.37588171811499443,0.3214220410572959,0.24131747447494198,0.14164374178563138,0.05546353396024403,0.010625439571892678,0.0007914856407736909,4.865351400004865e-05,5297,1,5297,0.0,92130.72608512,10299.496459422515
temperature,20202.6,2257.9699402173915,0.4221257315461582,real,57170.52608512,6392.124106161646,0.9941785252263907,gate_small_vehicle_resnet50_yolo11n,0.4316273232487758,0.4106625370367256,0.19895558063973418,0.3759124042597877,0.32144195703820244,0.24132891492763484,0.14165125646989601,0.055464817332557655,0.0106264114399438,0.0007915311298178091,4.865351400004865e-05,3061,1,5297,0.05,77373.12608511999,8650.094046379038
temperature,17094.0,1910.5332065217392,0.5110439871625448,real,57170.52608512,6392.124106161646,0.9831824062095731,gate_small_vehicle_resnet50_yolo11n,0.42577420625303014,0.41054391132589957,0.19841658351348904,0.37592126771761836,0.32161639973175665,0.2415326316107034,0.14178550704686937,0.05551690327603888,0.010633755703550189,0.0007925989554237646,4.865351400004865e-05,2590,1,5297,0.1,74264.52608512,8302.657312683385
temperature,15285.599999999999,1708.4150217391305,0.56277138002643,real,57170.52608512,6392.124106161646,0.9676584734799483,gate_small_vehicle_resnet50_yolo11n,0.42537094406872744,0.40503844332141775,0.19736102184784193,0.37088967442581644,0.3217330717432924,0.24164917142690817,0.14189850975334647,0.05554869371348551,0.010639727445438809,0.0007933290659863577,4.865351400004865e-05,2316,1,5297,0.15000000000000002,72456.12608511999,8100.539127900776
temperature,14196.599999999999,1586.701516304348,0.5939210874079668,real,57170.52608512,6392.124106161646,0.9540750323415266,gate_small_vehicle_resnet50_yolo11n,0.4253141481710551,0.4050067045694989,0.1973541449474028,0.3708639157545874,0.3217331981696706,0.2416790423578167,0.14191178231993504,0.055550196082229386,0.01064029056159042,0.0007935179736445504,4.865351400004865e-05,2151,1,5297,0.2,71367.12608511999,7978.825622465994
temperature,13272.599999999999,1483.4294510869565,0.6203511421559373,real,57170.52608512,6392.124106161646,0.9391979301423027,gate_small_vehicle_resnet50_yolo11n,0.4253971378204465,0.4051121926640606,0.19742022606261017,0.3710112174194854,0.321859817342881,0.2417875763263251,0.14197903207160636,0.05556928293540913,0.010643494774733827,0.0007938557571538111,4.865351400004865e-05,2011,1,5297,0.25,70443.12608511999,7875.553557248602
temperature,12586.199999999999,1406.7130597826088,0.6399848971115726,real,57170.52608512,6392.124106161646,0.9243208279430789,gate_small_vehicle_resnet50_yolo11n,0.4251418540718361,0.4049606164750398,0.1973780485661148,0.37096796825887657,0.32184103719914214,0.24181652367461293,0.14198655984436878,0.05557916123959245,0.01064339847022864,0.0007947129134506267,4.865351400004865e-05,1907,1,5297,0.30000000000000004,69756.72608512,7798.837165944255
temperature,11919.599999999999,1332.209641304348,0.6590522937511799,real,57170.52608512,6392.124106161646,0.9036222509702458,gate_small_vehicle_resnet50_yolo11n,0.4248030166624614,0.4047946625081262,0.19733094920266525,0.3709347539402025,0.32186429527650806,0.24187890426651273,0.1419721796382184,0.05557646809889718,0.01064060344803713,0.0007959546736888038,4.865351400004865e-05,1806,1,5297,0.35000000000000003,69090.12608511999,7724.333747465994
temperature,11385.0,1272.4593750000001,0.6743439682839343,real,57170.52608512,6392.124106161646,0.88745148771022,gate_small_vehicle_resnet50_yolo11n,0.42493402234711175,0.404937175096272,0.19739599125200663,0.37110734631452263,0.3220037751777459,0.24194288762951843,0.14198385697883265,0.05557068435670303,0.010634720656506981,0.0007967904488531402,4.865351400004865e-05,1725,1,5297,0.4,68555.52608512,7664.583481161646
temperature,10863.599999999999,1214.1844239130435,0.6892580706060034,real,57170.52608512,6392.124106161646,0.8686934023285899,gate_small_vehicle_resnet50_yolo11n,0.41888289519311606,0.4047240334303968,0.1965719744126407,0.371224377284028,0.32225557463493154,0.2421909689441559,0.13929379461778635,0.055651447189827175,0.010649418304781414,0.0007984611771426227,4.8773350241428086e-05,1646,1,5297,0.45,68034.12608511999,7606.308530074689
temperature,10467.599999999999,1169.9249673913043,0.7005852369265622,real,57170.52608512,6392.124106161646,0.8473479948253557,gate_small_vehicle_resnet50_yolo11n,0.4188332624173039,0.40465654330500234,0.19654477063081408,0.3711707387333104,0.3221758810668137,0.2421896053412398,0.13928613198757805,0.055631274486787764,0.010658296509168247,0.0007971991106952296,4.8773350241428086e-05,1586,1,5297,0.5,67638.12608511999,7562.04907355295
temperature,10058.4,1124.190195652174,0.7122899754578063,real,57170.52608512,6392.124106161646,0.8292367399741267,gate_small_vehicle_resnet50_yolo11n,0.4187520938443194,0.39908663185018506,0.19544794499812185,0.3710854063357699,0.3173523780723831,0.2420312790508069,0.13914999117260937,0.055532699170360786,0.010648750901871045,0.0007914462326712463,4.8773350241428086e-05,1524,1,5297,0.55,67228.92608512,7516.31430181382
temperature,9589.8,1071.8165054347826,0.7256937889371342,real,57170.52608512,6392.124106161646,0.8053040103492884,gate_small_vehicle_resnet50_yolo11n,0.419866080853773,0.40006922317365284,0.1958189376420204,0.3718356943657655,0.31798020660156606,0.24232965426667794,0.13919712968538805,0.05549119120928676,0.010589990073975028,0.000781432839877514,4.8773350241428086e-05,1453,1,5297,0.6000000000000001,66760.32608512,7463.940611596428
temperature,9253.199999999999,1034.1959673913045,0.7353218803096092,real,57170.52608512,6392.124106161646,0.7865459249676585,gate_small_vehicle_resnet50_yolo11n,0.41348410394244517,0.3995052096851131,0.19446243522436008,0.366139330605789,0.31760655741499205,0.24200726160084424,0.13904268932946914,0.05540844255696039,0.010597228080752287,0.0007845142247649964,4.901480247034605e-05,1402,1,5297,0.65,66423.72608512,7426.32007355295
temperature,8811.0,984.7729076086957,0.7479705493675666,real,57170.52608512,6392.124106161646,0.7554980595084088,gate_small_vehicle_resnet50_yolo11n,0.4159518727998756,0.4017954654193496,0.19507103798166112,0.36819723709063235,0.3192374214751168,0.23912422307770884,0.13941582531401542,0.05556431771510256,0.010586442067158225,0.0007884384303613846,4.913642729037172e-05,1335,1,5297,0.7000000000000001,65981.52608512,7376.897013770342
temperature,8217.0,918.383722826087,0.7649612988484047,real,57170.52608512,6392.124106161646,0.7134540750323415,gate_small_vehicle_resnet50_yolo11n,0.41063492592014234,0.39072794736445393,0.19160923257563164,0.3629461439963227,0.3146075927571849,0.2352145469496728,0.1365702136441615,0.05393567222745307,0.010629009468670372,0.0007765197091643052,4.975371909050202e-05,1245,1,5297,0.75,65387.52608512,7310.507828987733
temperature,7603.2,849.7815652173914,0.782518406645271,real,57170.52608512,6392.124106161646,0.666882276843467,gate_small_vehicle_resnet50_yolo11n,0.4086570139791168,0.3945508063915584,0.19166350082195244,0.36078500421992155,0.3122783183917046,0.2370568217041513,0.13751449641686,0.054275764504299655,0.01069196756312991,0.0007745562157923335,5.025883298989797e-05,1152,1,5297,0.8,64773.72608512,7241.905671379037
temperature,6883.799999999999,769.3768858695653,0.8030960921276193,real,57170.52608512,6392.124106161646,0.6170763260025873,gate_small_vehicle_resnet50_yolo11n,0.4047972406441209,0.38452694041640245,0.18906540927590038,0.3568370246022936,0.30827857239551515,0.23317620387652022,0.13733488076586708,0.05429246237379285,0.010588679762498322,0.0007710518905545765,5.103603143819537e-05,1043,1,5297,0.8500000000000001,64054.32608512,7161.500992031211
temperature,6006.0,671.2684239130435,0.8282046441381914,real,57170.52608512,6392.124106161646,0.5446313065976714,gate_small_vehicle_resnet50_yolo11n,0.3789296541790613,0.3592100860250762,0.17713051273630812,0.33275101054202044,0.29159228734196824,0.2193678344121847,0.1279086182013143,0.051218832915326466,0.009637707253796033,0.0006372588478360031,5.183764449743404e-05,910,1,5297,0.9,63176.52608512,7063.392530074689
temperature,4712.4,526.6875326086957,0.8652067207853502,real,57170.52608512,6392.124106161646,0.4359637774902975,gate_small_vehicle_resnet50_yolo11n,0.3381890663593703,0.3259450785498846,0.16028591535728431,0.3009258727815212,0.26251105573075817,0.19982156242025478,0.11748695947764463,0.04786387520856531,0.009425767363015753,0.0006492452523940919,4.067042943454546e-05,714,1,5297,0.9500000000000001,61882.92608512,6918.811638770341
temperature,0.0,0.0,1.0,real,57170.52608512,6392.124106161646,0.0,gate_small_vehicle_resnet50_yolo11n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,57170.52608512,6392.124106161646
