calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,34960.2,3907.3723532608697,0.0,real,26506.544636416,2931.176081983722,1.0,gate_small_vehicle_tiny_yolo11n,0.43157793653050475,0.4106234676460775,0.1989393795915233,0.37588163443931755,0.32142121723062694,0.24131806605762904,0.1416434858647473,0.05546245431058532,0.010625394680971182,0.0007914856407736909,4.865351400004865e-05,5297,1,5297,0.0,61466.744636416,6838.548435244591
identity,17846.399999999998,1994.6261739130437,0.48952237115348307,real,26506.544636416,2931.176081983722,0.9805950840879689,gate_small_vehicle_tiny_yolo11n,0.4312169893430177,0.41024740217942557,0.198732736546207,0.3754815805998824,0.3210824541447402,0.241029238122323,0.14137653412943102,0.05542820146718183,0.010622056192333348,0.0007941359334935004,4.8773350241428086e-05,2704,1,5297,0.05,44352.944636415996,4925.802255896766
identity,15114.0,1689.2359239130435,0.5676798187653389,real,26506.544636416,2931.176081983722,0.9521345407503234,gate_small_vehicle_tiny_yolo11n,0.4254906304464394,0.4099859739204582,0.1980330353657071,0.37521181849698404,0.3208474973956568,0.2408088943737411,0.14117978938839534,0.05535098945258961,0.010612732545598719,0.0007932542869659827,4.8773350241428086e-05,2290,1,5297,0.1,41620.544636416,4620.412005896766
identity,13186.8,1473.839902173913,0.6228053615253917,real,26506.544636416,2931.176081983722,0.9146183699870634,gate_small_vehicle_tiny_yolo11n,0.42494604421085963,0.40426315411727864,0.1968520139943382,0.370050380544602,0.3207617363628996,0.24070156348970845,0.14102504185404552,0.05533997758556611,0.010595665720572923,0.0007876822795821456,4.889377826671556e-05,1998,1,5297,0.15000000000000002,39693.344636416005,4405.015984157635
identity,11965.8,1337.3732445652174,0.6577307910137814,real,26506.544636416,2931.176081983722,0.8803363518758085,gate_small_vehicle_tiny_yolo11n,0.4176212212448921,0.40270508135098204,0.19493513541034163,0.3688110632190069,0.31534106505400283,0.24010288215662592,0.13808506014051394,0.05522882549021636,0.01061569680137113,0.000791443843334491,4.901480247034605e-05,1813,1,5297,0.2,38472.344636416005,4268.5493265489395
identity,11002.199999999999,1229.6752336956522,0.6852935623938079,real,26506.544636416,2931.176081983722,0.8434670116429496,gate_small_vehicle_tiny_yolo11n,0.4171406112005342,0.3970848090411789,0.19378298306122038,0.3636483808358973,0.3152755371640996,0.2400220737615875,0.13803190704213972,0.05517383479912455,0.010610546451133166,0.0007931155140383957,4.901480247034605e-05,1667,1,5297,0.25,37508.744636416,4160.851315679374
identity,10111.199999999999,1130.0914565217392,0.7107796866150651,real,26506.544636416,2931.176081983722,0.7994825355756792,gate_small_vehicle_tiny_yolo11n,0.4112124699381306,0.39696110378116883,0.19290598411636753,0.3638415168727063,0.3155777838146539,0.23656553831639854,0.13817698716575824,0.05525760224854907,0.010622104501158533,0.0007955980978606222,4.913642729037172e-05,1532,1,5297,0.30000000000000004,36617.744636416,4061.267538505461
identity,9286.199999999999,1037.8842554347827,0.734377949782896,real,26506.544636416,2931.176081983722,0.7567917205692108,gate_small_vehicle_tiny_yolo11n,0.40368452404624905,0.3900499591304201,0.1900632954922386,0.3573762273351932,0.3097893177905254,0.2356993462498606,0.1376275152081862,0.05503004823091848,0.010538566408731959,0.0007878214992483317,4.9629023052681206e-05,1407,1,5297,0.35000000000000003,35792.744636416,3969.060337418505
identity,8599.8,961.1678641304349,0.7540117047385313,real,26506.544636416,2931.176081983722,0.7199223803363519,gate_small_vehicle_tiny_yolo11n,0.4038168473276155,0.39024067099376414,0.18988523172685481,0.35752557936947527,0.30983211632143065,0.23565604333501528,0.13739069430079592,0.05312830237076809,0.010430473069798201,0.0007812034618239451,5.038671806111909e-05,1303,1,5297,0.4,35106.344636416005,3892.3439461141566
identity,7933.2,886.664445652174,0.7730791013781386,real,26506.544636416,2931.176081983722,0.6739974126778784,gate_small_vehicle_tiny_yolo11n,0.3959278799208474,0.3828460606980896,0.18621164495088874,0.35064155472051883,0.30386768662632363,0.23078928019963965,0.1339844071940226,0.0528517141334261,0.01038336886233073,0.0007738527030545175,5.064445063432175e-05,1202,1,5297,0.45,34439.744636416,3817.840527635896
