calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,34960.2,3907.3723532608697,0.0,real,26506.544636416,2931.176081983722,1.0,gate_small_vehicle_tiny_yolo11n,0.43157793653050475,0.4106234676460775,0.1989393795915233,0.37588163443931755,0.32142121723062694,0.24131806605762904,0.1416434858647473,0.05546245431058532,0.010625394680971182,0.0007914856407736909,4.865351400004865e-05,5297,1,5297,0.0,61466.744636416,6838.548435244591
platt,19377.6,2165.762739130435,0.44572399471398905,real,26506.544636416,2931.176081983722,0.9928848641655886,gate_small_vehicle_tiny_yolo11n,0.43146794507441344,0.41048811900960386,0.19886491877289586,0.3757237076681454,0.3213108546579746,0.24121331906662447,0.14152909602645442,0.055451360167591245,0.010623410604654911,0.0007927219394961323,4.865351400004865e-05,2936,1,5297,0.05,45884.144636416,5096.938821114157
platt,17094.0,1910.5332065217392,0.5110439871625448,real,26506.544636416,2931.176081983722,0.9734799482535575,gate_small_vehicle_tiny_yolo11n,0.43127408055986227,0.41029887387109304,0.1987589961287995,0.3755284815468243,0.3211437908611496,0.2410634677934623,0.14138731508905172,0.05542731877770543,0.010623593578658858,0.0007942658599460705,4.8773350241428086e-05,2590,1,5297,0.1,43600.544636416,4841.709288505461
platt,15529.8,1735.7083532608697,0.5557862941287521,real,26506.544636416,2931.176081983722,0.9586028460543338,gate_small_vehicle_tiny_yolo11n,0.4255351721130301,0.41004177353616544,0.19805058684540944,0.37525089189645655,0.32085810221508143,0.24083809009523488,0.1411803240849169,0.055348033180912304,0.010611505395955302,0.0007932025861001572,4.8773350241428086e-05,2353,1,5297,0.15000000000000002,42036.344636416005,4666.884435244591
platt,14374.8,1606.6182717391305,0.5888238625637153,real,26506.544636416,2931.176081983722,0.9398447606727037,gate_small_vehicle_tiny_yolo11n,0.4254473760285715,0.4099314424223603,0.19800832995098022,0.375149079689659,0.3208058005827942,0.24076986437892023,0.14117172806996195,0.055352737569172694,0.010613369781403391,0.0007931276367177108,4.8773350241428086e-05,2178,1,5297,0.2,40881.344636416005,4537.794353722852
platt,13285.8,1484.904766304348,0.619973569945252,real,26506.544636416,2931.176081983722,0.9178525226390686,gate_small_vehicle_tiny_yolo11n,0.42497423994456873,0.4042831286185662,0.1968609762451965,0.37006776764960586,0.3207804665715104,0.24070875355289348,0.14102367839101776,0.05534013681723364,0.010595042239201375,0.000787654889100713,4.889377826671556e-05,2013,1,5297,0.25,39792.344636416005,4416.080848288069
platt,12474.0,1394.1728804347827,0.6431942609023975,real,26506.544636416,2931.176081983722,0.8926261319534282,gate_small_vehicle_tiny_yolo11n,0.4239973073807233,0.40360649114839375,0.19635885869405406,0.3696465487100836,0.3206025476234763,0.2406279613118568,0.13831418326365758,0.05534742735178047,0.010607719516261476,0.0007893858318373727,4.901480247034605e-05,1890,1,5297,0.30000000000000004,38980.544636416,4325.348962418504
platt,11741.4,1312.2928858695652,0.6641495185954314,real,26506.544636416,2931.176081983722,0.8680465717981889,gate_small_vehicle_tiny_yolo11n,0.4169811097899473,0.3969160096089068,0.19422935063428948,0.36855557423504504,0.3151862631706465,0.23998009773097995,0.138039290746725,0.05518464759123017,0.010609115573775215,0.0007923830931684976,4.901480247034605e-05,1779,1,5297,0.35000000000000003,38247.944636416,4243.468967853287
platt,11101.199999999999,1240.740097826087,0.6824617708136681,real,26506.544636416,2931.176081983722,0.8447606727037517,gate_small_vehicle_tiny_yolo11n,0.4171443727715803,0.3970869855419461,0.19378756055920104,0.3636519693179659,0.3152835482678503,0.2400379354190602,0.13803852883026885,0.05517798506790668,0.010612171800844193,0.0007930937721174686,4.901480247034605e-05,1682,1,5297,0.4,37607.744636416,4171.916179809808
platt,10467.599999999999,1169.9249673913043,0.7005852369265622,real,26506.544636416,2931.176081983722,0.8169469598965071,gate_small_vehicle_tiny_yolo11n,0.41137532803946925,0.39709496361202423,0.19289177809301222,0.3638886400455489,0.3154690112240681,0.2364035782462864,0.13803473587977422,0.05519706520142231,0.010610263395070194,0.0007950588591685673,4.913642729037172e-05,1586,1,5297,0.45,36974.144636416,4101.101049375026
