calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,34960.2,3907.3723532608697,0.0,real,26506.544636416,2931.176081983722,1.0,gate_small_vehicle_tiny_yolo11n,0.43157793653050475,0.4106234676460775,0.1989393795915233,0.37588163443931755,0.32142121723062694,0.24131806605762904,0.1416434858647473,0.05546245431058532,0.010625394680971182,0.0007914856407736909,4.865351400004865e-05,5297,1,5297,0.0,61466.744636416,6838.548435244591
temperature,19021.2,2125.92922826087,0.45591844440249196,real,26506.544636416,2931.176081983722,0.9909443725743855,gate_small_vehicle_tiny_yolo11n,0.4314582204660885,0.4104774441101322,0.19886268123844164,0.37571873749582824,0.32130929315387446,0.24121575495895453,0.14153091808538057,0.05545162977601203,0.010623431880309293,0.0007927289438365199,4.865351400004865e-05,2882,1,5297,0.05,45527.744636416,5057.105310244591
temperature,16031.4,1791.7703315217393,0.541438550122711,real,26506.544636416,2931.176081983722,0.963777490297542,gate_small_vehicle_tiny_yolo11n,0.43119531739035993,0.41021327502244986,0.19872330203123623,0.3754580699469331,0.3210610203303471,0.2410435335615228,0.14137456049206215,0.055419630583435756,0.01062439434470765,0.0007944452903022724,4.8773350241428086e-05,2429,1,5297,0.1,42537.944636416,4722.946413505461
temperature,14143.8,1580.8002554347827,0.595431376250708,real,26506.544636416,2931.176081983722,0.9366106080206986,gate_small_vehicle_tiny_yolo11n,0.42538511543213003,0.40991675266604044,0.19752080367423602,0.37020595217954233,0.32086462819388967,0.24081946475741525,0.14119689784834594,0.055362655422047935,0.0106145174458754,0.0007932794468314293,4.8773350241428086e-05,2143,1,5297,0.15000000000000002,40650.344636416005,4511.976337418504
temperature,12540.0,1401.5494565217393,0.6413063998489712,real,26506.544636416,2931.176081983722,0.8958602846054333,gate_small_vehicle_tiny_yolo11n,0.4238926723176049,0.40351421283239297,0.1963175491549943,0.36956444558727425,0.3205364181868761,0.24058584416316323,0.1382958080774994,0.05534106659982628,0.010606807362038449,0.0007892016207973763,4.901480247034605e-05,1900,1,5297,0.2,39046.544636416,4332.725538505461
temperature,11437.8,1278.3606358695654,0.6728336794411931,real,26506.544636416,2931.176081983722,0.8570504527813713,gate_small_vehicle_tiny_yolo11n,0.4170535278581665,0.39702198662008636,0.19376078177728828,0.36359520070049695,0.31525316355771055,0.24001381906914146,0.1380457122027177,0.05517309177253385,0.010609420907043967,0.000792880282515124,4.901480247034605e-05,1733,1,5297,0.25,37944.344636416005,4209.536717853287
temperature,10467.599999999999,1169.9249673913043,0.7005852369265622,real,26506.544636416,2931.176081983722,0.8169469598965071,gate_small_vehicle_tiny_yolo11n,0.41137532803946925,0.39709496361202423,0.19289177809301222,0.3638886400455489,0.3154690112240681,0.2364035782462864,0.13803473587977422,0.05519706520142231,0.010610263395070194,0.0007950588591685673,4.913642729037172e-05,1586,1,5297,0.30000000000000004,36974.144636416,4101.101049375026
temperature,9570.0,1069.6035326086958,0.7262601472531622,real,26506.544636416,2931.176081983722,0.7723156532988357,gate_small_vehicle_tiny_yolo11n,0.4106014848214253,0.3910675131087752,0.19223601635244664,0.36365057464714007,0.3154312849270736,0.2365588943370764,0.13823987658652276,0.055351020926775595,0.010614044806315092,0.0007960878666090978,4.938149675316659e-05,1450,1,5297,0.35000000000000003,36076.544636416,4000.7796145924176
temperature,8725.199999999999,975.1833586956523,0.7504247687370209,real,26506.544636416,2931.176081983722,0.7270375161707633,gate_small_vehicle_tiny_yolo11n,0.4036198423220732,0.3899583984958266,0.1897287142880693,0.3571980218982852,0.3095165915067682,0.2354082220051369,0.13727501974770434,0.05305470001786465,0.010426705195918663,0.0007795100956774738,5.013159543802482e-05,1322,1,5297,0.4,35231.744636416,3906.359440679374
temperature,8005.799999999999,894.7786793478261,0.7710024542193694,real,26506.544636416,2931.176081983722,0.6791720569210866,gate_small_vehicle_tiny_yolo11n,0.3962561410977573,0.3831879853831219,0.18639280807671807,0.35094730448909967,0.3041438994631127,0.23105335822004217,0.13416068504153472,0.052940542711603256,0.010409949763340868,0.0007775701469339911,5.064445063432175e-05,1213,1,5297,0.45,34512.344636416005,3825.954761331548
