scope,key,n_tiles,n_positive_tiles,positive_rate
global,all,31879,2912,0.09134539979296716
split,test,10833,0,0.0
split,train,15749,2224,0.14121531525811162
split,val,5297,688,0.12988484047574098
imagesource,GF,3040,35,0.011513157894736841
imagesource,GoogleEarth,13736,2693,0.1960541642399534
imagesource,JL,4270,184,0.04309133489461359
imagesource,unknown,10833,0,0.0
class,baseball diamond,594,4,0.006734006734006734
class,basketball court,471,9,0.01910828025477707
class,bridge,1981,19,0.009591115598182737
class,container crane,55,0,0.0
class,ground track field,922,6,0.006507592190889371
class,harbor,2695,8,0.002968460111317254
class,helicopter,186,115,0.6182795698924731
class,large vehicle,3511,761,0.21674736542295642
class,plane,2912,2912,1.0
class,roundabout,882,57,0.06462585034013606
class,ship,3593,38,0.010576120233787921
class,small vehicle,6718,1164,0.17326585293242036
class,soccer ball field,759,5,0.006587615283267457
class,storage tank,1069,72,0.06735266604303088
class,swimming pool,1059,6,0.0056657223796034
class,tennis court,1014,1,0.0009861932938856016
