scope,key,n_tiles,n_positive_tiles,positive_rate
global,all,31879,3593,0.11270742495059444
split,test,10833,0,0.0
split,train,15749,2672,0.16966156581370245
split,val,5297,921,0.17387200302057768
imagesource,GF,3040,525,0.17269736842105263
imagesource,GoogleEarth,13736,3017,0.21964181712288877
imagesource,JL,4270,51,0.011943793911007026
imagesource,unknown,10833,0,0.0
class,baseball diamond,594,17,0.02861952861952862
class,basketball court,471,29,0.06157112526539278
class,bridge,1981,233,0.11761736496718829
class,container crane,55,49,0.8909090909090909
class,ground track field,922,29,0.031453362255965296
class,harbor,2695,2251,0.8352504638218924
class,helicopter,186,2,0.010752688172043012
class,large vehicle,3511,400,0.11392765593847906
class,plane,2912,38,0.01304945054945055
class,roundabout,882,85,0.0963718820861678
class,ship,3593,3593,1.0
class,small vehicle,6718,1631,0.24278058946114914
class,soccer ball field,759,24,0.03162055335968379
class,storage tank,1069,203,0.18989710009354538
class,swimming pool,1059,492,0.46458923512747874
class,tennis court,1014,59,0.05818540433925049
