calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_any,0.6691844874594055,0.6488340561585431,0.42282021015556037,0.6235966934435277,0.5798791220615853,0.5202014699475879,0.43807954674283667,0.34719551119852365,0.23957260629040744,0.12673636676847114,0.034922241484715795,5297,16,5297,0.0,978514.2621630721,0.0
temperature,937420.23573504,0.0,0.03907872380592792,real,2971.04238144,0.0,0.9986033519553073,gate_sweep_any,0.6692086423475707,0.6488542292541152,0.4228294473680488,0.6236133790579419,0.5798923627249071,0.5202099120386621,0.43808569992068036,0.347198200786106,0.23957338509375312,0.126736420972036,0.034922241484715795,5090,16,5297,0.05,940391.2781164801,0.0
temperature,895613.871587328,0.0,0.08193316971870868,real,2971.04238144,0.0,0.9893854748603352,gate_sweep_any,0.6680598706937839,0.6476475473197947,0.42206699561036787,0.6220278269365264,0.57878434955222,0.5191553459576681,0.43754215933840035,0.3467091873329762,0.23932110201577234,0.1264970978932045,0.03492546906333277,4863,16,5297,0.1,898584.9139687681,0.0
temperature,848282.437287936,0.0,0.13045119879176892,real,2971.04238144,0.0,0.9740223463687151,gate_sweep_any,0.6638946561135342,0.6441029238101822,0.4198550952091046,0.6187163920306951,0.5751404599388156,0.5169822821110508,0.4348011774868496,0.34474841655216326,0.23869747948476966,0.12653803589735452,0.034929128665630964,4606,16,5297,0.15000000000000002,851253.479669376,0.0
temperature,797451.79189248,0.0,0.18255616386633944,real,2971.04238144,0.0,0.9564245810055866,gate_sweep_any,0.659679169633707,0.6393033602130476,0.4175021179064486,0.6146110064302179,0.571165987341195,0.5140585426299955,0.43228032015053575,0.34359615225947815,0.23884530664670378,0.12654692046181518,0.03493441329779014,4330,16,5297,0.2,800422.83427392,0.0
temperature,750672.864608256,0.0,0.23050783462337177,real,2971.04238144,0.0,0.9365921787709497,gate_sweep_any,0.6549450646441141,0.6361059747881892,0.41517519602191405,0.6105038811752934,0.5677677717696299,0.5107413268300565,0.4304596867930377,0.3419813155133786,0.2378152088613285,0.12649509334693237,0.034936636497179964,4076,16,5297,0.25,753643.9069896961,0.0
temperature,713286.556581888,0.0,0.268831414007929,real,2971.04238144,0.0,0.917877094972067,gate_sweep_any,0.648260185235005,0.629205277007667,0.4113399042177136,0.6048162154803123,0.5618555459031559,0.5050892000686027,0.42671534758965834,0.3394423107690431,0.23657849041232915,0.12649140988935328,0.0349450598220095,3873,16,5297,0.30000000000000004,716257.598963328,0.0
temperature,677741.93860608,0.0,0.3052671323390599,real,2971.04238144,0.0,0.8958100558659218,gate_sweep_any,0.6392270660797077,0.6206847395780517,0.40639937280349586,0.5968043071992092,0.5552472013488218,0.49824149680479646,0.4219639372730019,0.3361165763592686,0.23480042067308576,0.12597802936055286,0.03492995335846234,3680,16,5297,0.35000000000000003,680712.9809875201,0.0
temperature,646249.038741504,0.0,0.3375495563526525,real,2971.04238144,0.0,0.8737430167597765,gate_sweep_any,0.6337471485213957,0.615148701330688,0.4032868121795456,0.5909603535606388,0.5499087619721694,0.4952409019799211,0.41915718590722756,0.33421092172272526,0.23373722020097898,0.12582168026734275,0.03493524633236933,3509,16,5297,0.4,649220.081122944,0.0
temperature,617334.5049477121,0.0,0.367188974891448,real,2971.04238144,0.0,0.853072625698324,gate_sweep_any,0.6253364218214287,0.6074755311987157,0.3990633977177586,0.5829917708184843,0.5435093340556152,0.4896696379942358,0.4160964456561864,0.3321821746786627,0.2328179976055761,0.12571237711295902,0.03484228623572241,3352,16,5297,0.45,620305.5473291521,0.0
temperature,590077.492199424,0.0,0.3951293184821597,real,2971.04238144,0.0,0.8279329608938547,gate_sweep_any,0.6168452807821047,0.5986828362363684,0.39367684721758867,0.5748847050839309,0.5366133640295525,0.48164613068256734,0.4094669261914534,0.3285998632887701,0.23021520857612393,0.12498516813540961,0.034828989169605536,3204,16,5297,0.5,593048.534580864,0.0
temperature,566872.197562368,0.0,0.41891636775533325,real,2971.04238144,0.0,0.8036312849162012,gate_sweep_any,0.6046291160258421,0.5889949087068974,0.3870936406500358,0.5646571763920908,0.5272228519355796,0.47462256025147065,0.40325356602041984,0.32385762872787277,0.22629568914290438,0.12280966321956639,0.03459324607771417,3078,16,5297,0.55,569843.2399438081,0.0
temperature,543298.5649152,0.0,0.44308098923919204,real,2971.04238144,0.0,0.7787709497206704,gate_sweep_any,0.597728937819896,0.5828024997667993,0.382639909592101,0.5575159006774006,0.5215337166492121,0.468078455562598,0.39796673934663085,0.31938329507231983,0.22503602868404327,0.12181979824402844,0.034533724098080955,2950,16,5297,0.6000000000000001,546269.60729664,0.0
temperature,518804.087242752,0.0,0.468189541249764,real,2971.04238144,0.0,0.7502793296089385,gate_sweep_any,0.585983953931237,0.5699818784600709,0.3757079537315894,0.5472593194290671,0.5117856629057144,0.4598380123458421,0.39152488203432767,0.31396452063787195,0.22165193399876418,0.12085192679327586,0.03423744677972254,2817,16,5297,0.65,521775.129624192,0.0
temperature,493204.595539968,0.0,0.49443080989239196,real,2971.04238144,0.0,0.7206703910614525,gate_sweep_any,0.5743746918601516,0.5590772919668126,0.36894523722273376,0.536898478018107,0.502530213088794,0.4523140587449876,0.38449942692775846,0.3090934280908262,0.218035404145489,0.11866143673308868,0.03396794265132213,2678,16,5297,0.7000000000000001,496175.637921408,0.0
temperature,469078.455877632,0.0,0.5191617896922787,real,2971.04238144,0.0,0.6891061452513967,gate_sweep_any,0.5581065374898777,0.5441745872636493,0.36003225071974876,0.5231798165512772,0.48929183123752007,0.44096068833996377,0.3764174855145904,0.3028971215843946,0.2133411102209421,0.1184747157403423,0.03347861325493009,2547,16,5297,0.75,472049.498259072,0.0
temperature,446241.499250688,0.0,0.5425712667547669,real,2971.04238144,0.0,0.6597765363128492,gate_sweep_any,0.5479038087173047,0.5343031483695141,0.3540064479114208,0.5130690186622764,0.48050794711653255,0.43388847897297417,0.3707539998851219,0.29891110309582664,0.21022503292628236,0.11711718635277163,0.033384755015603396,2423,16,5297,0.8,449212.541632128,0.0
temperature,418984.4865024,0.0,0.5705116103454786,real,2971.04238144,0.0,0.6240223463687151,gate_sweep_any,0.5310926008421369,0.5159120752746582,0.34405047693943946,0.4974768846956121,0.4658055397137005,0.42064927977821687,0.36065442435773265,0.29249678822183234,0.20743073610730317,0.11595004716039956,0.03303639324280217,2275,16,5297,0.8500000000000001,421955.52888384,0.0
temperature,388412.431663104,0.0,0.6018501038323579,real,2971.04238144,0.0,0.5829608938547486,gate_sweep_any,0.5006779281264953,0.48843221695590067,0.32668536226667366,0.4701696518493566,0.4422652961370105,0.399948665254269,0.34343667072299255,0.27843760759945124,0.1981551481171813,0.1126430981501899,0.03268733975388946,2109,16,5297,0.9,391383.474044544,0.0
temperature,346974.40552550403,0.0,0.6443269775344534,real,2971.04238144,0.0,0.523463687150838,gate_sweep_any,0.46758616938713965,0.45590991341185527,0.3075691592093938,0.4402860474285457,0.41522092008572387,0.3760585591347936,0.32697554765306935,0.26455381477616124,0.18838677957647706,0.10868251195428134,0.032031328685891175,1884,16,5297,0.9500000000000001,349945.447906944,0.0
temperature,0.0,0.0,1.0,real,2971.04238144,0.0,0.0,gate_sweep_any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,5297,1.0,2971.04238144,0.0
