calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_baseball_diamond,0.7611244641987118,0.7275381697589092,0.3986834857141158,0.6977065591302274,0.6119841011670781,0.48245747113151577,0.33781623717806986,0.21717951325271573,0.11916327922990719,0.03162357453063263,0.0002414875633904854,5297,1,5297,0.0,978514.2621630721,0.0
platt,90979.488497664,0.0,0.9067396639607325,real,2971.04238144,0.0,0.8421052631578947,gate_sweep_baseball_diamond,0.702998239085333,0.67950883331943,0.37668377507090123,0.6496175573028082,0.586007202060988,0.46458808313850136,0.3252991057843496,0.20997341144237444,0.11648504324457928,0.032115806439314575,0.00024446889133357777,494,1,5297,0.05,93950.530879104,0.0
platt,65195.827789824,0.0,0.933169718708703,real,2971.04238144,0.0,0.8133971291866029,gate_sweep_baseball_diamond,0.6937475531967169,0.6704629190704424,0.3703457460984069,0.6403767465607119,0.5771690824909853,0.4559745840529474,0.3173865300865721,0.2027336222209761,0.11414091268965247,0.031217985862589538,0.00024752475247524753,354,1,5297,0.1,68166.870171264,0.0
platt,53409.01146624,0.0,0.9452520294506325,real,2971.04238144,0.0,0.7655502392344498,gate_sweep_baseball_diamond,0.6754114362939245,0.6525291046663916,0.36087319121617967,0.6227327660608736,0.5610497062096401,0.4478023187868841,0.3103183862138602,0.2008271750080881,0.10963271560880791,0.028177645336136956,0.00025065797719012406,290,1,5297,0.15000000000000002,56380.05384768,0.0
platt,45489.744248832,0.0,0.9533698319803663,real,2971.04238144,0.0,0.7416267942583732,gate_sweep_baseball_diamond,0.6579373675351242,0.6353004862163277,0.35451245200864967,0.6133470860386017,0.5520342001386617,0.43915558706409874,0.3096309496666095,0.2000896598950595,0.109190823985488,0.028187701569335973,0.00025065797719012406,247,1,5297,0.2,48460.786630272,0.0
platt,40148.843102208004,0.0,0.958844629035303,real,2971.04238144,0.0,0.7177033492822966,gate_sweep_baseball_diamond,0.648481882677687,0.6258895719688017,0.34931635509105663,0.6039792653198052,0.5425657286175977,0.4311092074077086,0.3055997623008246,0.19695634311011653,0.10983060462795695,0.028497313339067267,0.00025387154100025384,218,1,5297,0.25,43119.885483648,0.0
platt,36465.463001088,0.0,0.9626203511421559,real,2971.04238144,0.0,0.6985645933014354,gate_sweep_baseball_diamond,0.6391732141328843,0.6167036107340284,0.3438636171731054,0.5946869348066016,0.5334380107793056,0.4226111251293632,0.29919703510272,0.19580510876795076,0.10835230701800365,0.028414953719195682,0.00025387154100025384,198,1,5297,0.30000000000000004,39436.505382528,0.0
platt,32413.744889856,0.0,0.9667736454596941,real,2971.04238144,0.0,0.6602870813397129,gate_sweep_baseball_diamond,0.6133439439014806,0.5908482154208368,0.32937642489601804,0.569189978379609,0.5090272407874604,0.40025891181637385,0.2852381331426333,0.19092219628049775,0.10617216044053476,0.028509597249753618,0.00025387154100025384,176,1,5297,0.35000000000000003,35384.787271296,0.0
platt,30756.223844352,0.0,0.968472720407778,real,2971.04238144,0.0,0.6555023923444976,gate_sweep_baseball_diamond,0.6133439439014806,0.5908482154208368,0.32937642489601804,0.569189978379609,0.5090272407874604,0.40025891181637385,0.2852381331426333,0.19092219628049775,0.10617216044053476,0.028509597249753618,0.00025387154100025384,167,1,5297,0.4,33727.266225792,0.0
platt,27809.519763456,0.0,0.9714932980932603,real,2971.04238144,0.0,0.6267942583732058,gate_sweep_baseball_diamond,0.5968480570730514,0.5747943550421525,0.3211782543367073,0.5533264807391075,0.49382621170697827,0.39294965170752594,0.27876708807364353,0.18648277523190426,0.10599924348220709,0.028534808769502096,0.00025387154100025384,151,1,5297,0.45,30780.562144896,0.0
platt,26336.167723008002,0.0,0.9730035869360015,real,2971.04238144,0.0,0.6076555023923444,gate_sweep_baseball_diamond,0.5789745750448381,0.5571226423998435,0.3109946567808842,0.5358839506717616,0.47670197985865503,0.3773494299481607,0.27195975411725215,0.18068119923820974,0.10238324888059118,0.028635916108529367,0.00025387154100025384,143,1,5297,0.5,29307.210104448,0.0
