calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_basketball_court,0.6584190389665595,0.6542327698231352,0.5230102279238003,0.643898476292955,0.6239348503256478,0.6074223933049158,0.5607486019294855,0.5318107498591942,0.49169917530564244,0.356346459419444,0.10158976401102354,5297,1,5297,0.0,978514.2621630721,0.0
platt,54882.363506688,0.0,0.9437417406078913,real,2971.04238144,0.0,0.6141732283464567,gate_sweep_basketball_court,0.5428854372152709,0.5392591916590092,0.4350227489780297,0.5291095953664671,0.5180694597442992,0.5043090432119913,0.46089414422956865,0.44715072831577346,0.4086913809533226,0.30674987658827374,0.0931086324963211,298,1,5297,0.05,57853.405888128,0.0
platt,32413.744889856,0.0,0.9667736454596941,real,2971.04238144,0.0,0.4566929133858268,gate_sweep_basketball_court,0.4780815706635609,0.4744818438587399,0.39080016821947733,0.46538042418796455,0.45437944936605207,0.45291113904904273,0.41752837413105015,0.39705260965301986,0.3769558662404941,0.2966857790517763,0.09454462599307256,176,1,5297,0.1,35384.787271296,0.0
platt,25231.153692672,0.0,0.9741363035680574,real,2971.04238144,0.0,0.3779527559055118,gate_sweep_basketball_court,0.39227787227846916,0.3889508304188731,0.33151047652731647,0.38016441299210957,0.37742275370448714,0.37742275370448714,0.3550128120264568,0.343142736481487,0.3331595228151576,0.27487498040489156,0.09267609044674574,137,1,5297,0.15000000000000002,28202.196074112,0.0
platt,19706.083540992,0.0,0.9797998867283368,real,2971.04238144,0.0,0.3228346456692913,gate_sweep_basketball_court,0.34277337417996523,0.3321881858842499,0.291408766171064,0.33099539503325853,0.32177397510247024,0.32177397510247024,0.3090972322194619,0.30543157003081123,0.296909509381162,0.2609631103953133,0.09218133438147738,107,1,5297,0.2,22677.125922432002,0.0
platt,15838.534434816,0.0,0.9837643949405324,real,2971.04238144,0.0,0.2992125984251969,gate_sweep_basketball_court,0.32562988634458234,0.32238535360601017,0.27901472392626936,0.3140793496303427,0.3040638912784964,0.3040638912784964,0.2989364181582041,0.28892629074218307,0.28708577189527057,0.2525488994737548,0.09242748685535261,86,1,5297,0.25,18809.576816255998,0.0
platt,13444.337369088,0.0,0.9862186143099868,real,2971.04238144,0.0,0.28346456692913385,gate_sweep_basketball_court,0.3249584754708636,0.3230542835751909,0.27769521178218715,0.3131486499784825,0.30439758148612633,0.30439758148612633,0.2911420123917343,0.2890202962007803,0.2794936416718595,0.2545234457581344,0.09281614980257359,73,1,5297,0.30000000000000004,16415.379750528,0.0
platt,11970.98532864,0.0,0.987728903152728,real,2971.04238144,0.0,0.28346456692913385,gate_sweep_basketball_court,0.3250370547573637,0.3231856583198081,0.27772406511394887,0.3132272292649826,0.30439758148612633,0.30439758148612633,0.2911420123917343,0.2890202962007803,0.2794936416718595,0.2545234457581344,0.09281614980257359,65,1,5297,0.35000000000000003,14942.02771008,0.0
platt,10497.633288192,0.0,0.9892391919954692,real,2971.04238144,0.0,0.25984251968503935,gate_sweep_basketball_court,0.31514837273665586,0.3047166155294775,0.26764826421751087,0.30336263160737964,0.2943092752657473,0.2943092752657473,0.2812707128895969,0.27783428918782854,0.26948926515397725,0.24332044784273724,0.09272175669596137,57,1,5297,0.4,13468.675669632,0.0
platt,9208.4502528,0.0,0.9905606947328677,real,2971.04238144,0.0,0.2204724409448819,gate_sweep_basketball_court,0.2771201033146793,0.2771201033146793,0.24111574540290953,0.26732673267326734,0.2666712323406254,0.2666712323406254,0.2545792113965799,0.25161160338252087,0.24245022146818138,0.22043180957509975,0.08717520422283673,50,1,5297,0.45,12179.49263424,0.0
platt,8471.774232576001,0.0,0.9913158391542383,real,2971.04238144,0.0,0.2125984251968504,gate_sweep_basketball_court,0.27722772277227725,0.27722772277227725,0.2411680177108857,0.26732673267326734,0.26677530390401677,0.26677530390401677,0.2545792113965799,0.2517109444203036,0.24245022146818138,0.22043180957509975,0.08717520422283673,46,1,5297,0.5,11442.816614016001,0.0
platt,6814.253187072,0.0,0.9930149141023221,real,2971.04238144,0.0,0.1889763779527559,gate_sweep_basketball_court,0.2672142214221422,0.2672142214221422,0.22793510377796547,0.25731061478240846,0.24728617440057257,0.24728617440057257,0.2440480058039518,0.23232947229873493,0.23188212062561903,0.20084259030254356,0.08393744232096714,37,1,5297,0.55,9785.295568512,0.0
platt,5709.239156736,0.0,0.994147630734378,real,2971.04238144,0.0,0.1732283464566929,gate_sweep_basketball_court,0.25742574257425743,0.25742574257425743,0.22409096308767515,0.2573092603377985,0.2471753057658707,0.2471753057658707,0.23471353865375558,0.23222488531804714,0.22267981726338357,0.20084259030254356,0.08393744232096714,31,1,5297,0.6000000000000001,8680.281538176001,0.0
platt,4604.2251264,0.0,0.9952803473664338,real,2971.04238144,0.0,0.16535433070866143,gate_sweep_basketball_court,0.24752475247524752,0.24752475247524752,0.2196329058156014,0.24740546343791006,0.2373762376237624,0.2373762376237624,0.23417648281033773,0.23393343139676262,0.2246171795454676,0.2022118036943211,0.08418271707319512,25,1,5297,0.65,7575.26750784,0.0
platt,3867.549106176,0.0,0.9960354917878044,real,2971.04238144,0.0,0.14960629921259844,gate_sweep_basketball_court,0.2376237623762376,0.2376237623762376,0.20594131191053702,0.2376237623762376,0.2272084351292272,0.2272084351292272,0.21492434957781492,0.2147957652908148,0.2053962539111054,0.18255014951521595,0.07445844342325193,21,1,5297,0.7000000000000001,6838.591487616,0.0
platt,3867.549106176,0.0,0.9960354917878044,real,2971.04238144,0.0,0.14960629921259844,gate_sweep_basketball_court,0.2376237623762376,0.2376237623762376,0.20594131191053702,0.2376237623762376,0.2272084351292272,0.2272084351292272,0.21492434957781492,0.2147957652908148,0.2053962539111054,0.18255014951521595,0.07445844342325193,21,1,5297,0.75,6838.591487616,0.0
platt,3130.873085952,0.0,0.996790636209175,real,2971.04238144,0.0,0.12598425196850394,gate_sweep_basketball_court,0.19801980198019803,0.19801980198019803,0.17034135328427813,0.19801980198019803,0.18780940594059406,0.18780940594059406,0.17500987313229832,0.1748551701620013,0.17437206264072286,0.15393237436951243,0.055565834716463966,17,1,5297,0.8,6101.915467392,0.0
platt,2578.366070784,0.0,0.997356994525203,real,2971.04238144,0.0,0.10236220472440945,gate_sweep_basketball_court,0.15841584158415842,0.15841584158415842,0.1369627531980889,0.15841584158415842,0.14812657736361873,0.14812657736361873,0.14460437640402696,0.14460437640402696,0.13544823870142117,0.12252821920847545,0.050941641783225945,14,1,5297,0.8500000000000001,5549.408452224,0.0
platt,2394.197065728,0.0,0.9975457806305456,real,2971.04238144,0.0,0.09448818897637795,gate_sweep_basketball_court,0.1485148514851485,0.1485148514851485,0.13125172518081413,0.1485148514851485,0.14811072944029097,0.14811072944029097,0.1351821842214087,0.1351821842214087,0.13498012319897995,0.11446510504709007,0.050941641783225945,13,1,5297,0.9,5365.239447168,0.0
