calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_bridge,0.5060011734906557,0.4531498699753821,0.21800789800034556,0.40373921519350103,0.33766587246274615,0.24893576256581773,0.14082937272001378,0.06404340311441672,0.021118996138127365,0.004471551966557402,0.00012376237623762376,5297,1,5297,0.0,978514.2621630721,0.0
temperature,328925.843030016,0.0,0.6628280158580329,real,2971.04238144,0.0,0.9263392857142857,gate_sweep_bridge,0.4996218140746563,0.45289536723863566,0.2175092334958726,0.4046538480080954,0.3382635139281112,0.24917699444861938,0.14072716533540036,0.06403091362953667,0.021127403952875882,0.004471551966557402,0.00012376237623762376,1786,1,5297,0.05,331896.885411456,0.0
temperature,269623.423401984,0.0,0.7236171417783651,real,2971.04238144,0.0,0.9040178571428571,gate_sweep_bridge,0.49447840102749613,0.4477197176422702,0.21632781918693883,0.4003945370400016,0.3395029995478979,0.2500965092070244,0.141064481597289,0.06424975543213599,0.021171726006133165,0.004476301992902455,0.00012376237623762376,1464,1,5297,0.1,272594.465783424,0.0
temperature,230395.425325056,0.0,0.7638285822163489,real,2971.04238144,0.0,0.8638392857142857,gate_sweep_bridge,0.48748556747870603,0.440604728253616,0.2125975959641897,0.3936295743721814,0.33335652672084287,0.24443274796501568,0.1371479387765901,0.06378389359257527,0.020928450400590055,0.004482769705541983,0.00012376237623762376,1251,1,5297,0.15000000000000002,233366.467706496,0.0
temperature,202585.9055616,0.0,0.7923352841230885,real,2971.04238144,0.0,0.8392857142857143,gate_sweep_bridge,0.4895405774482905,0.4373816823539268,0.2122929461377887,0.39527583234311636,0.33018458757653146,0.24502880260508933,0.13750051423565873,0.062404208288282415,0.02100176982130902,0.00448772432944474,0.00012376237623762376,1100,1,5297,0.2,205556.94794304,0.0
temperature,179380.61092454402,0.0,0.8161223333962621,real,2971.04238144,0.0,0.8147321428571429,gate_sweep_bridge,0.48273565681055486,0.4307641816743379,0.209393481727243,0.38911323926351804,0.3294304732118949,0.24025284302374952,0.13336996031093828,0.06272198147316234,0.020915974775760484,0.004505177739918935,0.00012532898859506203,974,1,5297,0.25,182351.65330598401,0.0
temperature,161700.386439168,0.0,0.8342457995091561,real,2971.04238144,0.0,0.7879464285714286,gate_sweep_bridge,0.4781235141737238,0.4317817094614004,0.20886167927128058,0.39025990067584737,0.32576459439470146,0.24052964075817085,0.13342244248125962,0.06307522624850345,0.021024148823027434,0.004510286707576331,0.00012532898859506203,878,1,5297,0.30000000000000004,164671.428820608,0.0
temperature,146414.35901952,0.0,0.8499150462525958,real,2971.04238144,0.0,0.7566964285714286,gate_sweep_bridge,0.4682852099455478,0.42341842799597945,0.20503140994518426,0.38302350262838514,0.3186265809497875,0.23499190546224263,0.13310527045590703,0.06311421863435053,0.02110285873101072,0.0045207956600361665,0.00012532898859506203,795,1,5297,0.35000000000000003,149385.40140096,0.0
temperature,129839.14856448,0.0,0.8669057957334341,real,2971.04238144,0.0,0.7254464285714286,gate_sweep_bridge,0.461068629399377,0.4161719125376967,0.20318665553448828,0.37649452044925624,0.31998609324492533,0.23720778692761785,0.1313800311580421,0.06366682360768446,0.021360088962471744,0.004403733287311301,0.00012693577050012692,705,1,5297,0.4,132810.19094592,0.0
temperature,114368.952139776,0.0,0.8827638285822164,real,2971.04238144,0.0,0.6919642857142857,gate_sweep_bridge,0.4538807272178042,0.40944268308082726,0.19979553447217688,0.3693730464588946,0.31371891767426413,0.23127335604717997,0.13046368417027313,0.06374701453032375,0.021504747796988494,0.004422583458213239,0.0001285842870001286,621,1,5297,0.45,117339.994521216,0.0
