calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_ground_track_field,0.7017020218789345,0.6794777568585865,0.4505493409863036,0.6600600870590759,0.6147119333307465,0.5713073731027253,0.4908101389385543,0.42667177572528436,0.2767169592850576,0.08132261906206104,0.002712744622010175,5297,1,5297,0.0,978514.2621630721,0.0
identity,42543.040167936,0.0,0.9563904096658487,real,2971.04238144,0.0,0.6145038167938931,gate_sweep_ground_track_field,0.5498952498275205,0.5349869325141711,0.3591146308826076,0.5177020409765177,0.4838428498543007,0.4471454108755924,0.39741484087291873,0.3441340473879542,0.2380591432211432,0.07457468222389199,0.0033911110720655025,231,1,5297,0.05,45514.082549376,0.0
identity,40701.350117376,0.0,0.9582782707192751,real,2971.04238144,0.0,0.5916030534351145,gate_sweep_ground_track_field,0.5310172626626285,0.5162904528183699,0.34620352625786166,0.4991368302589968,0.46538057981559583,0.4296952060709703,0.38041522277992296,0.33471993090853175,0.2295534646237873,0.07236096610516032,0.003465346534653465,221,1,5297,0.1,43672.392498816,0.0
identity,40148.843102208004,0.0,0.958844629035303,real,2971.04238144,0.0,0.583969465648855,gate_sweep_ground_track_field,0.5305833120745389,0.5082576171907635,0.3437608578042213,0.4913199023713193,0.4649794268685138,0.4219525964491606,0.37983554489748644,0.33506050906094637,0.22975760568338144,0.07239671691144879,0.003465346534653465,218,1,5297,0.15000000000000002,43119.885483648,0.0
identity,38859.660066816,0.0,0.9601661317727015,real,2971.04238144,0.0,0.5687022900763359,gate_sweep_ground_track_field,0.5228562718046692,0.5007362160192692,0.33863570774452784,0.4912386472060035,0.457338093809431,0.4145084162302511,0.3724869153756914,0.3275580085247043,0.22373790901141483,0.07250299923425584,0.0033936002295881763,211,1,5297,0.2,41830.702448256,0.0
identity,38122.984046592,0.0,0.9609212761940721,real,2971.04238144,0.0,0.5610687022900763,gate_sweep_ground_track_field,0.5137258068771348,0.5001037648480219,0.33540748450896263,0.4832362249205783,0.44960079215089377,0.4133138539432998,0.3714771387916024,0.3261366920332559,0.22195604819665882,0.071122644678778,0.003401878649403402,207,1,5297,0.25,41094.026428032,0.0
identity,37570.477031424,0.0,0.9614876345101,real,2971.04238144,0.0,0.5610687022900763,gate_sweep_ground_track_field,0.5137258068771348,0.5001037648480219,0.33540748450896263,0.4832362249205783,0.44960079215089377,0.4133138539432998,0.3714771387916024,0.3261366920332559,0.22195604819665882,0.071122644678778,0.003401878649403402,204,1,5297,0.30000000000000004,40541.519412864,0.0
identity,37202.139021312,0.0,0.9618652067207853,real,2971.04238144,0.0,0.5572519083969466,gate_sweep_ground_track_field,0.5133634876723272,0.5003169540312273,0.3354595156275126,0.4834454492946369,0.4497585219733064,0.4134285340217687,0.3715460270810969,0.3261963211806184,0.22200386160955318,0.07113412076118776,0.003401878649403402,202,1,5297,0.35000000000000003,40173.181402752,0.0
identity,36649.632006144,0.0,0.9624315650368133,real,2971.04238144,0.0,0.549618320610687,gate_sweep_ground_track_field,0.5043720593579712,0.4990327159875921,0.3314694747124908,0.48212494197011985,0.44794784126905773,0.41187888071184087,0.3632754014663078,0.3188354278484109,0.21612644574059148,0.06769069173891279,0.0034103410341034105,199,1,5297,0.4,39620.674387584,0.0
identity,35728.786980864,0.0,0.9633754955635265,real,2971.04238144,0.0,0.5419847328244275,gate_sweep_ground_track_field,0.5039868613556429,0.49096178833739323,0.3281858458759369,0.47419676556045265,0.44041072021816147,0.40433060384325875,0.3627059808196397,0.3178382483671325,0.21628798868605545,0.06772916053752952,0.0034103410341034105,194,1,5297,0.45,38699.829362304,0.0
identity,35544.617975808,0.0,0.9635642816688692,real,2971.04238144,0.0,0.5419847328244275,gate_sweep_ground_track_field,0.5039868613556429,0.49096178833739323,0.3281858458759369,0.47419676556045265,0.44041072021816147,0.40433060384325875,0.3627059808196397,0.3178382483671325,0.21628798868605545,0.06772916053752952,0.0034103410341034105,193,1,5297,0.5,38515.660357248,0.0
identity,35176.279965696,0.0,0.9639418538795544,real,2971.04238144,0.0,0.5343511450381679,gate_sweep_ground_track_field,0.5032648895845477,0.4902021733431651,0.3271021318280258,0.4735700954461051,0.4395388926091567,0.4037307952979253,0.36201844642386594,0.3115405101838225,0.21597700630260172,0.06776816805496487,0.0034103410341034105,191,1,5297,0.55,38147.322347135996,0.0
identity,34807.941955584,0.0,0.9643194260902398,real,2971.04238144,0.0,0.5305343511450382,gate_sweep_ground_track_field,0.5028668919185174,0.48980885770413457,0.32608831805550287,0.4731197347501095,0.4389486064418743,0.4031399086607013,0.35524381046356845,0.3111182846943244,0.21544360356500464,0.06778314132269088,0.0034103410341034105,189,1,5297,0.6000000000000001,37778.984337024,0.0
identity,34623.772950528,0.0,0.9645082121955824,real,2971.04238144,0.0,0.5305343511450382,gate_sweep_ground_track_field,0.5030878990283906,0.4900218273700946,0.32620707251548936,0.4733286778220136,0.4391495981803333,0.403296275019036,0.3553178991899158,0.3111817019837048,0.2154933642046106,0.06778314132269088,0.0034103410341034105,188,1,5297,0.65,37594.815331968,0.0
identity,34439.603945472,0.0,0.964696998300925,real,2971.04238144,0.0,0.5267175572519084,gate_sweep_ground_track_field,0.49455619443773136,0.481631178145813,0.3211293889398033,0.4644496840598798,0.4308885768008707,0.3953739427068088,0.3534360861894494,0.30943081552137475,0.2096540137348131,0.06839439821594048,0.003478999585351793,187,1,5297,0.7000000000000001,37410.646326912,0.0
identity,33702.927925248,0.0,0.9654521427222956,real,2971.04238144,0.0,0.5190839694656488,gate_sweep_ground_track_field,0.4933824111931629,0.4804117866742662,0.31938063222957125,0.46331494609999624,0.42927471919624105,0.3939191892139382,0.35219686039163484,0.3019365924867564,0.20737554951585058,0.06850641873898726,0.0034878487848784877,183,1,5297,0.75,36673.970306687996,0.0
identity,33150.42091008,0.0,0.9660185010383235,real,2971.04238144,0.0,0.5114503816793893,gate_sweep_ground_track_field,0.48497599877663994,0.47207869502573047,0.31408575036699077,0.4552891229063437,0.4214637560614588,0.3862087766669786,0.34512717066680604,0.3014066486237125,0.20223240432825162,0.0685870818291073,0.0034878487848784877,180,1,5297,0.8,36121.46329152,0.0
identity,32045.406879744,0.0,0.9671512176703795,real,2971.04238144,0.0,0.4961832061068702,gate_sweep_ground_track_field,0.4752713860766099,0.46259497029657726,0.30945015619103056,0.4457663809226973,0.41968330441730345,0.38516940802299215,0.34335702363844495,0.2934029679757704,0.20084374894010829,0.06491547020552232,0.003496901414279359,174,1,5297,0.8500000000000001,35016.449261184,0.0
identity,31124.561854464002,0.0,0.9680951481970927,real,2971.04238144,0.0,0.49236641221374045,gate_sweep_ground_track_field,0.4743587391335179,0.461498610649782,0.30595459258250524,0.4447451100011161,0.4112857665537608,0.376752138140403,0.335899251044557,0.29208982642403913,0.19418662651688087,0.06522369279104978,0.003506164569945367,169,1,5297,0.9,34095.604235904,0.0
identity,28177.857773568,0.0,0.971115725882575,real,2971.04238144,0.0,0.4541984732824427,gate_sweep_ground_track_field,0.4269363486022484,0.4151879768472828,0.27857037390787376,0.4070768482842896,0.3736057642234432,0.3394877763138584,0.3007946667432663,0.26763618306294606,0.1878784155874661,0.06468488378003183,0.002414875633904854,153,1,5297,0.9500000000000001,31148.900155008,0.0
identity,5709.239156736,0.0,0.994147630734378,real,2971.04238144,0.0,0.11068702290076336,gate_sweep_ground_track_field,0.09202808867843305,0.09145740661022624,0.06685058582432352,0.09145740661022624,0.09069518753117549,0.08177320289573715,0.07251797643532469,0.0706250128118402,0.05154893640624566,0.0264026402640264,0.0,31,1,5297,1.0,8680.281538176001,0.0
