calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_ground_track_field,0.7017020218789345,0.6794777568585865,0.4505493409863036,0.6600600870590759,0.6147119333307465,0.5713073731027253,0.4908101389385543,0.42667177572528436,0.2767169592850576,0.08132261906206104,0.002712744622010175,5297,1,5297,0.0,978514.2621630721,0.0
platt,101108.783775744,0.0,0.8963564281668869,real,2971.04238144,0.0,0.7557251908396947,gate_sweep_ground_track_field,0.6238893288433288,0.6086987599467759,0.40556521606662443,0.5918461498835521,0.5497526720068152,0.5138477239801653,0.4493113396437884,0.38363775818329265,0.25425311294995195,0.07742005771962934,0.0029952575089441714,549,1,5297,0.05,104079.826157184,0.0
platt,69063.376896,0.0,0.9292052104965075,real,2971.04238144,0.0,0.7022900763358778,gate_sweep_ground_track_field,0.6097078084982244,0.5868826311128389,0.3908776054997599,0.569661224154845,0.5267075046843526,0.4905332190018917,0.43325684277721854,0.36876634328841074,0.2467012615176324,0.07346939746642223,0.0030898224957630897,375,1,5297,0.1,72034.41927744,0.0
platt,53961.518481408,0.0,0.9446856711346044,real,2971.04238144,0.0,0.6564885496183206,gate_sweep_ground_track_field,0.5764366426077722,0.561694808504777,0.37484242207399715,0.544356836618891,0.5096813054343794,0.46621332696856854,0.4129522914852259,0.35430762725485,0.24377661932279712,0.07578227048218411,0.003222492060526807,293,1,5297,0.15000000000000002,56932.560862848,0.0
platt,46226.420269056,0.0,0.9526146875589957,real,2971.04238144,0.0,0.6297709923664122,gate_sweep_ground_track_field,0.564633497410738,0.541826598722493,0.36220722852248394,0.5247032943268314,0.48969230406992237,0.44606329507499304,0.40302930819368876,0.34015273263408696,0.23496223384074166,0.07363407476107295,0.003374946190271201,251,1,5297,0.2,49197.462650495996,0.0
platt,41622.195142656,0.0,0.9573343401925618,real,2971.04238144,0.0,0.6030534351145038,gate_sweep_ground_track_field,0.5400660282025751,0.5251557343429578,0.3513025543747634,0.5077900165672649,0.4739274949896784,0.4378549474670252,0.3880562392937424,0.33502384180612227,0.2293527012017057,0.07233319334190924,0.003465346534653465,226,1,5297,0.25,44593.237524095995,0.0
platt,39596.33608704,0.0,0.9594109873513309,real,2971.04238144,0.0,0.5801526717557252,gate_sweep_ground_track_field,0.5318858887334318,0.5093972531472545,0.34253242900222164,0.49257369201392476,0.4588409141926109,0.4230378046040114,0.38027449023446996,0.32938919147031354,0.2246867412729917,0.07185281451290096,0.0033854998403066113,215,1,5297,0.30000000000000004,42567.37846848,0.0
platt,37202.139021312,0.0,0.9618652067207853,real,2971.04238144,0.0,0.5572519083969466,gate_sweep_ground_track_field,0.5133634876723272,0.5003169540312273,0.3354595156275126,0.4834454492946369,0.4497585219733064,0.4134285340217687,0.3715460270810969,0.3261963211806184,0.22200386160955318,0.07113412076118776,0.003401878649403402,202,1,5297,0.35000000000000003,40173.181402752,0.0
platt,35176.279965696,0.0,0.9639418538795544,real,2971.04238144,0.0,0.5343511450381679,gate_sweep_ground_track_field,0.5032648895845477,0.4902021733431651,0.3271021318280258,0.4735700954461051,0.4395388926091567,0.4037307952979253,0.36201844642386594,0.3115405101838225,0.21597700630260172,0.06776816805496487,0.0034103410341034105,191,1,5297,0.4,38147.322347135996,0.0
platt,33887.096930304004,0.0,0.965263356616953,real,2971.04238144,0.0,0.5190839694656488,gate_sweep_ground_track_field,0.4933824111931629,0.4804117866742662,0.31938063222957125,0.46331494609999624,0.42927471919624105,0.3939191892139382,0.35219686039163484,0.3019365924867564,0.20737554951585058,0.06850641873898726,0.0034878487848784877,184,1,5297,0.45,36858.139311744,0.0
platt,31492.899864576,0.0,0.9677175759864074,real,2971.04238144,0.0,0.49236641221374045,gate_sweep_ground_track_field,0.4743587391335179,0.461498610649782,0.30595459258250524,0.4447451100011161,0.4112857665537608,0.376752138140403,0.335899251044557,0.29208982642403913,0.19418662651688087,0.06522369279104978,0.003506164569945367,171,1,5297,0.5,34463.942246016,0.0
platt,28730.364788736002,0.0,0.9705493675665471,real,2971.04238144,0.0,0.46564885496183206,gate_sweep_ground_track_field,0.4564282410951992,0.4445515527379906,0.2969640473387174,0.4287696050892762,0.4028873724818073,0.36824628617271726,0.32673763870645894,0.2839673426642998,0.19103261339331373,0.06413970745335673,0.002880113592754624,156,1,5297,0.55,31701.407170176004,0.0
platt,27257.012748288,0.0,0.9720596564092883,real,2971.04238144,0.0,0.4389312977099237,gate_sweep_ground_track_field,0.4068369465298002,0.3949466244893537,0.267752420549224,0.39329163329514827,0.3602935322092852,0.3263068095188251,0.294166647710525,0.25505830787824674,0.17676136397207204,0.06732362447898133,0.0025387154100025384,148,1,5297,0.6000000000000001,30228.055129728004,0.0
platt,25046.984687616,0.0,0.9743250896734,real,2971.04238144,0.0,0.4122137404580153,gate_sweep_ground_track_field,0.3811867741101874,0.3767799848608093,0.25085136668553465,0.36735477096975416,0.3418149284274627,0.30770295806954223,0.2687346078250598,0.23657863978909363,0.16580867477208502,0.059802053003849324,0.0027502750275027505,136,1,5297,0.65,28018.027069056,0.0
