calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_ground_track_field,0.7017020218789345,0.6794777568585865,0.4505493409863036,0.6600600870590759,0.6147119333307465,0.5713073731027253,0.4908101389385543,0.42667177572528436,0.2767169592850576,0.08132261906206104,0.002712744622010175,5297,1,5297,0.0,978514.2621630721,0.0
temperature,109028.050993152,0.0,0.8882386256371531,real,2971.04238144,0.0,0.767175572519084,gate_sweep_ground_track_field,0.6305745677604342,0.6087974374237449,0.41043415721921345,0.5989421902649563,0.5570526119967633,0.5208718318251698,0.4565857278002233,0.3911979773651074,0.26114638637937465,0.07623875225496388,0.002934089121396377,592,1,5297,0.05,111999.093374592,0.0
temperature,76430.13709824,0.0,0.9216537662828016,real,2971.04238144,0.0,0.7175572519083969,gate_sweep_ground_track_field,0.6110683075567739,0.588245537937676,0.3937007104731882,0.5709665820673652,0.535615476690724,0.4920115650639152,0.4348708315338107,0.376026173740359,0.24819117189172352,0.07692800704727136,0.003083451202263083,415,1,5297,0.1,79401.17947968,0.0
temperature,63538.30674432,0.0,0.9348687936567869,real,2971.04238144,0.0,0.683206106870229,gate_sweep_ground_track_field,0.6029913268220102,0.5808440383199386,0.38707314468527604,0.5637836487462164,0.5279080497420843,0.48474137711390736,0.4275306993199254,0.36331843971573385,0.24286763415463694,0.07364992328734336,0.0030963096309630967,345,1,5297,0.15000000000000002,66509.34912576,0.0
temperature,53040.673456128,0.0,0.9456296016613177,real,2971.04238144,0.0,0.6526717557251909,gate_sweep_ground_track_field,0.5764366426077722,0.5617266298687316,0.37485152862592563,0.5443881528818304,0.5097092333267703,0.46621332696856854,0.4129522914852259,0.35430762725485,0.24377661932279712,0.07578227048218411,0.003222492060526807,288,1,5297,0.2,56011.715837568,0.0
temperature,47699.772309504,0.0,0.9511043987162545,real,2971.04238144,0.0,0.6335877862595419,gate_sweep_ground_track_field,0.5656093130847695,0.543008078090125,0.3627537732688664,0.5257846923443661,0.49058530718582477,0.45420103855092203,0.4002016416552662,0.3381664312685514,0.23351397296605916,0.07310015372090431,0.0033671038218759455,259,1,5297,0.25,50670.814690944,0.0
temperature,42727.209172992,0.0,0.956201623560506,real,2971.04238144,0.0,0.6145038167938931,gate_sweep_ground_track_field,0.5498952498275205,0.5349869325141711,0.3591146308826076,0.5177020409765177,0.4838428498543007,0.4471454108755924,0.39741484087291873,0.3441340473879542,0.2380591432211432,0.07457468222389199,0.0033911110720655025,232,1,5297,0.30000000000000004,45698.251554432,0.0
temperature,40885.519122432,0.0,0.9580894846139324,real,2971.04238144,0.0,0.5954198473282443,gate_sweep_ground_track_field,0.5390840377149777,0.51664894739549,0.34788349112354683,0.49946280981107494,0.46596149866257136,0.43012783459015164,0.3871999639110328,0.3350291240119267,0.22950834394157793,0.07234700466201248,0.003465346534653465,222,1,5297,0.35000000000000003,43856.561503872,0.0
temperature,39227.998076928,0.0,0.9597885595620163,real,2971.04238144,0.0,0.5725190839694656,gate_sweep_ground_track_field,0.5233201423273771,0.5086271057849462,0.3402900758384976,0.49167128251905595,0.4578817133727627,0.4219916355865721,0.37237776113316495,0.3274607392685436,0.22368647182771936,0.0724903063352453,0.0033936002295881763,213,1,5297,0.4,42199.040458368,0.0
temperature,37386.308026368,0.0,0.9616764206154427,real,2971.04238144,0.0,0.5610687022900763,gate_sweep_ground_track_field,0.5137258068771348,0.5001037648480219,0.33540748450896263,0.4832362249205783,0.44960079215089377,0.4133138539432998,0.3714771387916024,0.3261366920332559,0.22195604819665882,0.071122644678778,0.003401878649403402,203,1,5297,0.45,40357.350407808,0.0
temperature,35544.617975808,0.0,0.9635642816688692,real,2971.04238144,0.0,0.5419847328244275,gate_sweep_ground_track_field,0.5039868613556429,0.49096178833739323,0.3281858458759369,0.47419676556045265,0.44041072021816147,0.40433060384325875,0.3627059808196397,0.3178382483671325,0.21628798868605545,0.06772916053752952,0.0034103410341034105,193,1,5297,0.5,38515.660357248,0.0
temperature,34439.603945472,0.0,0.964696998300925,real,2971.04238144,0.0,0.5267175572519084,gate_sweep_ground_track_field,0.49455619443773136,0.481631178145813,0.3211293889398033,0.4644496840598798,0.4308885768008707,0.3953739427068088,0.3534360861894494,0.30943081552137475,0.2096540137348131,0.06839439821594048,0.003478999585351793,187,1,5297,0.55,37410.646326912,0.0
temperature,32782.082899968,0.0,0.9663960732490089,real,2971.04238144,0.0,0.5076335877862596,gate_sweep_ground_track_field,0.4844984918214329,0.47155727274723164,0.3132393171630631,0.45481048683200637,0.42126125692027927,0.38597452135940624,0.34472649242117237,0.29542988481552723,0.20220393848356463,0.06844297744513171,0.0034878487848784877,178,1,5297,0.6000000000000001,35753.125281408,0.0
temperature,30387.88583424,0.0,0.9688502926184632,real,2971.04238144,0.0,0.4847328244274809,gate_sweep_ground_track_field,0.4654146025576632,0.45359104504712994,0.3027541669195465,0.4370692078460288,0.4108866375544222,0.37644070722810996,0.3354737603606439,0.2859554261981168,0.1939562186861196,0.06524789914728468,0.003506164569945367,165,1,5297,0.65,33358.92821568,0.0
temperature,27993.688768512002,0.0,0.9713045119879177,real,2971.04238144,0.0,0.45038167938931295,gate_sweep_ground_track_field,0.426561526941912,0.41473805519626566,0.27780273419563883,0.39904854165502873,0.37400078899841094,0.33979780019101347,0.3009829094051553,0.26780565276019824,0.18797614862549755,0.06470104254900164,0.002414875633904854,152,1,5297,0.7000000000000001,30964.731149952,0.0
temperature,26151.998717952,0.0,0.9731923730413442,real,2971.04238144,0.0,0.42748091603053434,gate_sweep_ground_track_field,0.3888818483313009,0.38462628139192157,0.25729258522798665,0.3754906189732789,0.3500458917322934,0.3160633897056373,0.28358564287007015,0.2438535220606196,0.16728111343098398,0.06042160051375793,0.002675943270002676,142,1,5297,0.75,29123.041099392,0.0
temperature,23389.463642112,0.0,0.9760241646214839,real,2971.04238144,0.0,0.3893129770992366,gate_sweep_ground_track_field,0.3605294695801265,0.3484513285196451,0.2351288220837126,0.34697153845050005,0.31460712780990724,0.2813275343634471,0.25005048610712727,0.22114153167318829,0.163330993012231,0.062049357006951286,0.0028288543140028285,127,1,5297,0.8,26360.506023552,0.0
