calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_harbor,0.7620705382244479,0.7085926043415868,0.4206195833500489,0.6509601795976212,0.6019281365557517,0.540541825591277,0.4484130776825911,0.3095245770809048,0.15518060053434832,0.028630687102710828,0.00035360678925035356,5297,1,5297,0.0,978514.2621630721,0.0
identity,129286.641549312,0.0,0.867472154049462,real,2971.04238144,0.0,0.9029411764705882,gate_sweep_harbor,0.7551858057620965,0.7019199538659019,0.4187997899383336,0.65141344729865,0.6022940332631577,0.5349133239397341,0.4485035226774887,0.3095557317373285,0.15522262562748876,0.028635848422239818,0.00035360678925035356,702,1,5297,0.05,132257.683930752,0.0
identity,125419.092443136,0.0,0.8714366622616575,real,2971.04238144,0.0,0.8955882352941177,gate_sweep_harbor,0.7550211235524429,0.7018032081207771,0.41874969938915035,0.6513923294937503,0.6022693384807938,0.5348661576208898,0.4484476365490277,0.30949734046391325,0.1552104043984192,0.028635848422239818,0.00035360678925035356,681,1,5297,0.1,128390.134824576,0.0
identity,121735.712342016,0.0,0.8752123843685105,real,2971.04238144,0.0,0.8838235294117647,gate_sweep_harbor,0.7552511623815596,0.7019821609667805,0.41884257584071233,0.6515433592124317,0.6024077152128865,0.5349755226269938,0.448521841245018,0.30952708826478487,0.15522694284933336,0.02863635885808388,0.00035360678925035356,661,1,5297,0.15000000000000002,124706.754723456,0.0
identity,120999.036321792,0.0,0.875967528789881,real,2971.04238144,0.0,0.8823529411764706,gate_sweep_harbor,0.7554836375935036,0.7021947991531297,0.4189656595012492,0.6517356939837267,0.602588833684472,0.535134162462737,0.44865391246384634,0.30961043712092123,0.1552603122049173,0.028641199555988157,0.00035360678925035356,657,1,5297,0.2,123970.078703232,0.0
identity,120630.69831168,0.0,0.8763451010005664,real,2971.04238144,0.0,0.8808823529411764,gate_sweep_harbor,0.7554836375935036,0.7021947991531297,0.4189656595012492,0.6517356939837267,0.602588833684472,0.535134162462737,0.44865391246384634,0.30961043712092123,0.1552603122049173,0.028641199555988157,0.00035360678925035356,655,1,5297,0.25,123601.74069312,0.0
identity,119709.8532864,0.0,0.8772890315272796,real,2971.04238144,0.0,0.8779411764705882,gate_sweep_harbor,0.7556027028162661,0.7023025318616158,0.41901360301264035,0.651822186954127,0.6026778859087575,0.5351335870339725,0.4486967501292143,0.3096160934822799,0.1552856688162951,0.028645016334625645,0.00035360678925035356,650,1,5297,0.30000000000000004,122680.89566784,0.0
identity,119157.346271232,0.0,0.8778553898433076,real,2971.04238144,0.0,0.8779411764705882,gate_sweep_harbor,0.7556027028162661,0.7023025318616158,0.41901360301264035,0.651822186954127,0.6026778859087575,0.5351335870339725,0.4486967501292143,0.3096160934822799,0.1552856688162951,0.028645016334625645,0.00035360678925035356,647,1,5297,0.35000000000000003,122128.388652672,0.0
identity,118420.670251008,0.0,0.8786105342646782,real,2971.04238144,0.0,0.8720588235294118,gate_sweep_harbor,0.7554368223865504,0.7020677088270305,0.41889203582800427,0.6516011505381366,0.6023970726281932,0.5349365741222728,0.44860683067942814,0.30961708311005526,0.15523844011549034,0.028665069083634545,0.00035360678925035356,643,1,5297,0.4,121391.712632448,0.0
identity,118052.33224089601,0.0,0.8789881064753634,real,2971.04238144,0.0,0.8705882352941177,gate_sweep_harbor,0.7554169814956396,0.7020335032665503,0.41834299370207423,0.6515829153416554,0.602366623164206,0.5349229134690486,0.44330111762508717,0.30954810744048983,0.15523909934518004,0.028665069083634545,0.00035360678925035356,641,1,5297,0.45,121023.374622336,0.0
