calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_harbor,0.7620705382244479,0.7085926043415868,0.4206195833500489,0.6509601795976212,0.6019281365557517,0.540541825591277,0.4484130776825911,0.3095245770809048,0.15518060053434832,0.028630687102710828,0.00035360678925035356,5297,1,5297,0.0,978514.2621630721,0.0
temperature,183616.498040832,0.0,0.8117802529733812,real,2971.04238144,0.0,0.9544117647058824,gate_sweep_harbor,0.7549271861548564,0.7089380835227767,0.4200279218320076,0.651226699709998,0.6021500752985843,0.540759749020187,0.4485090185478003,0.3095912806860157,0.15518919948524984,0.028634319105357655,0.00035360678925035356,997,1,5297,0.05,186587.540422272,0.0
temperature,159674.527383552,0.0,0.8363224466679252,real,2971.04238144,0.0,0.9338235294117647,gate_sweep_harbor,0.7550959364931765,0.7090725854869371,0.42010499440670046,0.6513571709614908,0.6022779454720242,0.5408545994303512,0.448575580363739,0.3096265385221186,0.1552011520017161,0.028634828546200284,0.00035360678925035356,867,1,5297,0.1,162645.569764992,0.0
temperature,145677.682999296,0.0,0.8506701906739664,real,2971.04238144,0.0,0.9235294117647059,gate_sweep_harbor,0.7551240042964485,0.701886998133442,0.41879073308309156,0.6513937292979547,0.6022830981254438,0.5349536775549986,0.44852569728156666,0.3095342349339155,0.15521643599565588,0.028635848422239818,0.00035360678925035356,791,1,5297,0.15000000000000002,148648.725380736,0.0
temperature,137942.584786944,0.0,0.8585992070983576,real,2971.04238144,0.0,0.9161764705882353,gate_sweep_harbor,0.7551355390121177,0.7019033409944095,0.41878737149988216,0.6513770478705582,0.6022878970906331,0.5349567506340485,0.4484662140751007,0.30953945705210195,0.1552180130583623,0.028635848422239818,0.00035360678925035356,749,1,5297,0.2,140913.627168384,0.0
temperature,131865.007620096,0.0,0.8648291485746649,real,2971.04238144,0.0,0.9073529411764706,gate_sweep_harbor,0.7551377857342089,0.7018809941564842,0.4187801593615945,0.6513799567020212,0.60226152416965,0.5348962623140463,0.4484865411885172,0.30954842707677227,0.15522064706275476,0.028635848422239818,0.00035360678925035356,716,1,5297,0.25,134836.050001536,0.0
temperature,127629.12050380801,0.0,0.8691712289975457,real,2971.04238144,0.0,0.9014705882352941,gate_sweep_harbor,0.7551056745818673,0.701791522999328,0.4187614077964974,0.6513832141530755,0.6022667624290219,0.5348600346703534,0.44845202124789035,0.3095405267622212,0.15522486590972673,0.028635848422239818,0.00035360678925035356,693,1,5297,0.30000000000000004,130600.162885248,0.0
temperature,124314.07841280001,0.0,0.8725693788937134,real,2971.04238144,0.0,0.8897058823529411,gate_sweep_harbor,0.7550211235524429,0.7018032081207771,0.41874969938915035,0.6513923294937503,0.6022693384807938,0.5348661576208898,0.4484476365490277,0.30949734046391325,0.1552104043984192,0.028635848422239818,0.00035360678925035356,675,1,5297,0.35000000000000003,127285.12079424,0.0
temperature,120814.867316736,0.0,0.8761563148952237,real,2971.04238144,0.0,0.8823529411764706,gate_sweep_harbor,0.7554836375935036,0.7021947991531297,0.4189656595012492,0.6517356939837267,0.602588833684472,0.535134162462737,0.44865391246384634,0.30961043712092123,0.1552603122049173,0.028641199555988157,0.00035360678925035356,656,1,5297,0.4,123785.909698176,0.0
temperature,119157.346271232,0.0,0.8778553898433076,real,2971.04238144,0.0,0.8779411764705882,gate_sweep_harbor,0.7556027028162661,0.7023025318616158,0.41901360301264035,0.651822186954127,0.6026778859087575,0.5351335870339725,0.4486967501292143,0.3096160934822799,0.1552856688162951,0.028645016334625645,0.00035360678925035356,647,1,5297,0.45,122128.388652672,0.0
temperature,117683.994230784,0.0,0.8793656786860486,real,2971.04238144,0.0,0.8691176470588236,gate_sweep_harbor,0.7553895950810465,0.702000211095359,0.41831527557969544,0.6515000974238628,0.6023155157354634,0.5348551956412615,0.44324653741309517,0.3095763425605209,0.1552493636364763,0.028666290420618735,0.00035360678925035356,639,1,5297,0.5,120655.036612224,0.0
temperature,116026.47318528,0.0,0.8810647536341325,real,2971.04238144,0.0,0.861764705882353,gate_sweep_harbor,0.7552793298554227,0.7019197463682272,0.4175826587850821,0.6514003090259523,0.5956153331820916,0.5347118906594802,0.4431169690371846,0.3093903405605279,0.1553569341758388,0.02868212819684505,0.00035360678925035356,630,1,5297,0.55,118997.51556672,0.0
