calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_large_vehicle,0.769729119959227,0.7574623756035797,0.5009773464188932,0.7429005253393459,0.7178802069460681,0.6772503447205802,0.5910231276390869,0.4451738570187252,0.2528706132077743,0.05465260235991121,0.0008306913946346778,5297,1,5297,0.0,978514.2621630721,0.0
platt,330215.026065408,0.0,0.6615065131206344,real,2971.04238144,0.0,0.9228687415426252,gate_sweep_large_vehicle,0.7615936282471176,0.7493346991446435,0.49855337272637146,0.7349364720470541,0.7176723006352281,0.6771429987250437,0.5910513436807211,0.4453277274208041,0.25297240585069575,0.05467146011777255,0.0008306913946346778,1793,1,5297,0.05,333186.068446848,0.0
platt,262625.001209856,0.0,0.7307910137813857,real,2971.04238144,0.0,0.8470906630581867,gate_sweep_large_vehicle,0.7616717204459329,0.7494788091464148,0.49643515612878647,0.7350555555153805,0.7100788949332986,0.6698173055655788,0.5843516888881914,0.44538549836613117,0.25299237950448533,0.05468886793213562,0.000830840990314953,1426,1,5297,0.1,265596.043591296,0.0
platt,223765.34114304002,0.0,0.7706248820086842,real,2971.04238144,0.0,0.7983761840324763,gate_sweep_large_vehicle,0.7534372425008714,0.749303474389635,0.49495278555804073,0.7349154593950529,0.7099610140006498,0.6697058894172763,0.5841826608391868,0.4396414412637032,0.2528700949100667,0.054679588119584115,0.0008309907443813375,1215,1,5297,0.15000000000000002,226736.38352448,0.0
platt,194482.469339136,0.0,0.800641872758165,real,2971.04238144,0.0,0.7550744248985115,gate_sweep_large_vehicle,0.7536030613720208,0.7494766918778836,0.49420745506453734,0.727100061119885,0.7100207926419053,0.6697448348477936,0.5842049516285239,0.4396523426342101,0.25281388941223226,0.05462678445383356,0.0008311406570855041,1056,1,5297,0.2,197453.511720576,0.0
platt,170908.836691968,0.0,0.8248064942420238,real,2971.04238144,0.0,0.7117726657645467,gate_sweep_large_vehicle,0.7533764124176165,0.7411366285369266,0.49237311364745623,0.7268285819284027,0.7019303789134861,0.6694029593883606,0.5837461509706939,0.43923953870904625,0.25267449669286346,0.05456424701783407,0.0008317418993321514,928,1,5297,0.25,173879.879073408,0.0
platt,151386.922156032,0.0,0.8448178214083444,real,2971.04238144,0.0,0.6684709066305818,gate_sweep_large_vehicle,0.7450381868894181,0.7410519661775472,0.4896396385278794,0.7266927318424047,0.7018025117664148,0.6616748181324421,0.576660763352715,0.43938035603544356,0.24862655657050287,0.0546364510330407,0.0008320434788650073,822,1,5297,0.30000000000000004,154357.964537472,0.0
platt,136837.570756608,0.0,0.8597319237304134,real,2971.04238144,0.0,0.6359945872801083,gate_sweep_large_vehicle,0.7451103464352425,0.7329225044753399,0.4880635510923835,0.7186866979868395,0.7018464394321825,0.6618197876459899,0.576690455239806,0.43933442805507905,0.2487076895662534,0.05468481638704553,0.0008323457000564438,743,1,5297,0.35000000000000003,139808.613138048,0.0
platt,122288.219357184,0.0,0.8746460260524825,real,2971.04238144,0.0,0.5967523680649527,gate_sweep_large_vehicle,0.7449567647374421,0.732694876381802,0.4872845891222563,0.718379596109985,0.6934675722819031,0.6613368550025336,0.5770854710113242,0.43980449238949365,0.24940241081074718,0.054881657023356095,0.0008361954739760837,664,1,5297,0.4,125259.261738624,0.0
platt,110501.4030336,0.0,0.8867283367944119,real,2971.04238144,0.0,0.5656292286874154,gate_sweep_large_vehicle,0.7363931720524316,0.7241666880491032,0.482569447452057,0.7099511409674756,0.6932837320994606,0.6534375037344586,0.5698090697211365,0.43371542226866894,0.24923649920245677,0.0548648210581492,0.0008364253672287421,600,1,5297,0.45,113472.44541504,0.0
