calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_large_vehicle,0.769729119959227,0.7574623756035797,0.5009773464188932,0.7429005253393459,0.7178802069460681,0.6772503447205802,0.5910231276390869,0.4451738570187252,0.2528706132077743,0.05465260235991121,0.0008306913946346778,5297,1,5297,0.0,978514.2621630721,0.0
temperature,336108.4342272,0.0,0.6554653577496696,real,2971.04238144,0.0,0.9296346414073072,gate_sweep_large_vehicle,0.7615972364343424,0.7493364943620417,0.49855732483184045,0.7349456132435422,0.7176787256473013,0.6771457930125575,0.5910699442818416,0.44532839003872476,0.25296948046196116,0.054670879441457695,0.0008306913946346778,1825,1,5297,0.05,339079.47660864,0.0
temperature,274964.324548608,0.0,0.7181423447234283,real,2971.04238144,0.0,0.8660351826792964,gate_sweep_large_vehicle,0.7615281830348315,0.7493234748731377,0.49633671689275494,0.734909295982042,0.7099098960545306,0.6696696607981468,0.5842630699983673,0.4453146261050439,0.2529390030424575,0.054679192866299006,0.0008307661726922605,1493,1,5297,0.1,277935.366930048,0.0
temperature,235736.32647168002,0.0,0.7583537851614122,real,2971.04238144,0.0,0.8105548037889039,gate_sweep_large_vehicle,0.7615689891527794,0.7493429903072448,0.49636996835716085,0.7349604047458427,0.7100009788617905,0.66973824435987,0.584214851573465,0.4454082090139077,0.252961167473252,0.05467293223592221,0.0008309158475341646,1280,1,5297,0.15000000000000002,238707.36885312002,0.0
temperature,208295.144718336,0.0,0.7864829148574665,real,2971.04238144,0.0,0.7780784844384303,gate_sweep_large_vehicle,0.7534633924777614,0.7493301164348661,0.49493027356218866,0.734889702514094,0.7099328451826741,0.6696785089378847,0.5841370067042824,0.43962091109767093,0.2527921747141536,0.054627011877610605,0.0008310656808879477,1131,1,5297,0.2,211266.187099776,0.0
temperature,186747.371126784,0.0,0.8085708891825562,real,2971.04238144,0.0,0.7428958051420839,gate_sweep_large_vehicle,0.7536314799747845,0.7414198932462596,0.4933899188712297,0.7271115785526289,0.7100305327653381,0.6697555116059856,0.5841941569680839,0.4396198004366506,0.2527628199582907,0.05454219953126961,0.0008312156730055494,1014,1,5297,0.25,189718.413508224,0.0
temperature,169435.48465152,0.0,0.826316783084765,real,2971.04238144,0.0,0.7090663058186739,gate_sweep_large_vehicle,0.7533814182132894,0.7411400165783871,0.4923748790465477,0.7268302703095296,0.7019311655440353,0.6694006403706919,0.5837511800262672,0.43924147855871654,0.2526761016418875,0.05456477732334026,0.0008317418993321514,920,1,5297,0.30000000000000004,172406.52703296,0.0
temperature,152491.936186368,0.0,0.8436851047762884,real,2971.04238144,0.0,0.6711772665764547,gate_sweep_large_vehicle,0.7532727249635877,0.7410652096080301,0.4904743464993319,0.7267250297415361,0.7018268558321727,0.6617220365639355,0.5767269164869371,0.43935027341312577,0.2486202198421947,0.05460230593278019,0.0008318926090190433,828,1,5297,0.35000000000000003,155462.978567808,0.0
temperature,139968.44384256,0.0,0.8565225599395885,real,2971.04238144,0.0,0.6400541271989174,gate_sweep_large_vehicle,0.7449888689565002,0.732796055629242,0.48799389592662196,0.7185725212175804,0.7017299202501059,0.6617240127126226,0.5766324087996351,0.43929220445347966,0.2486923545893136,0.05467826695768342,0.0008323457000564438,760,1,5297,0.4,142939.486224,0.0
temperature,125787.430453248,0.0,0.8710590900509723,real,2971.04238144,0.0,0.6062246278755075,gate_sweep_large_vehicle,0.7447776510777155,0.7325313249534805,0.487173369910503,0.7182340225172866,0.6933373130324144,0.6612101997570126,0.5769043963519173,0.43968029485323,0.24934626980162755,0.05487610783545034,0.0008361189248940945,683,1,5297,0.45,128758.472834688,0.0
temperature,115289.797165056,0.0,0.8818198980555031,real,2971.04238144,0.0,0.5805142083897158,gate_sweep_large_vehicle,0.7365029813483237,0.7326136741364045,0.4850169638872301,0.7182840455629406,0.6933733629531651,0.6535305702842027,0.5770022564661652,0.4337935324963792,0.24933576188618617,0.05489718167449657,0.0008362720640372387,626,1,5297,0.5,118260.839546496,0.0
temperature,104792.163876864,0.0,0.8925807060600339,real,2971.04238144,0.0,0.550744248985115,gate_sweep_large_vehicle,0.7364294674834114,0.7242005675637553,0.4824126775843256,0.7099679301452808,0.6932907165792584,0.6534460273193036,0.5698407537013173,0.4337404673026242,0.24926556361947555,0.05310885676160022,0.0008364253672287421,569,1,5297,0.55,107763.206258304,0.0
temperature,91531.995512832,0.0,0.9061733056447046,real,2971.04238144,0.0,0.5047361299052774,gate_sweep_large_vehicle,0.7184160289450964,0.7146300723258443,0.4759671088102377,0.70035994266343,0.6756046745735931,0.6445324424990689,0.5637919893663155,0.4361779374627662,0.25160861975385257,0.05370765421753534,0.0008417262948746144,497,1,5297,0.6000000000000001,94503.037894272,0.0
temperature,81218.531229696,0.0,0.9167453275438928,real,2971.04238144,0.0,0.4614343707713126,gate_sweep_large_vehicle,0.7087423608547037,0.696449914564906,0.46975478009651644,0.6905872029123352,0.6657998270392711,0.6355345457416006,0.5577040391111471,0.4332312900816609,0.25397824685539144,0.05466270259980833,0.0008576712043400847,441,1,5297,0.65,84189.573611136,0.0
temperature,70352.559931392,0.0,0.9278837077591089,real,2971.04238144,0.0,0.41542625169147496,gate_sweep_large_vehicle,0.6900047400750206,0.6778120279554037,0.4584155116163834,0.6641609793735256,0.648227222661385,0.6189265955660866,0.5507174660908716,0.4278266191791199,0.2505746972030452,0.05504756233880384,0.0008572057205720572,382,1,5297,0.7000000000000001,73323.602312832,0.0
temperature,60959.940673536,0.0,0.9375117991315839,real,2971.04238144,0.0,0.38294993234100133,gate_sweep_large_vehicle,0.6811183032045348,0.6775238558764451,0.4547015043121343,0.6637915423473814,0.6394382038826468,0.6103146343664917,0.5423071947674679,0.4269433640177813,0.24994041852259727,0.05477554425404484,0.0008619818819521603,331,1,5297,0.75,63930.983054976,0.0
temperature,50830.645395456,0.0,0.9478950349254295,real,2971.04238144,0.0,0.3342354533152909,gate_sweep_large_vehicle,0.6519945478641864,0.6404900710484863,0.4384181623671304,0.6277457103409331,0.6133081365403071,0.5944517014055927,0.5370187488336755,0.416350677134409,0.24683156283811586,0.05512512609182152,0.0008653415737751823,276,1,5297,0.8,53801.687776896,0.0
temperature,43832.223203328,0.0,0.95506890692845,real,2971.04238144,0.0,0.30311231393775373,gate_sweep_large_vehicle,0.6336593710930637,0.6222321534330613,0.4265123876245672,0.6095768930660317,0.5952776140559913,0.576811834278157,0.5204038099750228,0.40894729660264584,0.2421995794424654,0.05514767217854166,0.0008676521206910653,238,1,5297,0.8500000000000001,46803.265584768,0.0
temperature,37017.970016256004,0.0,0.962053992826128,real,2971.04238144,0.0,0.2652232746955345,gate_sweep_large_vehicle,0.5858015185492199,0.574493364838393,0.3972507835007401,0.5620754642134345,0.5482523983815764,0.531268478399894,0.48863298117998205,0.3918326457681963,0.23532090171313752,0.05395844122806516,0.0008716407355021217,201,1,5297,0.9,39989.012397696,0.0
temperature,30940.392849408,0.0,0.9682839343024353,real,2971.04238144,0.0,0.2232746955345061,gate_sweep_large_vehicle,0.5297147013990141,0.5274563475442557,0.3657981729125501,0.5156230810776984,0.5111522029240512,0.4870250099659298,0.44716309798444964,0.362742635990091,0.2245427037114476,0.05167264250390667,0.0008893060246576893,168,1,5297,0.9500000000000001,33911.435230848,0.0
temperature,0.0,0.0,1.0,real,2971.04238144,0.0,0.0,gate_sweep_large_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,2971.04238144,0.0
