calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_plane,0.9257091251580082,0.9148455971396637,0.6927585181218355,0.9035987606498033,0.8815019039406058,0.8490643386756143,0.8028478910269398,0.7195499134607236,0.5891415075555783,0.32085940385339845,0.02046673975802134,5297,1,5297,0.0,978514.2621630721,0.0
platt,186010.69510656002,0.0,0.8093260336039267,real,2971.04238144,0.0,0.9534883720930233,gate_sweep_plane,0.9061015815374956,0.895366645322809,0.6810854621552912,0.8842103937623627,0.8624985793999818,0.8388091848033911,0.7934288395863771,0.7112831301842978,0.5823882311214182,0.31630910883427993,0.020458927000499345,1010,1,5297,0.05,188981.737488,0.0
platt,161516.217434112,0.0,0.8344345856144988,real,2971.04238144,0.0,0.940406976744186,gate_sweep_plane,0.9060718675561508,0.8952832973788312,0.6802040874701658,0.8841703181735027,0.8624440675375241,0.8303831271183807,0.7933858132510332,0.7112454284993228,0.5823572982107974,0.3162403297235519,0.0204593272525626,877,1,5297,0.1,164487.259815552,0.0
platt,147887.71105996802,0.0,0.8484047574098547,real,2971.04238144,0.0,0.9258720930232558,gate_sweep_plane,0.905874579981927,0.8950786277297363,0.6791387385182822,0.8751112048794306,0.8621344150605161,0.8300957525522873,0.7931169070936045,0.7110471908523142,0.5821969222127624,0.3162720570515996,0.020459727768644364,803,1,5297,0.15000000000000002,150858.75344140801,0.0
platt,140520.950857728,0.0,0.8559562016235605,real,2971.04238144,0.0,0.9142441860465116,gate_sweep_plane,0.9057863031134983,0.8859645146588521,0.6773458189697227,0.875094329374923,0.8533633509457383,0.8300864744011955,0.7931252107099628,0.7110856867619756,0.5822192403385474,0.3162733516238897,0.020459727768644364,763,1,5297,0.2,143491.993239168,0.0
platt,135916.725731328,0.0,0.8606758542571267,real,2971.04238144,0.0,0.9098837209302325,gate_sweep_plane,0.8966137424734782,0.8859425985702815,0.6756098362810341,0.8750835122566912,0.8533271576211352,0.830072381005665,0.7849509817519753,0.7110397561822918,0.5823053801083766,0.3163027242914401,0.020460128549005963,738,1,5297,0.25,138887.768112768,0.0
platt,129470.810554368,0.0,0.8672833679441193,real,2971.04238144,0.0,0.9011627906976745,gate_sweep_plane,0.8863968565637844,0.8757177704722522,0.6709761475573177,0.8649597514956264,0.8435632801711686,0.8205818480002744,0.7852884916391182,0.7122111334963154,0.5837520885388585,0.31681863332020727,0.02047162187557165,703,1,5297,0.30000000000000004,132441.852935808,0.0
platt,124866.585427968,0.0,0.8720030205776854,real,2971.04238144,0.0,0.8909883720930233,gate_sweep_plane,0.8863274879085353,0.8756145005501033,0.6692693187843215,0.8559912632650267,0.8434676626021039,0.8204832894660189,0.7852054572455753,0.7046154354768569,0.5836978361332154,0.31681863332020727,0.02047162187557165,678,1,5297,0.35000000000000003,127837.627809408,0.0
platt,121919.881347072,0.0,0.8750235982631678,real,2971.04238144,0.0,0.8851744186046512,gate_sweep_plane,0.8769327389527951,0.8663418126000925,0.6655472107619462,0.8557878509479506,0.8430719823378036,0.8115771940862166,0.7767171627762459,0.7043647007896303,0.5834615217034721,0.3167451140763783,0.02047202934887654,662,1,5297,0.4,124890.923728512,0.0
platt,119157.346271232,0.0,0.8778553898433076,real,2971.04238144,0.0,0.8706395348837209,gate_sweep_plane,0.8767811355212084,0.8661296974230956,0.6645451192395493,0.8555593851036059,0.834129035924447,0.8114192178524036,0.7766083300318348,0.7042468616046615,0.5833575923746275,0.3167479072107313,0.02047202934887654,647,1,5297,0.45,122128.388652672,0.0
