calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_plane,0.9257091251580082,0.9148455971396637,0.6927585181218355,0.9035987606498033,0.8815019039406058,0.8490643386756143,0.8028478910269398,0.7195499134607236,0.5891415075555783,0.32085940385339845,0.02046673975802134,5297,1,5297,0.0,978514.2621630721,0.0
temperature,196324.159389696,0.0,0.7987540117047385,real,2971.04238144,0.0,0.9607558139534884,gate_sweep_plane,0.9153197320940439,0.8954413245470204,0.6820477232867078,0.884283356689397,0.8625690453964305,0.8389390033130352,0.7934848864775339,0.7113297723181563,0.5823499063896969,0.31630167862957065,0.020458527012193625,1066,1,5297,0.05,199295.201771136,0.0
temperature,169987.991666688,0.0,0.8257504247687371,real,2971.04238144,0.0,0.9491279069767442,gate_sweep_plane,0.9060849938212401,0.8953406737108779,0.6802244177238547,0.8841568818450439,0.86245830414199,0.8303683889570159,0.7934018102564439,0.7112768575497375,0.5823882311214182,0.31630910883427993,0.020458927000499345,923,1,5297,0.1,172959.034048128,0.0
temperature,158569.513353216,0.0,0.8374551632999812,real,2971.04238144,0.0,0.9375,gate_sweep_plane,0.9060677943624352,0.8952877413266545,0.6802045364061218,0.8841547233202026,0.8624320076816788,0.8303641872324975,0.7934139170438613,0.7112594862878582,0.5823645603827367,0.31624161917073096,0.0204593272525626,861,1,5297,0.15000000000000002,161540.555734656,0.0
temperature,148440.218075136,0.0,0.8478383990938267,real,2971.04238144,0.0,0.9258720930232558,gate_sweep_plane,0.905874579981927,0.8950786277297363,0.6791387385182822,0.8751112048794306,0.8621344150605161,0.8300957525522873,0.7931169070936045,0.7110471908523142,0.5821969222127624,0.3162720570515996,0.020459727768644364,806,1,5297,0.2,151411.260456576,0.0
temperature,142362.640908288,0.0,0.854068340570134,real,2971.04238144,0.0,0.9186046511627907,gate_sweep_plane,0.9058228532092257,0.8860007871708869,0.6773501885285516,0.8751208679203664,0.8533661071730028,0.8300809700118835,0.7931126864503096,0.7110551989145301,0.5822093350427765,0.3162733516238897,0.020459727768644364,773,1,5297,0.25,145333.683289728,0.0
temperature,138310.922797056,0.0,0.8582216348876723,real,2971.04238144,0.0,0.9127906976744186,gate_sweep_plane,0.9057863031134983,0.8859645146588521,0.6773458189697227,0.875094329374923,0.8533633509457383,0.8300864744011955,0.7931252107099628,0.7110856867619756,0.5822192403385474,0.3162733516238897,0.020459727768644364,751,1,5297,0.30000000000000004,141281.965178496,0.0
temperature,134995.880706048,0.0,0.8616197847838399,real,2971.04238144,0.0,0.9098837209302325,gate_sweep_plane,0.8966137424734782,0.8859425985702815,0.6756098362810341,0.8750835122566912,0.8533271576211352,0.830072381005665,0.7849509817519753,0.7110397561822918,0.5823053801083766,0.3163027242914401,0.020460128549005963,733,1,5297,0.35000000000000003,137966.923087488,0.0
temperature,129470.810554368,0.0,0.8672833679441193,real,2971.04238144,0.0,0.9011627906976745,gate_sweep_plane,0.8863968565637844,0.8757177704722522,0.6709761475573177,0.8649597514956264,0.8435632801711686,0.8205818480002744,0.7852884916391182,0.7122111334963154,0.5837520885388585,0.31681863332020727,0.02047162187557165,703,1,5297,0.4,132441.852935808,0.0
temperature,125234.92343808,0.0,0.8716254483670002,real,2971.04238144,0.0,0.8909883720930233,gate_sweep_plane,0.8863274879085353,0.8756145005501033,0.6692693187843215,0.8559912632650267,0.8434676626021039,0.8204832894660189,0.7852054572455753,0.7046154354768569,0.5836978361332154,0.31681863332020727,0.02047162187557165,680,1,5297,0.45,128205.96581952,0.0
