calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
isotonic,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_roundabout,0.5935109799657622,0.5731546387865118,0.37452161092296443,0.5619199420162753,0.5264117065556924,0.48481270533815685,0.4116382841377926,0.3071339005463801,0.185079283189319,0.09311632485937126,0.008438343834383438,5297,1,5297,0.0,978514.2621630721,0.0
isotonic,102029.628801024,0.0,0.8954124976401737,real,2971.04238144,0.0,0.6820083682008368,gate_sweep_roundabout,0.46880345947978197,0.4683194615039483,0.3066529800144536,0.4494849688635439,0.4249794643416975,0.39339660841807095,0.3251505405032026,0.2649091621069127,0.1735884356494045,0.0901145680236713,0.007783131254301901,554,1,5297,0.05,105000.671182464,0.0
isotonic,70720.897941504,0.0,0.9275061355484236,real,2971.04238144,0.0,0.6192468619246861,gate_sweep_roundabout,0.431629578584953,0.43123924806695524,0.28321846981239307,0.42044309133254787,0.388577730687634,0.3571779487505308,0.29622882358737734,0.2457241750933366,0.1614566068462007,0.09188238833938699,0.007825106835007825,384,1,5297,0.1,73691.94032294399,0.0
isotonic,59486.588633088,0.0,0.9390220879743251,real,2971.04238144,0.0,0.5857740585774058,gate_sweep_roundabout,0.41450700206148483,0.4141579691292088,0.27393584616677646,0.404372199512192,0.3798288368901382,0.34182877096272773,0.2892500817411591,0.2392336522663384,0.15614944763446081,0.09218805055829686,0.007842450911757842,323,1,5297,0.15000000000000002,62457.631014528,0.0
isotonic,59486.588633088,0.0,0.9390220879743251,real,2971.04238144,0.0,0.5857740585774058,gate_sweep_roundabout,0.41450700206148483,0.4141579691292088,0.27393584616677646,0.404372199512192,0.3798288368901382,0.34182877096272773,0.2892500817411591,0.2392336522663384,0.15614944763446081,0.09218805055829686,0.007842450911757842,323,1,5297,0.2,62457.631014528,0.0
isotonic,59486.588633088,0.0,0.9390220879743251,real,2971.04238144,0.0,0.5857740585774058,gate_sweep_roundabout,0.41450700206148483,0.4141579691292088,0.27393584616677646,0.404372199512192,0.3798288368901382,0.34182877096272773,0.2892500817411591,0.2392336522663384,0.15614944763446081,0.09218805055829686,0.007842450911757842,323,1,5297,0.25,62457.631014528,0.0
isotonic,28177.857773568,0.0,0.971115725882575,real,2971.04238144,0.0,0.39330543933054396,gate_sweep_roundabout,0.30463405224644474,0.30463405224644474,0.20835372137518643,0.2949321131020355,0.2825539684217874,0.25690812995043577,0.2196146164704669,0.1907401701016843,0.1380897187036805,0.08264326379601317,0.008787128712871288,153,1,5297,0.30000000000000004,31148.900155008,0.0
isotonic,24310.308667392,0.0,0.9750802340947706,real,2971.04238144,0.0,0.36401673640167365,gate_sweep_roundabout,0.28578252601674486,0.28578252601674486,0.19744085758004684,0.27611014147341406,0.26391345972517083,0.23869074171982976,0.214879718859002,0.1854747334928014,0.13417833428253034,0.08076366883642959,0.008832725377800938,132,1,5297,0.35000000000000003,27281.351048832003,0.0
isotonic,19337.74553088,0.0,0.9801774589390221,real,2971.04238144,0.0,0.32217573221757323,gate_sweep_roundabout,0.2593754461219486,0.2593754461219486,0.1854797277126336,0.24960497729798417,0.2491434076254254,0.22449480819167772,0.20831531492448266,0.17972562990632643,0.13473419928127847,0.08114465931642997,0.008883388338833884,105,1,5297,0.4,22308.787912320004,0.0
isotonic,19337.74553088,0.0,0.9801774589390221,real,2971.04238144,0.0,0.32217573221757323,gate_sweep_roundabout,0.2593754461219486,0.2593754461219486,0.1854797277126336,0.24960497729798417,0.2491434076254254,0.22449480819167772,0.20831531492448266,0.17972562990632643,0.13473419928127847,0.08114465931642997,0.008883388338833884,105,1,5297,0.45,22308.787912320004,0.0
isotonic,19337.74553088,0.0,0.9801774589390221,real,2971.04238144,0.0,0.32217573221757323,gate_sweep_roundabout,0.2593754461219486,0.2593754461219486,0.1854797277126336,0.24960497729798417,0.2491434076254254,0.22449480819167772,0.20831531492448266,0.17972562990632643,0.13473419928127847,0.08114465931642997,0.008883388338833884,105,1,5297,0.5,22308.787912320004,0.0
isotonic,16759.379460096,0.0,0.9828204644138191,real,2971.04238144,0.0,0.2928870292887029,gate_sweep_roundabout,0.2351979644170188,0.2351979644170188,0.16959571100563087,0.22579071937670975,0.22505397135474933,0.2078640725419385,0.18475497805444271,0.16477004999774203,0.1263243999881688,0.08199927703723259,0.00900371287128713,91,1,5297,0.55,19730.421841536,0.0
