calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_roundabout,0.5935109799657622,0.5731546387865118,0.37452161092296443,0.5619199420162753,0.5264117065556924,0.48481270533815685,0.4116382841377926,0.3071339005463801,0.185079283189319,0.09311632485937126,0.008438343834383438,5297,1,5297,0.0,978514.2621630721,0.0
platt,147887.71105996802,0.0,0.8484047574098547,real,2971.04238144,0.0,0.7196652719665272,gate_sweep_roundabout,0.4886746261919267,0.48651285071298445,0.31599262058745503,0.4682716319595873,0.44325365919497267,0.4036782022671974,0.33438132842357354,0.26715722102391376,0.1695192912192175,0.08999321312966829,0.008484181751508484,803,1,5297,0.05,150858.75344140801,0.0
platt,92452.840538112,0.0,0.9052293751179913,real,2971.04238144,0.0,0.6569037656903766,gate_sweep_roundabout,0.45097480693870173,0.4505921846552642,0.29717096053037256,0.4396250379969736,0.414800011284282,0.3761468210143994,0.3144012125607981,0.2589273741835978,0.16766063398812178,0.09077284707718473,0.0078086756044025455,502,1,5297,0.1,95423.882919552,0.0
platt,68142.53187072,0.0,0.9301491410232207,real,2971.04238144,0.0,0.602510460251046,gate_sweep_roundabout,0.4221387832274246,0.4215105033531037,0.27865066424805995,0.4113930352539291,0.38016876020579077,0.3491239030630705,0.29572848611236197,0.24563950195419126,0.16091777771303895,0.09205510851938072,0.00783078307830783,370,1,5297,0.15000000000000002,71113.57425216,0.0
platt,52119.828430848,0.0,0.946573532188031,real,2971.04238144,0.0,0.5397489539748954,gate_sweep_roundabout,0.39444757088573984,0.38631926360253216,0.2579607535614666,0.37650959647346366,0.3543739157601296,0.3234729351258528,0.2716856360969521,0.2239017876463597,0.15125775432108593,0.0897588759178657,0.007880199784684351,283,1,5297,0.2,55090.870812288,0.0
platt,41438.0261376,0.0,0.9575231262979045,real,2971.04238144,0.0,0.4686192468619247,gate_sweep_roundabout,0.35868864539400147,0.3582025174292803,0.2379166993067039,0.3482336123250213,0.32812558870458247,0.2984116026926936,0.24746847975448724,0.20694926363069227,0.1384427193263618,0.08598646395738016,0.008658099852538447,225,1,5297,0.25,44409.068519039996,0.0
platt,34623.772950528,0.0,0.9645082121955824,real,2971.04238144,0.0,0.42677824267782427,gate_sweep_roundabout,0.33083662939941016,0.33083662939941016,0.22230997340954137,0.3206970672989723,0.3007031939871646,0.2749230164611141,0.23481091123350684,0.19682733599124042,0.14124937535888202,0.08346970037825438,0.008745874587458747,188,1,5297,0.30000000000000004,37594.815331968,0.0
platt,27625.3507584,0.0,0.971682084198603,real,2971.04238144,0.0,0.38493723849372385,gate_sweep_roundabout,0.29467143665443934,0.29467143665443934,0.2034355218602398,0.285107491988304,0.27246272815592204,0.24728238337528757,0.22006233137496337,0.19034440803681119,0.13775457540518626,0.08317754486883595,0.00882088208820882,150,1,5297,0.35000000000000003,30596.393139840002,0.0
platt,22100.28060672,0.0,0.9773456673588824,real,2971.04238144,0.0,0.3389121338912134,gate_sweep_roundabout,0.26751207859387416,0.26751207859387416,0.18933080767965157,0.25804416907155503,0.25563085949304903,0.23159196115670191,0.20846646397209045,0.17960058007028593,0.13514317220925023,0.080949341412126,0.008857372223708858,120,1,5297,0.4,25071.32298816,0.0
platt,18601.069510656,0.0,0.9809326033603927,real,2971.04238144,0.0,0.3138075313807531,gate_sweep_roundabout,0.2501752308285706,0.2501752308285706,0.18037110861624395,0.2406910309294694,0.24010901284331768,0.22285486314528594,0.199453342412378,0.1802773746905353,0.12997774162221318,0.08108636777298991,0.008910891089108912,101,1,5297,0.45,21572.111892096,0.0
platt,14733.520404480001,0.0,0.9848971115725883,real,2971.04238144,0.0,0.2594142259414226,gate_sweep_roundabout,0.2179107912015012,0.2179107912015012,0.15493068259924261,0.20795700535675246,0.20727184802465914,0.18275827048189866,0.15995968314322387,0.1539497847266377,0.1190517260325221,0.07659633176432398,0.005940594059405941,80,1,5297,0.5,17704.562785920003,0.0
