calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_small_vehicle,0.587340690602721,0.5647479394106639,0.28452712563800603,0.5228784699993242,0.45634754882572837,0.3596444154422758,0.22781278126308385,0.10091519771991354,0.022920937383518976,0.002583653777872157,7.962195495786008e-05,5297,1,5297,0.0,978514.2621630721,0.0
temperature,474419.357024256,0.0,0.513686992637342,real,2971.04238144,0.0,0.9851228978007762,gate_sweep_small_vehicle,0.5872063242263151,0.5646154647491264,0.2844807563898672,0.5227733538015465,0.45627911743305216,0.35962260169474697,0.22780494896227954,0.10091928022817284,0.02292310530447074,0.0025837135158645963,7.965398309742479e-05,2576,1,5297,0.05,477390.399405696,0.0
temperature,430034.62680576,0.0,0.5591844440249198,real,2971.04238144,0.0,0.9741267787839586,gate_sweep_small_vehicle,0.5870298364324388,0.5644155562627874,0.28437313029641675,0.5225534371941117,0.45609574168468703,0.3594441578273057,0.22769972464807542,0.10090692637452828,0.02292350956756254,0.0025827589895729506,7.965398309742479e-05,2335,1,5297,0.1,433005.6691872,0.0
temperature,403882.628087808,0.0,0.5859920709835755,real,2971.04238144,0.0,0.964424320827943,gate_sweep_small_vehicle,0.5871868847335306,0.5645494684869633,0.28443134360944156,0.5226732290277921,0.4561725863925725,0.3594945193025728,0.22773097155306327,0.10091771655117271,0.02292558749618416,0.002582818567467216,7.965398309742479e-05,2193,1,5297,0.15000000000000002,406853.670469248,0.0
temperature,381598.178476032,0.0,0.6088351897300359,real,2971.04238144,0.0,0.9476067270375161,gate_sweep_small_vehicle,0.5861398663296986,0.557134936615344,0.28224659143391184,0.5156426902658163,0.4552720544467862,0.35431672579466045,0.2274870994253751,0.1008737066966478,0.022935435211911347,0.0025837135158645963,7.96860370141642e-05,2072,1,5297,0.2,384569.220857472,0.0
temperature,362444.601950208,0.0,0.6284689446856712,real,2971.04238144,0.0,0.9340232858990944,gate_sweep_small_vehicle,0.5791999284424777,0.5568093775414272,0.2808843796081271,0.5153454765332851,0.44953789921461695,0.3541524397736843,0.22735869107701795,0.1008470690192464,0.022929156273962154,0.0025840721685389577,7.96860370141642e-05,1968,1,5297,0.25,365415.644331648,0.0
temperature,345869.39149516803,0.0,0.6454596941665094,real,2971.04238144,0.0,0.9178525226390686,gate_sweep_small_vehicle,0.578727103285775,0.5499142064504146,0.2799656966069265,0.5148022716082068,0.44908874569059043,0.3537095116094189,0.22701717236285504,0.10080821923528616,0.022924590821403846,0.0025853304942378545,7.981451107625878e-05,1878,1,5297,0.30000000000000004,348840.43387660803,0.0
temperature,328741.67402496,0.0,0.6630168019633755,real,2971.04238144,0.0,0.8984476067270375,gate_sweep_small_vehicle,0.571841193638014,0.5496896469188688,0.27816843545667425,0.5084957341995651,0.4487274338579495,0.3533355550658706,0.2232762053581714,0.10066326735714015,0.0229278710777222,0.0026474714060504773,7.997568739103312e-05,1785,1,5297,0.35000000000000003,331712.7164064,0.0
temperature,314560.660635648,0.0,0.6775533320747593,real,2971.04238144,0.0,0.8745148771021992,gate_sweep_small_vehicle,0.5700216751855209,0.5413436397206441,0.275461682526001,0.5065161495915188,0.4413361204525907,0.3470877135660644,0.22241510694963312,0.10032243454033217,0.022853589101509673,0.0026400309728209998,8.036517937508036e-05,1708,1,5297,0.4,317531.703017088,0.0
temperature,301668.830281728,0.0,0.6907683594487446,real,2971.04238144,0.0,0.8564036222509702,gate_sweep_small_vehicle,0.5621080874617963,0.5399948132238164,0.27353328732640936,0.4992225543684725,0.440137182517198,0.3462435101098554,0.22188675403228944,0.10010828157427479,0.022842245575134246,0.0027090139374142197,8.043046384248497e-05,1638,1,5297,0.45,304639.872663168,0.0
temperature,287303.64788736,0.0,0.705493675665471,real,2971.04238144,0.0,0.8311772315653299,gate_sweep_small_vehicle,0.553609555012687,0.5252909174545413,0.2684672031145846,0.4913375780249101,0.43314920490196657,0.34040792412360965,0.21763288172479583,0.09769218054611292,0.022767387198831562,0.0027038080183917294,8.059414000008059e-05,1560,1,5297,0.5,290274.6902688,0.0
temperature,272385.958477824,0.0,0.7207853501982254,real,2971.04238144,0.0,0.8014230271668823,gate_sweep_small_vehicle,0.5382785114250733,0.517011892695306,0.2640253888899429,0.48357799080666286,0.4263208879401935,0.33477388060802604,0.21726699062628393,0.09754812992231247,0.022706050566240935,0.002688762876453485,8.079143287645779e-05,1479,1,5297,0.55,275357.000859264,0.0
temperature,258020.776083456,0.0,0.7355106664149519,real,2971.04238144,0.0,0.7703751617076326,gate_sweep_small_vehicle,0.5325154416596685,0.5113794230578186,0.26191174112511106,0.4781776277699818,0.42128409466788613,0.3351235998017999,0.21754379160377643,0.09762560868636515,0.022695066506464488,0.0026916350876895357,8.112240966005654e-05,1401,1,5297,0.6000000000000001,260991.818464896,0.0
temperature,243655.593689088,0.0,0.7502359826316783,real,2971.04238144,0.0,0.7360931435963778,gate_sweep_small_vehicle,0.5251173046764493,0.5041939923773004,0.25830739314614165,0.4715213620583781,0.4153538380590613,0.330168112714042,0.21377373187083476,0.09750346528355162,0.02267047254418609,0.0026901957682011306,8.145610941184616e-05,1323,1,5297,0.65,246626.636070528,0.0
temperature,229842.91830988802,0.0,0.7643949405323768,real,2971.04238144,0.0,0.703751617076326,gate_sweep_small_vehicle,0.5087767570909425,0.4883423010804061,0.2513103078866931,0.4564316594528991,0.40737909311281695,0.3236446776145288,0.20912982821975393,0.09496939260115238,0.021666528495071877,0.0026810486334858524,8.179256587368774e-05,1248,1,5297,0.7000000000000001,232813.96069132801,0.0
temperature,212899.369844736,0.0,0.7817632622239004,real,2971.04238144,0.0,0.6591203104786546,gate_sweep_small_vehicle,0.49376024506143973,0.47380564385168467,0.24514022627948379,0.4425858422502937,0.39495448361979574,0.31828383008590055,0.2087400357060903,0.09487746599951138,0.021638885860747407,0.0026735620577623075,8.226830161204737e-05,1156,1,5297,0.75,215870.412226176,0.0
temperature,193377.4553088,0.0,0.8017745893902208,real,2971.04238144,0.0,0.6073738680465718,gate_sweep_small_vehicle,0.4792305391179363,0.45975290777134237,0.2399345149133655,0.43575528400990005,0.38857582922420636,0.31258993632037957,0.2043780812105134,0.09469110578019184,0.02162060068266232,0.0026680115428913045,8.2853473631882e-05,1050,1,5297,0.8,196348.49769024,0.0
temperature,169987.991666688,0.0,0.8257504247687371,real,2971.04238144,0.0,0.5472186287192755,gate_sweep_small_vehicle,0.4571585444944551,0.4379137112781393,0.2301670581973596,0.41481545366729033,0.3752409287500372,0.30089963473848325,0.19948792339213867,0.09180375718118558,0.021597740629277783,0.0026694056326480543,8.348220994106155e-05,923,1,5297,0.8500000000000001,172959.034048128,0.0
temperature,143835.992948736,0.0,0.8525580517273929,real,2971.04238144,0.0,0.47736093143596375,gate_sweep_small_vehicle,0.4293024222046063,0.41745084949155203,0.21881605830091816,0.39431805809452913,0.3553496673141322,0.28813854406065187,0.1893256278624173,0.0883767407375618,0.022998210084321877,0.002819237420254812,8.12257391542263e-05,781,1,5297,0.9,146807.035330176,0.0
temperature,109028.050993152,0.0,0.8882386256371531,real,2971.04238144,0.0,0.37322121604139713,gate_sweep_small_vehicle,0.38939920010619294,0.37811669533168735,0.20009890089277982,0.35561999855758686,0.32569212203922915,0.2677274909479186,0.17741341214824838,0.0835857285224081,0.021155445197239824,0.002208894930901267,7.002114638620863e-05,592,1,5297,0.9500000000000001,111999.093374592,0.0
temperature,0.0,0.0,1.0,real,2971.04238144,0.0,0.0,gate_sweep_small_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,2971.04238144,0.0
