calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_soccer_ball_field,0.6074802467734718,0.5913050915687164,0.39569237572661303,0.5500348236499274,0.5220314864618675,0.45839802157254605,0.4126830486833802,0.367181997218486,0.29936820841228984,0.14343645671019972,0.005004376215245698,5297,1,5297,0.0,978514.2621630721,0.0
identity,41622.195142656,0.0,0.9573343401925618,real,2971.04238144,0.0,0.6322869955156951,gate_sweep_soccer_ball_field,0.4570334017370509,0.44692031571930746,0.3000313803327144,0.4231717441507254,0.39605447103004765,0.3471184106019867,0.3075137700403899,0.2709138334070928,0.2262526119279376,0.12133484467260193,0.004000400040004,226,1,5297,0.05,44593.237524095995,0.0
identity,38675.49106176,0.0,0.9603549178780442,real,2971.04238144,0.0,0.6233183856502242,gate_sweep_soccer_ball_field,0.4582294405840884,0.447665642366317,0.3009526900000882,0.42358233305877485,0.4010707823625191,0.34591036547359144,0.30651198100533017,0.2740655979904223,0.22819125991249434,0.12026360978763048,0.004035887459713713,210,1,5297,0.1,41646.5334432,0.0
identity,37754.64603648,0.0,0.9612988484047574,real,2971.04238144,0.0,0.6143497757847534,gate_sweep_soccer_ball_field,0.4570808477546682,0.4406992822673569,0.29934272208381973,0.4221369095130873,0.39445819777698954,0.346019117665329,0.3060468788653182,0.27416037250030045,0.22844295473998794,0.12034677229544632,0.004035887459713713,205,1,5297,0.15000000000000002,40725.68841792,0.0
identity,37017.970016256004,0.0,0.962053992826128,real,2971.04238144,0.0,0.6143497757847534,gate_sweep_soccer_ball_field,0.45740007163234225,0.4409279907104546,0.2994634163662409,0.42234195403171737,0.3946109727342505,0.3461479619267445,0.30613820894959176,0.27420921401894244,0.22846250420624675,0.12035939799240516,0.004035887459713713,201,1,5297,0.2,39989.012397696,0.0
identity,36281.293996032,0.0,0.9628091372474986,real,2971.04238144,0.0,0.6053811659192825,gate_sweep_soccer_ball_field,0.45707722235489995,0.44025781396530855,0.2970017028712947,0.41585932788102004,0.3936319769704079,0.3404346118469768,0.30114715320468466,0.26869071191306615,0.22851018412433635,0.12037213899253259,0.004035887459713713,197,1,5297,0.25,39252.336377472,0.0
identity,34439.603945472,0.0,0.964696998300925,real,2971.04238144,0.0,0.5919282511210763,gate_sweep_soccer_ball_field,0.44980296462146374,0.4392416922086271,0.29555858241724076,0.41477654732732633,0.39280743853252065,0.3391496056215125,0.29964239574606716,0.26789079456349,0.22765704892396138,0.12058144916772509,0.004035887459713713,187,1,5297,0.30000000000000004,37410.646326912,0.0
identity,33887.096930304004,0.0,0.965263356616953,real,2971.04238144,0.0,0.5829596412556054,gate_sweep_soccer_ball_field,0.44177253908170055,0.4318377139528441,0.2908859716437324,0.4135396178107744,0.3851480590054011,0.33796209620158935,0.2933822560151433,0.2619178737678203,0.22222736927080272,0.11703630387153456,0.004035887459713713,184,1,5297,0.35000000000000003,36858.139311744,0.0
identity,33334.589915136,0.0,0.965829714932981,real,2971.04238144,0.0,0.57847533632287,gate_sweep_soccer_ball_field,0.4402685978634414,0.42961141542420167,0.28955591020100363,0.40527672122192104,0.3771332712366315,0.3346377004836167,0.2977673230407857,0.26486875616894134,0.2244120034016901,0.11754742570909288,0.004035887459713713,181,1,5297,0.4,36305.632296576,0.0
identity,32229.5758848,0.0,0.9669624315650368,real,2971.04238144,0.0,0.5695067264573991,gate_sweep_soccer_ball_field,0.43233214614978444,0.42201613704356356,0.28692047335225845,0.3975692335033719,0.3755843481100395,0.3347795786633986,0.29747671800232023,0.26391453002798904,0.22397832147822636,0.11751783308417689,0.004035887459713713,175,1,5297,0.45,35200.61826624,0.0
identity,31861.237874688002,0.0,0.9673400037757222,real,2971.04238144,0.0,0.5695067264573991,gate_sweep_soccer_ball_field,0.43233214614978444,0.42201613704356356,0.28692047335225845,0.3975692335033719,0.3755843481100395,0.3347795786633986,0.29747671800232023,0.26391453002798904,0.22397832147822636,0.11751783308417689,0.004035887459713713,173,1,5297,0.5,34832.280256128004,0.0
identity,31677.068869632,0.0,0.9675287898810647,real,2971.04238144,0.0,0.5650224215246636,gate_sweep_soccer_ball_field,0.4320916744407531,0.4218102494926642,0.2868681564444994,0.39739220620054383,0.3756349575759218,0.33480476819583194,0.2975011364891732,0.26391453002798904,0.22397832147822636,0.11751783308417689,0.004035887459713713,172,1,5297,0.55,34648.111251072,0.0
identity,31308.73085952,0.0,0.9679063620917501,real,2971.04238144,0.0,0.5560538116591929,gate_sweep_soccer_ball_field,0.42391975796977566,0.4139284014737251,0.28274507632761336,0.39557279925813543,0.3684300408320093,0.3275077939564565,0.29664086020781527,0.26319245700589017,0.2184607009333773,0.1157620641792353,0.004035887459713713,170,1,5297,0.6000000000000001,34279.77324096,0.0
identity,30756.223844352,0.0,0.968472720407778,real,2971.04238144,0.0,0.5515695067264574,gate_sweep_soccer_ball_field,0.42391975796977566,0.4139284014737251,0.2827500748605115,0.39562278458711675,0.3684300408320093,0.3275077939564565,0.29664086020781527,0.26319245700589017,0.2184607009333773,0.1157620641792353,0.004035887459713713,167,1,5297,0.65,33727.266225792,0.0
