calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_tennis_court,0.9355160803286523,0.9257185024262231,0.8370176396433257,0.9252466926547275,0.9147209815543923,0.9036324651505856,0.8919980684977753,0.869552753653578,0.8382719910891144,0.7519939109539896,0.41352495012421847,5297,1,5297,0.0,978514.2621630721,0.0
platt,61512.447688704,0.0,0.936945440815556,real,2971.04238144,0.0,0.889795918367347,gate_sweep_tennis_court,0.9163396765553572,0.9159818887587888,0.8266114503537937,0.9061915231023621,0.9048972211856079,0.8938990344144013,0.8735025045137991,0.8602641388241214,0.8377768735171087,0.7437361727443131,0.41352546992207645,334,1,5297,0.05,64483.490070144,0.0
platt,53593.180471296,0.0,0.9450632433452898,real,2971.04238144,0.0,0.8775510204081632,gate_sweep_tennis_court,0.9162632841016273,0.9063441864388346,0.822831253529484,0.9060327907181138,0.8955398881564371,0.8845701348650228,0.8734340791952971,0.860117822865944,0.8291279433408093,0.7434738004098432,0.4134086052029118,291,1,5297,0.1,56564.222852736,0.0
platt,48988.955344896,0.0,0.9497828959788559,real,2971.04238144,0.0,0.8612244897959184,gate_sweep_tennis_court,0.9065525393258834,0.9060830064457405,0.8198922072170018,0.8964641285162449,0.8952151160196362,0.8844351903434793,0.8731791780081263,0.8511238310787426,0.8290364534831713,0.7432754533202339,0.41355717562876065,266,1,5297,0.15000000000000002,51959.997726336,0.0
platt,46594.758279168,0.0,0.9522371153483103,real,2971.04238144,0.0,0.8571428571428571,gate_sweep_tennis_court,0.9065114916663903,0.90606837262094,0.8199630399224516,0.8964042810116094,0.8951907397143243,0.8843186904310768,0.8734441038416769,0.8513661558877683,0.8292612025759644,0.7434507649875065,0.4136145964872589,253,1,5297,0.2,49565.800660608,0.0
platt,44384.730218496,0.0,0.9545025486124221,real,2971.04238144,0.0,0.8448979591836735,gate_sweep_tennis_court,0.8968459723073036,0.8965358338961706,0.8143060228692613,0.8961626771866239,0.8857126943440699,0.8748829002492583,0.864134336568626,0.850975689616527,0.828766744455126,0.7354008540197389,0.413642526049169,241,1,5297,0.25,47355.772599936,0.0
platt,43279.716188160004,0.0,0.955635265244478,real,2971.04238144,0.0,0.8326530612244898,gate_sweep_tennis_court,0.8967676194558155,0.8965031519544381,0.8115503152937686,0.8867678789208313,0.8855696045963848,0.8748066862173656,0.8639520767886523,0.8420209574879506,0.820042781630728,0.7354184768280494,0.4136539190574704,235,1,5297,0.30000000000000004,46250.7585696,0.0
platt,42358.87116288,0.0,0.9565791957711912,real,2971.04238144,0.0,0.8244897959183674,gate_sweep_tennis_court,0.8967676194558155,0.896366969669863,0.8106158792134293,0.8867678789208313,0.8855214565955324,0.8746908912875662,0.8549078412004871,0.8420209574879506,0.820042781630728,0.7354184768280494,0.4136539190574704,230,1,5297,0.35000000000000003,45329.91354432,0.0
platt,41069.688127488,0.0,0.9579006985085897,real,2971.04238144,0.0,0.8204081632653061,gate_sweep_tennis_court,0.8967504492718321,0.8869379104410501,0.8087098919097621,0.886642966964531,0.8762334373186074,0.8746787250411152,0.8549186240626682,0.8421152125783056,0.8200859554490838,0.7353670322654947,0.41336860570493217,223,1,5297,0.4,44040.730508928,0.0
platt,39227.998076928,0.0,0.9597885595620163,real,2971.04238144,0.0,0.8040816326530612,gate_sweep_tennis_court,0.8870038147140753,0.8867042746250199,0.805335439424461,0.8769699901746297,0.8759211456738848,0.8651768555403441,0.8545684866035675,0.8417536641880871,0.819888291695121,0.7362040699941571,0.40916380103572286,213,1,5297,0.45,42199.040458368,0.0
platt,38859.660066816,0.0,0.9601661317727015,real,2971.04238144,0.0,0.8040816326530612,gate_sweep_tennis_court,0.8870038147140753,0.8867042746250199,0.805335439424461,0.8769699901746297,0.8759211456738848,0.8651768555403441,0.8545684866035675,0.8417536641880871,0.819888291695121,0.7362040699941571,0.40916380103572286,211,1,5297,0.5,41830.702448256,0.0
platt,37570.477031424,0.0,0.9614876345101,real,2971.04238144,0.0,0.7918367346938775,gate_sweep_tennis_court,0.8867997974783884,0.877112144620341,0.8005596108990225,0.8768486201390036,0.8664562959607462,0.8557592556916281,0.8453084925926004,0.8327518639671426,0.819616024985291,0.7358170806260489,0.40912653292903656,204,1,5297,0.55,40541.519412864,0.0
platt,36465.463001088,0.0,0.9626203511421559,real,2971.04238144,0.0,0.7795918367346939,gate_sweep_tennis_court,0.8771311512356859,0.8767682325248665,0.7965856903126702,0.8671782549060232,0.8660347175320242,0.8554311024854261,0.8447714538588493,0.8321143536799862,0.8105209392605426,0.7273599624802438,0.408546735163053,198,1,5297,0.6000000000000001,39436.505382528,0.0
platt,35728.786980864,0.0,0.9633754955635265,real,2971.04238144,0.0,0.7714285714285715,gate_sweep_tennis_court,0.8573852076961742,0.8476132956308943,0.7771389023670104,0.8473423053313213,0.8371008554970685,0.8356554661523437,0.8251799665484897,0.8037033408715621,0.7911749980710104,0.7180174081285425,0.40821617974269747,194,1,5297,0.65,38699.829362304,0.0
platt,34807.941955584,0.0,0.9643194260902398,real,2971.04238144,0.0,0.7551020408163265,gate_sweep_tennis_court,0.8474095132075388,0.8377871136304775,0.7666976111226014,0.8375849386418983,0.8273041669870626,0.8166869032879464,0.8155292383625757,0.7940933828949642,0.7816329845200068,0.7090580637878723,0.39988980590567097,189,1,5297,0.7000000000000001,37778.984337024,0.0
platt,34255.434940416,0.0,0.9648857844062677,real,2971.04238144,0.0,0.7428571428571429,gate_sweep_tennis_court,0.8378079169550507,0.8375160053489625,0.7633541572587113,0.8278746671336973,0.8269254298565943,0.8164576024133363,0.8061975566330037,0.7937716651068524,0.7811976878656046,0.7081068417851348,0.3976861994888753,186,1,5297,0.75,37226.477321856,0.0
platt,32966.251905024,0.0,0.9662072871436662,real,2971.04238144,0.0,0.726530612244898,gate_sweep_tennis_court,0.8280170399368167,0.8277434267609698,0.7558692049954652,0.827440640424305,0.8172574790227446,0.8068123499297247,0.7964900658760259,0.7841780879079251,0.7717135788944752,0.700926253206758,0.3981131279949065,179,1,5297,0.8,35937.294286464,0.0
platt,31677.068869632,0.0,0.9675287898810647,real,2971.04238144,0.0,0.6979591836734694,gate_sweep_tennis_court,0.7887166362518162,0.7885274121424087,0.7250131096888321,0.7883120427862669,0.778195568074485,0.7677881732482831,0.7669739462009116,0.7548462149920468,0.7428577625118091,0.6834573771420955,0.3904559635381985,172,1,5297,0.8500000000000001,34648.111251072,0.0
platt,30940.392849408,0.0,0.9682839343024353,real,2971.04238144,0.0,0.6816326530612244,gate_sweep_tennis_court,0.7788939619405281,0.7786717836584462,0.7158634470262533,0.7784995693373472,0.7684159483254508,0.7580812965631442,0.7573609777142745,0.7451814990286976,0.7333023462395608,0.6752237347850457,0.38500335267003694,168,1,5297,0.9,33911.435230848,0.0
platt,29098.702798848,0.0,0.9701717953558618,real,2971.04238144,0.0,0.6408163265306123,gate_sweep_tennis_court,0.749293715754347,0.7395883239706217,0.6854880534533664,0.7394654363831379,0.7386530433849939,0.7284683271492789,0.7183757497049035,0.7067014871742249,0.7047870534736506,0.6496741177162333,0.37987327982227204,158,1,5297,0.9500000000000001,32069.745180288002,0.0
