calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_tennis_court,0.9355160803286523,0.9257185024262231,0.8370176396433257,0.9252466926547275,0.9147209815543923,0.9036324651505856,0.8919980684977753,0.869552753653578,0.8382719910891144,0.7519939109539896,0.41352495012421847,5297,1,5297,0.0,978514.2621630721,0.0
temperature,59670.757638144,0.0,0.9388333018689824,real,2971.04238144,0.0,0.889795918367347,gate_sweep_tennis_court,0.9163396765553572,0.9159818887587888,0.8266114503537937,0.9061915231023621,0.9048972211856079,0.8938990344144013,0.8735025045137991,0.8602641388241214,0.8377768735171087,0.7437361727443131,0.41352546992207645,324,1,5297,0.05,62641.800019584,0.0
temperature,50646.4763904,0.0,0.9480838210307722,real,2971.04238144,0.0,0.8693877551020408,gate_sweep_tennis_court,0.9065936928096815,0.9062403562392064,0.8208899454088241,0.9058296683662097,0.8954054176308207,0.8844514067842101,0.8732844883175368,0.8511851069834697,0.8291331550033927,0.7433525836229058,0.41342357833080895,275,1,5297,0.1,53617.51877184,0.0
temperature,46226.420269056,0.0,0.9526146875589957,real,2971.04238144,0.0,0.8530612244897959,gate_sweep_tennis_court,0.9064697711580059,0.8966734568919372,0.8163200305585742,0.8963620627057691,0.8858761447055316,0.8841826613581301,0.8643141212823083,0.8511824710994182,0.8290285801425511,0.7354480440498739,0.4136629921922156,251,1,5297,0.15000000000000002,49197.462650495996,0.0
temperature,44016.392208384,0.0,0.9548801208231075,real,2971.04238144,0.0,0.8408163265306122,gate_sweep_tennis_court,0.8967738959139203,0.8965095565738446,0.8133820011955928,0.8960739097511737,0.885686526503416,0.8748186039995764,0.8640894727057776,0.8420525826209213,0.8287430680017775,0.7354184768280494,0.4136539190574704,239,1,5297,0.2,46987.434589824,0.0
temperature,42543.040167936,0.0,0.9563904096658487,real,2971.04238144,0.0,0.8244897959183674,gate_sweep_tennis_court,0.8967676194558155,0.896366969669863,0.8106158792134293,0.8867678789208313,0.8855214565955324,0.8746908912875662,0.8549078412004871,0.8420209574879506,0.820042781630728,0.7354184768280494,0.4136539190574704,231,1,5297,0.25,45514.082549376,0.0
temperature,40885.519122432,0.0,0.9580894846139324,real,2971.04238144,0.0,0.8204081632653061,gate_sweep_tennis_court,0.8967504492718321,0.8869379104410501,0.8087098919097621,0.886642966964531,0.8762334373186074,0.8746787250411152,0.8549186240626682,0.8421152125783056,0.8200859554490838,0.7353670322654947,0.41336860570493217,222,1,5297,0.30000000000000004,43856.561503872,0.0
temperature,39043.829071872,0.0,0.9599773456673589,real,2971.04238144,0.0,0.8040816326530612,gate_sweep_tennis_court,0.8870038147140753,0.8867042746250199,0.805335439424461,0.8769699901746297,0.8759211456738848,0.8651768555403441,0.8545684866035675,0.8417536641880871,0.819888291695121,0.7362040699941571,0.40916380103572286,212,1,5297,0.35000000000000003,42014.871453312,0.0
temperature,38307.153051648,0.0,0.9607324900887295,real,2971.04238144,0.0,0.8,gate_sweep_tennis_court,0.8869708960496866,0.8865901753989603,0.8043812332611487,0.8769630861291458,0.8758087144477645,0.865151671686051,0.8544392670661609,0.8327984598973361,0.8198457803642617,0.7360804805363965,0.40916380103572286,208,1,5297,0.4,41278.195433087996,0.0
temperature,37017.970016256004,0.0,0.962053992826128,real,2971.04238144,0.0,0.7877551020408163,gate_sweep_tennis_court,0.8772408705694464,0.87694372097781,0.7976633526333121,0.8766198865001023,0.8662225324540321,0.8556229462330144,0.8451036619467622,0.8323904345002613,0.8105637427325196,0.7273832702810218,0.4085424601381517,201,1,5297,0.45,39989.012397696,0.0
temperature,35728.786980864,0.0,0.9633754955635265,real,2971.04238144,0.0,0.7714285714285715,gate_sweep_tennis_court,0.8573852076961742,0.8476132956308943,0.7771389023670104,0.8473423053313213,0.8371008554970685,0.8356554661523437,0.8251799665484897,0.8037033408715621,0.7911749980710104,0.7180174081285425,0.40821617974269747,194,1,5297,0.5,38699.829362304,0.0
temperature,35176.279965696,0.0,0.9639418538795544,real,2971.04238144,0.0,0.7591836734693878,gate_sweep_tennis_court,0.8475567111175065,0.8378301042309739,0.7685554939644729,0.8376533483999323,0.8273121833914078,0.8259004971327483,0.8156720748609627,0.803063504847271,0.7816189403435947,0.7090577694146601,0.39988980590567097,191,1,5297,0.55,38147.322347135996,0.0
temperature,34439.603945472,0.0,0.964696998300925,real,2971.04238144,0.0,0.746938775510204,gate_sweep_tennis_court,0.8379450919215344,0.8377572915345455,0.7648031232436013,0.8375137472875752,0.8272157262736578,0.8166987631627135,0.8064081458427871,0.7940801977315366,0.7815982921722949,0.7090124680128429,0.3998015084965253,187,1,5297,0.6000000000000001,37410.646326912,0.0
temperature,33702.927925248,0.0,0.9654521427222956,real,2971.04238144,0.0,0.7387755102040816,gate_sweep_tennis_court,0.8376547525273242,0.8279240449833086,0.7605875409282844,0.8277458297412488,0.8173990378915492,0.8162295611185845,0.8058549602056416,0.7934211145221323,0.7718923084361144,0.7093751154793377,0.3983786843776031,183,1,5297,0.65,36673.970306687996,0.0
temperature,32966.251905024,0.0,0.9662072871436662,real,2971.04238144,0.0,0.726530612244898,gate_sweep_tennis_court,0.8280170399368167,0.8277434267609698,0.7558692049954652,0.827440640424305,0.8172574790227446,0.8068123499297247,0.7964900658760259,0.7841780879079251,0.7717135788944752,0.700926253206758,0.3981131279949065,179,1,5297,0.7000000000000001,35937.294286464,0.0
temperature,31677.068869632,0.0,0.9675287898810647,real,2971.04238144,0.0,0.6979591836734694,gate_sweep_tennis_court,0.7887166362518162,0.7885274121424087,0.7250131096888321,0.7883120427862669,0.778195568074485,0.7677881732482831,0.7669739462009116,0.7548462149920468,0.7428577625118091,0.6834573771420955,0.3904559635381985,172,1,5297,0.75,34648.111251072,0.0
