epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,811.747,0.87531,0.68344,1.75108,0.03148,0.77015,0.7085,0.7476,0.56946,1.02213,1.049,1.51434,0.05718,0.00998985,0.00332995,0.00998985,0.00332995,0.00998985,0.00332995,0.00998985,0.00332995
2,1542.91,0.85492,0.62861,1.13808,0.03142,0.8181,0.68995,0.72027,0.54311,1.02585,1.09173,1.41414,0.04932,0.0197919,0.00659732,0.0197919,0.00659732,0.0197919,0.00659732,0.0197919,0.00659732
3,2259.13,0.87249,0.65149,1.08484,0.03212,0.78786,0.6612,0.69973,0.51741,1.05579,1.25233,1.41232,0.05575,0.029396,0.00979868,0.029396,0.00979868,0.029396,0.00979868,0.029396,0.00979868
4,2974.67,0.90467,0.69731,1.09849,0.03281,0.77346,0.65074,0.66994,0.50427,1.04742,1.25156,1.3936,0.05091,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3688.23,0.89612,0.67531,1.08717,0.03064,0.77312,0.64152,0.66421,0.50035,1.03511,1.27062,1.38674,0.04385,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4401.97,0.87455,0.66559,1.08032,0.02953,0.81301,0.65717,0.70096,0.53077,1.01431,1.15464,1.37854,0.03858,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5116.51,0.86573,0.65004,1.06846,0.02808,0.75446,0.69921,0.72327,0.54158,1.02397,1.11726,1.37852,0.0412,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5828.86,0.85238,0.63522,1.06629,0.02709,0.74039,0.66423,0.70132,0.53593,0.99844,1.1355,1.36546,0.0353,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6555.76,0.84622,0.62767,1.05859,0.02674,0.79397,0.66434,0.70258,0.54143,0.98991,1.16779,1.36337,0.03676,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7272.95,0.83907,0.61959,1.04925,0.02628,0.73307,0.6842,0.71364,0.53856,1.0049,1.12634,1.36516,0.03965,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,7994.06,0.83959,0.61675,1.04975,0.02617,0.73375,0.68451,0.71523,0.54783,1.00178,1.11767,1.37182,0.03875,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,8717.94,0.8293,0.61107,1.04587,0.02486,0.75731,0.69276,0.72003,0.54875,0.99176,1.08233,1.35656,0.03672,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,9440.31,0.82155,0.60208,1.04154,0.02501,0.74038,0.68677,0.71012,0.54501,0.98232,1.09102,1.35816,0.03821,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,10157.9,0.81073,0.59183,1.04068,0.02442,0.73134,0.70663,0.71642,0.55436,0.96125,1.08374,1.32455,0.03317,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,10872.2,0.81251,0.59336,1.04066,0.02423,0.75085,0.6992,0.72614,0.55811,0.97198,1.04356,1.3426,0.03461,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,11586.7,0.80324,0.57755,1.03113,0.02333,0.74342,0.70128,0.73274,0.57001,0.96671,1.02698,1.33225,0.03318,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,12299.1,0.80628,0.57771,1.02985,0.02368,0.73788,0.69888,0.72941,0.56648,0.95564,1.07202,1.32021,0.03241,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,13010.4,0.79649,0.57479,1.03183,0.02338,0.75068,0.71567,0.73745,0.5713,0.9617,1.01979,1.32298,0.03204,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,13730.7,0.79334,0.56785,1.02194,0.02287,0.81291,0.69502,0.72327,0.56435,0.95597,1.02043,1.31899,0.03126,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,14447.7,0.78853,0.56717,1.01864,0.0224,0.81128,0.70687,0.73515,0.57307,0.95347,0.97543,1.31776,0.03187,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,15158.4,0.78284,0.56108,1.02274,0.02263,0.75658,0.70188,0.73368,0.57137,0.9474,1.00633,1.31667,0.03151,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,15881.2,0.7786,0.55312,1.01608,0.02168,0.75415,0.70776,0.73834,0.57508,0.94565,0.9977,1.31388,0.02927,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,16601.3,0.77691,0.55239,1.01691,0.02171,0.75855,0.70309,0.73447,0.57602,0.9397,0.99975,1.31436,0.03166,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,17315,0.77795,0.54951,1.01212,0.02162,0.81361,0.70631,0.73842,0.57854,0.94983,1.00792,1.32539,0.02861,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,18036.7,0.77352,0.54785,1.01261,0.02149,0.82728,0.69861,0.73402,0.57479,0.93789,0.98278,1.31085,0.02748,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,18758,0.76262,0.53763,1.01213,0.02088,0.81952,0.69984,0.7351,0.57644,0.93581,1.00458,1.31462,0.02909,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,19470.1,0.76146,0.53652,1.00836,0.02099,0.76133,0.70802,0.74149,0.5795,0.94393,0.98069,1.32247,0.02743,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,20183.8,0.75589,0.52894,1.00475,0.02028,0.76565,0.70196,0.73736,0.57968,0.94242,1.0005,1.31775,0.02969,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,20903.7,0.74832,0.52528,1.00245,0.01983,0.72902,0.72155,0.73045,0.57247,0.93985,0.98357,1.31663,0.02705,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,21620.1,0.75123,0.52873,1.00135,0.01982,0.8396,0.69681,0.74007,0.58202,0.9399,1.00453,1.32297,0.0279,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,22334.4,0.74533,0.52075,1.00591,0.01994,0.75103,0.72123,0.74053,0.5839,0.93885,0.98763,1.32035,0.03029,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,23056.3,0.74529,0.51942,0.99612,0.01979,0.76177,0.70164,0.73659,0.57881,0.93218,0.96163,1.31123,0.02793,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,23773.3,0.73616,0.51059,0.99165,0.01929,0.7559,0.71018,0.73482,0.57923,0.9293,0.95653,1.30761,0.02912,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,24491,0.73224,0.50978,0.99875,0.01906,0.82144,0.70983,0.73675,0.58427,0.9271,0.96351,1.30868,0.0265,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,25203.6,0.73441,0.50932,0.99448,0.0191,0.75291,0.71228,0.73656,0.58085,0.93086,0.9692,1.31377,0.02672,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,25909.8,0.72936,0.50464,0.99118,0.01898,0.81803,0.70604,0.736,0.58175,0.93136,0.98104,1.31239,0.02626,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,26617.5,0.72272,0.4985,0.98914,0.0187,0.75326,0.7055,0.72909,0.57601,0.9247,0.98413,1.30746,0.02769,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,27328.8,0.72796,0.50491,0.98776,0.0188,0.75298,0.708,0.74012,0.58558,0.92481,0.97858,1.30522,0.02677,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,28037.9,0.72202,0.49983,0.98777,0.01812,0.76267,0.70718,0.73995,0.58547,0.92337,1.00078,1.30287,0.02698,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,28749.8,0.71502,0.49255,0.9842,0.01819,0.76999,0.70589,0.74082,0.58552,0.9228,0.9627,1.30893,0.02522,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
