epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,837.455,0.77899,1.63464,2.01177,0.07117,0.95418,0.92275,0.97011,0.84217,0.46111,0.5743,1.00652,0.04438,0.00998985,0.00332995,0.00998985,0.00332995,0.00998985,0.00332995,0.00998985,0.00332995
2,1539.82,0.84613,0.67198,1.74837,0.07325,0.9344,0.8931,0.94447,0.79405,0.4971,0.77325,1.01471,0.04746,0.019594,0.00653135,0.019594,0.00653135,0.019594,0.00653135,0.019594,0.00653135
3,2214.36,0.95072,0.84682,1.80427,0.08469,0.90558,0.84624,0.91385,0.72697,0.55915,3.01843,1.11807,0.07659,0.0288022,0.00960075,0.0288022,0.00960075,0.0288022,0.00960075,0.0288022,0.00960075
4,2874.52,1.02413,0.97747,1.87199,0.09948,0.90694,0.82683,0.9067,0.7066,0.57536,2.71736,1.07482,0.07719,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3536.18,0.99237,0.93363,1.82407,0.09532,0.91842,0.87446,0.92763,0.75674,0.54676,0.89996,1.05175,0.07973,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4196.02,0.96256,0.86522,1.79784,0.08778,0.92768,0.88216,0.94132,0.78457,0.52317,0.94817,1.03124,0.07083,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4862.83,0.94057,0.85516,1.74846,0.07979,0.93582,0.88311,0.95588,0.79646,0.49292,0.78038,0.98218,0.06018,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5526.78,0.9415,0.86125,1.76072,0.07701,0.92686,0.89706,0.94815,0.79866,0.49689,0.71395,0.96501,0.05981,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6229.18,0.92531,0.83975,1.72607,0.07408,0.93882,0.89555,0.95286,0.81224,0.47258,1.11264,0.96347,0.05459,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6939.72,0.89822,0.81263,1.68903,0.07194,0.9388,0.88857,0.95031,0.80487,0.50176,0.63703,0.97904,0.066,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,7735.99,0.87801,0.76917,1.69771,0.06716,0.93663,0.91478,0.96584,0.81865,0.4717,0.82398,0.94957,0.05812,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
