epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,334.581,0.86811,1.21753,1.97363,0.10072,0.92803,0.87896,0.94278,0.76512,0.6168,0.91668,1.09324,0.06811,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657
2,615.459,0.93023,0.7345,1.61553,0.08036,0.91041,0.87368,0.92384,0.74676,0.63862,8.69002,1.05585,0.07052,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804
3,864.205,0.99634,0.84883,1.63243,0.09479,0.90397,0.78413,0.86635,0.65748,0.75643,8.51313,1.21877,0.10075,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751
4,1117.46,1.0634,0.95974,1.67416,0.1052,0.8998,0.8437,0.9063,0.71404,0.70687,2.01519,1.13597,0.09145,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1380.48,1.03422,0.91264,1.64896,0.098,0.9132,0.85096,0.91494,0.74103,0.65454,1.74758,1.06276,0.08635,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1635.8,1.00803,0.88255,1.61769,0.0877,0.9226,0.84804,0.91995,0.73546,0.66371,6.07336,1.09635,0.07421,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1889.75,0.97105,0.83428,1.58335,0.08195,0.92154,0.83481,0.90626,0.74588,0.69505,1.3266,1.11462,0.09079,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2150.08,0.92724,0.78184,1.53422,0.07495,0.91935,0.85483,0.92206,0.75565,0.63917,2.42056,1.06876,0.07312,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2406.16,0.90535,0.75075,1.51391,0.07341,0.91554,0.86864,0.92453,0.76669,0.64871,3.2505,1.04885,0.06515,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2657.85,0.90883,0.75275,1.49826,0.07505,0.94151,0.85582,0.93376,0.78895,0.62348,1.17169,1.02705,0.06697,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2912.76,0.89085,0.74183,1.48124,0.0739,0.92479,0.87481,0.93434,0.78973,0.61445,0.95974,1.01865,0.06165,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3166.72,0.88054,0.71732,1.47836,0.0716,0.93996,0.87368,0.93567,0.79111,0.61349,1.11155,1.01195,0.0636,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3422.74,0.87424,0.70408,1.47113,0.06843,0.93793,0.87217,0.93517,0.78955,0.60798,1.0665,1.00506,0.05579,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3677.17,0.85276,0.69775,1.45246,0.06228,0.93265,0.87722,0.94079,0.80215,0.60684,0.75167,1.01089,0.06339,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3945.64,0.84977,0.69097,1.45765,0.06037,0.93785,0.88857,0.94328,0.80422,0.59204,1.17612,1.00631,0.05631,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4233.86,0.82955,0.66193,1.42597,0.05855,0.9343,0.91421,0.95287,0.80689,0.56983,1.60144,0.98129,0.05101,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
