epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,360.843,1.04786,1.18428,1.89046,0.02802,0.9264,0.83017,0.89608,0.68558,0.79674,2.03182,1.0134,0.02529,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657
2,636.761,1.08281,0.80569,1.21393,0.04034,0.92947,0.80212,0.88322,0.62065,0.90003,1.61257,0.92654,0.0427,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804
3,890.833,1.12224,0.88368,1.14052,0.04435,0.85823,0.7341,0.8006,0.54955,1.06601,6.35177,0.9706,0.04787,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751
4,1146.71,1.19461,1.07926,1.17052,0.04806,0.88604,0.74582,0.81594,0.57616,0.95605,8.9754,0.95635,0.03796,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1403.58,1.17616,1.01752,1.165,0.04802,0.89248,0.71947,0.79542,0.58463,0.94641,13.4285,0.95937,0.03406,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1657.95,1.12167,0.94256,1.13481,0.04029,0.91365,0.77625,0.85759,0.64628,0.9134,5.47004,0.90725,0.028,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1908.97,1.1052,0.92311,1.12935,0.03923,0.91374,0.79414,0.87152,0.67333,0.84403,6.34781,0.84793,0.02562,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2170.9,1.07618,0.8685,1.11482,0.03599,0.92496,0.80533,0.87919,0.67453,0.82365,2.3345,0.84406,0.02032,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2425.51,1.05175,0.84333,1.0878,0.03587,0.9276,0.79699,0.86931,0.65135,0.86753,5.91695,0.86766,0.03022,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2713.67,1.03961,0.81902,1.08948,0.03497,0.9229,0.8115,0.88147,0.67898,0.81889,3.77108,0.83193,0.02446,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2983.61,1.0255,0.79235,1.08377,0.03315,0.92584,0.80495,0.88621,0.70094,0.81231,2.19036,0.85095,0.02103,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3235.43,1.03012,0.78254,1.08752,0.03318,0.931,0.81358,0.89201,0.70105,0.82353,3.07685,0.84375,0.02127,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3507.12,1.01049,0.78726,1.08771,0.03305,0.91753,0.79861,0.87681,0.66898,0.85372,6.96186,0.84529,0.0278,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3757.73,0.99004,0.77223,1.06895,0.03132,0.91719,0.81888,0.8868,0.69235,0.78132,5.15363,0.83697,0.01985,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4008.8,0.99781,0.75492,1.06737,0.03045,0.93092,0.82101,0.89957,0.71705,0.75552,1.97961,0.80425,0.01709,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4261.1,0.96453,0.71011,1.05576,0.02909,0.93116,0.82687,0.89355,0.70158,0.76596,2.39214,0.82235,0.02093,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4511.97,0.96044,0.7151,1.05744,0.02798,0.92696,0.83305,0.90175,0.72029,0.75135,1.84609,0.8294,0.01893,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4762.92,0.95636,0.70821,1.05293,0.02771,0.9335,0.83125,0.9034,0.72015,0.74429,1.91148,0.81809,0.01533,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5013.69,0.94735,0.70269,1.05348,0.02847,0.9306,0.83008,0.89906,0.71511,0.74607,2.61263,0.80774,0.0194,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5265.97,0.94337,0.69063,1.03978,0.02699,0.93673,0.82904,0.90229,0.72521,0.70629,2.65921,0.77478,0.01665,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5519.8,0.93731,0.69868,1.04281,0.02723,0.93203,0.83855,0.90682,0.7345,0.7265,2.06492,0.81327,0.0151,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5771.84,0.92302,0.67124,1.0394,0.02666,0.94014,0.83869,0.90835,0.72982,0.71979,1.70805,0.80034,0.01808,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6022.73,0.92148,0.66555,1.03979,0.02651,0.9406,0.84282,0.91044,0.73106,0.72097,1.73359,0.78682,0.01435,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,6274.45,0.89982,0.64724,1.0343,0.02425,0.93716,0.8343,0.90819,0.73555,0.71015,1.42164,0.78881,0.01554,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,6522.01,0.91041,0.66565,1.03644,0.02502,0.93981,0.8445,0.91063,0.74146,0.72413,1.63096,0.79973,0.0189,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6771.86,0.89244,0.64687,1.02887,0.02429,0.93628,0.8426,0.91031,0.73205,0.69442,2.55667,0.78125,0.01603,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
