epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,838.513,1.26975,1.2221,1.48522,0.06069,0.65202,0.53283,0.54567,0.31769,0.81274,27.0419,0.71789,0.04044,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657
2,1158.68,1.13924,0.95383,1.07044,0.06237,0.6307,0.48692,0.52623,0.31138,0.82359,12.537,0.67914,0.0421,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804
3,1451.65,1.15786,0.99948,1.036,0.06184,0.53064,0.38535,0.39411,0.19487,1.01273,10.7874,0.77857,0.06105,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751
4,1747.03,1.17497,1.03662,1.03901,0.06204,0.62572,0.48817,0.50232,0.30434,0.82477,26.2982,0.6983,0.03967,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2478.98,1.14926,1.0386,1.0284,0.05923,0.63377,0.50696,0.52271,0.31548,0.8252,7.20668,0.67289,0.0399,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2838.48,1.12602,0.96119,1.01929,0.0551,0.62712,0.53261,0.51211,0.31491,0.78818,14.8978,0.65931,0.03453,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3208.88,1.10654,0.94022,1.01266,0.05617,0.62423,0.50731,0.53882,0.33539,0.79271,6.98826,0.66477,0.03451,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3558.95,1.0985,0.93341,1.00752,0.05113,0.63911,0.55484,0.541,0.33002,0.76878,16.1353,0.65717,0.03152,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4271.05,1.08052,0.90214,1.00144,0.05145,0.66036,0.52786,0.55718,0.3409,0.75299,13.9338,0.64781,0.02481,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4569.9,1.06306,0.87573,1.00439,0.04728,0.69527,0.54806,0.59184,0.36222,0.74901,9.52895,0.64739,0.02532,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4864.96,1.06711,0.86813,0.99652,0.04797,0.6739,0.52928,0.57573,0.36238,0.74405,8.0544,0.6454,0.02772,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5159.59,1.05898,0.86024,0.99302,0.04826,0.68201,0.53977,0.57826,0.37391,0.7308,8.61297,0.63963,0.02334,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5455.62,1.04246,0.83947,0.99067,0.047,0.64931,0.55048,0.5607,0.35338,0.7309,11.8309,0.63916,0.02378,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5747.25,1.03974,0.84059,0.98936,0.04656,0.6893,0.5452,0.59089,0.38673,0.72903,8.56747,0.63707,0.02313,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6039.59,1.03057,0.83672,0.98539,0.04388,0.63963,0.55293,0.54682,0.34601,0.72556,9.47912,0.64014,0.02348,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6971.68,1.0211,0.81063,0.98229,0.04503,0.65234,0.55065,0.57365,0.36648,0.72981,9.95081,0.63943,0.02367,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,8060.67,1.01854,0.81461,0.98188,0.04316,0.63076,0.56045,0.53884,0.33212,0.72669,9.31162,0.63845,0.02275,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,8355.22,1.01606,0.80943,0.98029,0.04368,0.63784,0.56505,0.54111,0.33504,0.72013,8.23027,0.63702,0.02266,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,8654.61,1.0017,0.80851,0.97941,0.04454,0.64175,0.56554,0.57095,0.36129,0.71955,9.06919,0.6357,0.02283,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,8959,1.00461,0.79928,0.98134,0.04146,0.63669,0.55951,0.54409,0.34242,0.71947,8.98214,0.63601,0.02142,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,9246.06,0.99799,0.79577,0.97697,0.04195,0.63787,0.566,0.54401,0.34687,0.71349,11.3698,0.63277,0.02123,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,9537.92,0.99338,0.77227,0.97377,0.04187,0.64044,0.56672,0.56128,0.35697,0.7169,9.67367,0.63663,0.0214,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,10143.1,0.98577,0.76397,0.97515,0.04025,0.65179,0.56568,0.55005,0.34749,0.71077,9.50297,0.63214,0.02091,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,10437.5,0.98967,0.76475,0.97404,0.04042,0.63773,0.5654,0.5573,0.34898,0.70923,9.62394,0.63298,0.02051,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
