epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,560.279,0.79382,0.9891,1.96803,0.06841,0.95596,0.92195,0.97229,0.84095,0.49438,0.59358,1.04175,0.0486,0.00998478,0.00332826,0.00998478,0.00332826,0.00998478,0.00332826,0.00998478,0.00332826
2,992.07,0.83889,0.65819,1.61957,0.07102,0.94182,0.84235,0.92524,0.76043,0.60139,0.92441,1.08449,0.08171,0.0195891,0.00652969,0.0195891,0.00652969,0.0195891,0.00652969,0.0195891,0.00652969
3,1431.72,0.96826,0.82467,1.64963,0.08641,0.87991,0.83302,0.89195,0.71604,0.62444,2.21005,1.07631,0.06874,0.0287974,0.00959913,0.0287974,0.00959913,0.0287974,0.00959913,0.0287974,0.00959913
4,1874.08,1.00111,0.89223,1.67274,0.0956,0.91874,0.85747,0.92359,0.75711,0.58405,1.10661,1.05018,0.06785,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2309.44,0.98303,0.8483,1.62929,0.09327,0.93405,0.85451,0.93235,0.78052,0.59138,0.96101,1.05441,0.06442,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2771.15,0.94667,0.81344,1.5992,0.08135,0.92349,0.86614,0.93691,0.76711,0.58928,1.39113,1.05446,0.0655,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3348.79,0.90083,0.74304,1.55008,0.07664,0.93985,0.88782,0.945,0.78768,0.57249,1.11057,1.0357,0.06345,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3917.92,0.8919,0.74541,1.54925,0.076,0.93673,0.88482,0.94442,0.7906,0.56399,0.73395,1.02116,0.06024,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4405.29,0.89632,0.78349,1.54836,0.07669,0.94431,0.88971,0.95131,0.80499,0.56502,1.1795,1.00852,0.06363,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4928.49,0.85199,0.72144,1.4928,0.0642,0.92932,0.89743,0.95418,0.80706,0.54051,1.19383,0.9835,0.05593,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5432.65,0.8574,0.71001,1.51344,0.06383,0.95096,0.89939,0.95483,0.81125,0.54112,0.85213,1.00392,0.04917,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
