epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,486.535,0.98225,1.5201,1.86377,0.02581,0.93159,0.83482,0.90738,0.70205,0.65575,1.44347,0.86174,0.01636,0.00998478,0.00332826,0.00998478,0.00332826,0.00998478,0.00332826,0.00998478,0.00332826
2,865.65,0.98014,0.70409,1.16179,0.03355,0.89436,0.82961,0.88674,0.64359,0.73899,3.69039,0.80007,0.02583,0.0195891,0.00652969,0.0195891,0.00652969,0.0195891,0.00652969,0.0195891,0.00652969
3,1237.56,1.06475,0.84218,1.11932,0.0413,0.92197,0.77183,0.86537,0.63494,0.81385,2.49624,0.78578,0.03221,0.0287974,0.00959913,0.0287974,0.00959913,0.0287974,0.00959913,0.0287974,0.00959913
4,1594.77,1.07796,0.92353,1.11663,0.03991,0.89886,0.7998,0.87601,0.65194,0.76205,2.12814,0.7897,0.0251,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1953.47,1.06609,1.00583,1.12142,0.0365,0.90942,0.80632,0.87274,0.66751,0.74753,4.84135,0.80781,0.02125,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2310.66,1.03169,0.839,1.09956,0.03434,0.93384,0.81982,0.89299,0.68649,0.72264,2.64535,0.75128,0.01973,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2665.22,1.01728,0.83518,1.09612,0.03357,0.93114,0.81074,0.8913,0.70171,0.71964,1.76712,0.77202,0.0182,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3023.41,0.99369,0.79635,1.07708,0.03138,0.92323,0.82726,0.89297,0.70358,0.69321,4.95873,0.75268,0.01779,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3381.93,0.98787,0.77486,1.08591,0.03247,0.927,0.80972,0.87822,0.67961,0.70544,4.95106,0.75239,0.01811,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3736.61,0.98971,0.78367,1.08688,0.03095,0.93466,0.83074,0.90307,0.70869,0.70386,1.76165,0.74038,0.02092,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4093.29,0.94478,0.73024,1.06186,0.02897,0.9407,0.83204,0.9018,0.72249,0.66949,3.94063,0.72952,0.01789,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4450.64,0.94765,0.72069,1.05739,0.02791,0.94589,0.83903,0.91233,0.73047,0.65237,1.54908,0.71432,0.02011,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4808.87,0.91567,0.68619,1.03751,0.02614,0.9507,0.82527,0.9051,0.72089,0.70236,2.04049,0.7553,0.01753,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5165.46,0.92228,0.69031,1.05328,0.02583,0.94226,0.84137,0.90866,0.72694,0.66898,2.07009,0.72731,0.01569,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5521.49,0.92327,0.70046,1.05238,0.02639,0.93901,0.84467,0.91024,0.73692,0.6501,2.97657,0.71316,0.0167,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5877.37,0.9063,0.66642,1.03992,0.02494,0.9454,0.84105,0.91294,0.73873,0.67214,1.61527,0.72187,0.01603,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6235.19,0.88824,0.6443,1.03057,0.02422,0.9372,0.84157,0.91286,0.74472,0.64138,2.02759,0.71105,0.01692,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6590.94,0.89666,0.66953,1.04104,0.02531,0.93748,0.83849,0.90823,0.72889,0.63518,2.79174,0.70884,0.01643,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6945.88,0.87368,0.6593,1.02356,0.02371,0.94404,0.85019,0.91701,0.74696,0.63201,1.20387,0.7016,0.01653,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7301.66,0.86986,0.64229,1.02267,0.0233,0.94304,0.84689,0.91627,0.74317,0.64653,1.5285,0.71428,0.01431,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,7655.4,0.86959,0.64107,1.02943,0.02372,0.94018,0.8543,0.91758,0.75096,0.63813,1.49129,0.70965,0.01479,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8011.52,0.85366,0.61283,1.00572,0.0217,0.93881,0.85166,0.91886,0.74965,0.63257,1.38041,0.70487,0.01454,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
