epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,667.856,1.20167,1.13897,1.49123,0.05069,0.66161,0.54554,0.57896,0.35727,0.7561,10.2231,0.7147,0.03296,0.00998478,0.00332826,0.00998478,0.00332826,0.00998478,0.00332826,0.00998478,0.00332826
2,1133.6,1.05528,0.83824,1.04684,0.05193,0.639,0.55514,0.57814,0.3586,0.75761,7.2281,0.63993,0.03061,0.0195891,0.00652969,0.0195891,0.00652969,0.0195891,0.00652969,0.0195891,0.00652969
3,1605.68,1.06831,0.89318,1.00072,0.05053,0.64874,0.53763,0.56261,0.35207,0.7525,9.54905,0.63902,0.02696,0.0287974,0.00959913,0.0287974,0.00959913,0.0287974,0.00959913,0.0287974,0.00959913
4,2013.75,1.07132,0.91624,0.99894,0.05022,0.61454,0.54229,0.53384,0.31947,0.73982,5.49109,0.63282,0.02566,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2415.43,1.053,0.87899,0.99691,0.04756,0.64359,0.53141,0.5514,0.35113,0.73941,5.92957,0.63729,0.02773,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3208.01,1.0395,0.86358,0.99169,0.04376,0.65471,0.51524,0.56084,0.33885,0.75994,9.40646,0.63986,0.02586,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3602.66,1.02213,0.84456,0.98524,0.04395,0.62624,0.53097,0.53054,0.33778,0.73948,11.6476,0.63668,0.0262,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3998.31,1.00872,0.82043,0.97848,0.04111,0.61569,0.57202,0.51891,0.32081,0.70746,8.87171,0.62246,0.02219,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4394.96,0.99547,0.79551,0.97687,0.04146,0.66278,0.51633,0.58337,0.37177,0.71031,14.1919,0.62154,0.02136,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4820.1,0.98879,0.77782,0.97199,0.0392,0.642,0.54827,0.55131,0.3343,0.71366,10.8895,0.62508,0.02241,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5231.57,0.98327,0.76734,0.97207,0.03938,0.66756,0.55318,0.58209,0.37635,0.6965,8.80631,0.61995,0.02234,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5648.17,0.96813,0.75858,0.96544,0.03891,0.6322,0.57216,0.56851,0.35901,0.69427,6.38862,0.61548,0.02058,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,6081.84,0.96001,0.74901,0.96714,0.03849,0.64077,0.57535,0.56468,0.36467,0.69735,6.49562,0.61902,0.02028,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
