epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,281.969,0.86549,1.35034,1.92734,0.10182,0.94187,0.90115,0.94974,0.77722,0.60539,1.24649,1.08457,0.06614,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657
2,502.957,0.94484,0.73501,1.61735,0.08382,0.92888,0.87707,0.93588,0.73499,0.63799,1.65127,1.05317,0.0795,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804
3,702.132,1.02564,0.87777,1.62168,0.10083,0.88782,0.79129,0.86204,0.6676,0.72587,4.97711,1.1297,0.10403,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751
4,909.998,1.08351,0.96664,1.66282,0.10846,0.91426,0.78008,0.86116,0.67032,0.74807,8.53033,1.15878,0.10585,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1121.02,1.04646,0.91657,1.62402,0.09976,0.912,0.84238,0.91119,0.72602,0.68945,1.5632,1.08435,0.08019,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1325.24,1.02888,0.88894,1.60735,0.09004,0.90337,0.83918,0.90578,0.7231,0.67243,1.12884,1.08238,0.07977,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1538.89,0.98421,0.84001,1.56788,0.08409,0.92046,0.84087,0.9094,0.74156,0.67283,1.2955,1.08448,0.07589,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1743.89,0.95235,0.79541,1.52908,0.07739,0.93367,0.82265,0.90293,0.73898,0.65652,1.98844,1.06978,0.07407,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1949.49,0.93204,0.76653,1.50365,0.07701,0.92147,0.87161,0.93013,0.76918,0.65419,1.21776,1.02948,0.07377,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2154,0.92926,0.7794,1.48955,0.07905,0.91414,0.85351,0.92388,0.76663,0.63475,1.59261,1.01555,0.07359,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2365.72,0.91085,0.75296,1.46709,0.07547,0.92763,0.88445,0.93923,0.78546,0.61053,1.3589,0.99859,0.05632,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2575.8,0.89856,0.73298,1.46651,0.0699,0.92909,0.87632,0.93671,0.79242,0.61914,1.31219,1.01419,0.06311,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2792.79,0.89402,0.73319,1.45881,0.07238,0.91973,0.86934,0.93085,0.76602,0.60777,5.10275,1.00649,0.06513,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2997.5,0.86733,0.69925,1.43485,0.06686,0.9437,0.88179,0.94232,0.79576,0.59944,0.75752,0.99127,0.05858,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3204.49,0.8657,0.70318,1.43709,0.06724,0.91643,0.88494,0.93835,0.79792,0.59024,1.26288,0.98336,0.05631,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3415.79,0.84939,0.67625,1.41344,0.0624,0.93524,0.89035,0.94114,0.80389,0.59332,1.19492,0.98192,0.05817,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3626.8,0.82869,0.66202,1.40477,0.05856,0.95042,0.89046,0.94922,0.81821,0.58474,1.11738,0.9711,0.05845,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3832.69,0.83917,0.67182,1.41236,0.05838,0.93944,0.89404,0.94699,0.8182,0.59937,0.9877,0.97794,0.05063,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4038.68,0.82711,0.65695,1.39266,0.05672,0.93804,0.89687,0.94656,0.81049,0.57829,1.37078,0.96962,0.05247,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4243.68,0.82915,0.66102,1.40604,0.05465,0.95002,0.89953,0.95124,0.82124,0.56424,1.0727,0.94178,0.05506,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4453.26,0.79776,0.62285,1.37495,0.0536,0.94515,0.90314,0.9547,0.82301,0.56002,1.05082,0.94993,0.04982,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4658.7,0.79669,0.63843,1.36363,0.05155,0.94106,0.90314,0.95176,0.83018,0.56435,1.30566,0.95037,0.05343,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4861.97,0.81034,0.64051,1.38281,0.05382,0.94234,0.92124,0.96149,0.8314,0.54167,0.84053,0.9264,0.04603,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5069.93,0.79098,0.617,1.37155,0.05243,0.94075,0.91603,0.95684,0.84046,0.56095,0.88652,0.96356,0.04569,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5275.81,0.77647,0.60807,1.34206,0.04763,0.94506,0.91459,0.95854,0.83707,0.5491,0.87373,0.93613,0.04594,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5481.51,0.76804,0.59931,1.3454,0.04837,0.94248,0.92059,0.96106,0.84071,0.53017,0.94336,0.91831,0.04227,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5686.07,0.77668,0.60646,1.35047,0.04833,0.94382,0.91158,0.95873,0.84501,0.54596,0.76483,0.94031,0.0415,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5892.75,0.75945,0.58272,1.33392,0.04703,0.94458,0.9191,0.96361,0.84635,0.53383,0.76747,0.92828,0.03817,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6098.77,0.76051,0.58245,1.33101,0.04626,0.94315,0.9164,0.96084,0.84746,0.52211,0.72271,0.91884,0.03986,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6305.26,0.74535,0.57721,1.31617,0.04457,0.94309,0.92175,0.9604,0.84767,0.51922,0.79668,0.90081,0.03988,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6512.36,0.7311,0.55723,1.31139,0.0414,0.95139,0.91872,0.96318,0.85093,0.52746,0.76277,0.91963,0.03992,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6724.88,0.74139,0.57249,1.31014,0.0426,0.94172,0.92615,0.96647,0.85159,0.52128,0.88959,0.90835,0.04175,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6931.06,0.73179,0.55093,1.30489,0.04275,0.94536,0.9232,0.9611,0.85492,0.52087,0.67878,0.90491,0.03917,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7137.86,0.7266,0.54967,1.30609,0.04172,0.95149,0.91836,0.96324,0.85377,0.52156,0.73835,0.90852,0.0382,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7343.81,0.71795,0.53935,1.28617,0.04101,0.95245,0.92154,0.96399,0.85454,0.51682,0.7355,0.90078,0.03775,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7551.85,0.71676,0.54221,1.28419,0.04189,0.94965,0.92452,0.96348,0.85721,0.51606,0.69333,0.90976,0.03578,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7761.23,0.70246,0.53648,1.27523,0.03835,0.95207,0.92121,0.96372,0.85816,0.50368,0.70757,0.89691,0.03542,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7965.48,0.69675,0.53262,1.27635,0.03792,0.94796,0.92042,0.96447,0.8601,0.50697,0.68198,0.89712,0.03569,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,8171.57,0.6873,0.51758,1.27499,0.03691,0.95033,0.92701,0.9667,0.86015,0.49897,0.67272,0.893,0.0345,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,8377.68,0.69188,0.51439,1.26903,0.03718,0.9562,0.91874,0.96736,0.86226,0.50671,0.71632,0.8937,0.03518,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,8573.66,0.63598,0.46738,1.27713,0.03528,0.95264,0.9227,0.96804,0.86414,0.50229,0.64961,0.89254,0.03568,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8763.87,0.6314,0.462,1.2829,0.03355,0.95301,0.92345,0.96577,0.86476,0.50493,0.64777,0.89746,0.03361,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,8954.5,0.60642,0.44774,1.26103,0.03408,0.95664,0.91893,0.96498,0.86556,0.50488,0.61573,0.89631,0.03081,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,9145.14,0.6116,0.44716,1.24759,0.033,0.95722,0.9196,0.9661,0.86636,0.50314,0.631,0.88914,0.03319,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,9335.63,0.59891,0.42278,1.24253,0.03168,0.95844,0.92063,0.96699,0.86646,0.50058,0.65109,0.89076,0.03085,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,9526.6,0.58577,0.4289,1.23133,0.03007,0.95663,0.92119,0.96754,0.86716,0.49447,0.64601,0.89046,0.03137,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,9716.36,0.58928,0.43202,1.23097,0.03143,0.96027,0.92058,0.96763,0.86764,0.48983,0.64449,0.88523,0.03136,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,9906.42,0.58577,0.4369,1.22943,0.02876,0.95513,0.92305,0.96638,0.86707,0.49181,0.63912,0.88726,0.03337,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,10096.9,0.58135,0.4157,1.217,0.02774,0.95316,0.92461,0.9665,0.86701,0.4942,0.64483,0.88943,0.03424,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,10286.8,0.57032,0.40095,1.19506,0.02751,0.95743,0.92402,0.96676,0.86701,0.49617,0.66181,0.89234,0.03381,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
