epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.207,1.18007,1.33011,1.81078,0.03621,0.92645,0.81176,0.88272,0.61434,0.81591,2.65596,0.98036,0.02871,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657
2,458.778,1.13592,0.86403,1.19706,0.04607,0.91409,0.77699,0.8501,0.5357,0.89797,3.98078,0.87928,0.03332,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804
3,636.02,1.19482,0.97882,1.11262,0.05619,0.88697,0.71367,0.7822,0.52473,1.07804,16.7213,1.00125,0.05064,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751
4,811.504,1.27154,1.20203,1.13668,0.06063,0.83079,0.57617,0.69339,0.46907,1.1304,4.94105,1.01785,0.06164,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,989.329,1.22888,1.09343,1.1297,0.05542,0.89938,0.71656,0.80283,0.49043,1.04682,10.2975,0.93519,0.05494,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1164.46,1.18526,1.0405,1.10044,0.04943,0.91926,0.7539,0.85001,0.59007,0.97753,3.60483,0.89282,0.03896,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1337.9,1.17568,1.01373,1.10604,0.05137,0.92372,0.76907,0.854,0.59651,0.90305,4.27663,0.83812,0.03104,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1512.74,1.12563,0.95192,1.08046,0.04369,0.91696,0.76974,0.8547,0.59613,0.94887,2.6063,0.87231,0.03729,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1690.32,1.11087,0.93133,1.06619,0.04368,0.92269,0.77018,0.85476,0.59554,0.87186,4.69159,0.84413,0.02964,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1865.35,1.09379,0.88831,1.05806,0.04167,0.91763,0.78038,0.86224,0.61827,0.8365,4.13371,0.80096,0.02981,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
