epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,329.495,1.31103,1.28625,1.47651,0.06811,0.65773,0.5141,0.5305,0.26929,0.80935,20.3855,0.73873,0.03759,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657,0.00997972,0.00332657
2,592.741,1.17607,0.99879,1.07462,0.07006,0.6426,0.46492,0.51927,0.26411,0.8308,3.91609,0.6687,0.04772,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804,0.0195841,0.00652804
3,842.709,1.19407,1.06974,1.0328,0.0705,0.57646,0.42413,0.40711,0.17629,0.92095,94.3016,0.71488,0.05229,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751,0.0287925,0.00959751
4,1094.05,1.20147,1.10489,1.0281,0.07155,0.54621,0.44096,0.46094,0.23426,0.87649,5.94354,0.69751,0.06608,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1354.64,1.17896,1.07108,1.01848,0.06814,0.62595,0.49389,0.49458,0.263,0.80893,8.78016,0.65514,0.03969,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1619.31,1.14687,1.01329,1.0086,0.06274,0.66793,0.48014,0.5219,0.27227,0.78915,15.9029,0.65132,0.03647,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1885.54,1.12571,0.98313,1.00127,0.06231,0.56716,0.46116,0.47454,0.23339,0.84107,6.35859,0.67843,0.05507,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2153.75,1.12404,0.98978,0.99711,0.05757,0.63619,0.52784,0.52381,0.26259,0.76646,11.1428,0.64339,0.03233,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2420.45,1.10194,0.94279,0.99158,0.05942,0.6495,0.50965,0.51438,0.24671,0.77301,14.1507,0.64372,0.03638,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2683.48,1.08579,0.92321,0.99106,0.05383,0.67538,0.52511,0.55918,0.2764,0.75002,6.97046,0.63633,0.02812,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2945.59,1.08446,0.9192,0.98591,0.0547,0.67146,0.51517,0.5487,0.29573,0.74294,9.19951,0.63326,0.02622,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3205.2,1.07728,0.91746,0.98419,0.05521,0.64965,0.5157,0.53116,0.28019,0.73337,9.33381,0.63285,0.02837,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3465.67,1.06156,0.89056,0.97865,0.05256,0.67037,0.52618,0.54759,0.2734,0.73933,9.70625,0.63675,0.02769,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3726.6,1.0592,0.88614,0.97907,0.05284,0.65486,0.52858,0.54738,0.30447,0.73963,8.39663,0.63057,0.02704,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3990.07,1.05222,0.87361,0.97537,0.0506,0.63608,0.52006,0.53887,0.29542,0.73248,7.32775,0.63343,0.02689,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4253.34,1.04081,0.86126,0.97302,0.05109,0.64876,0.52267,0.55123,0.29897,0.73163,9.29474,0.63356,0.02477,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4518.79,1.03378,0.85979,0.97087,0.04826,0.63471,0.53229,0.54979,0.28763,0.7262,7.09698,0.63019,0.02624,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4781.56,1.03052,0.85083,0.97134,0.04968,0.63061,0.5342,0.5224,0.27571,0.72018,8.81638,0.62653,0.02549,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5040.04,1.0167,0.85131,0.96863,0.04966,0.62537,0.53088,0.55275,0.29951,0.71536,9.489,0.62555,0.02512,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5294.32,1.01776,0.83378,0.96976,0.0462,0.63943,0.53017,0.52341,0.26949,0.71695,10.9565,0.63077,0.02435,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5550.7,1.01496,0.83526,0.96666,0.04749,0.63652,0.53739,0.53911,0.2999,0.72391,10.08,0.62878,0.02429,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5807.76,1.00611,0.81047,0.96134,0.0474,0.63308,0.54053,0.53492,0.28487,0.70864,9.32829,0.62523,0.02363,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6063.13,0.99665,0.80493,0.96343,0.04526,0.64918,0.53702,0.54391,0.2889,0.7111,8.87964,0.62495,0.02345,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,6320.5,0.99758,0.80068,0.96296,0.04563,0.62957,0.54195,0.52695,0.27761,0.7053,8.94041,0.62289,0.0234,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
